year,filename,port_complex,area,category,species,check,January,February,March,April,May,June,July,August,September,October,November,December,Total,Extra
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Sanddab, Pacific",,"6,370","3,506","2,237","3,106",140,5,"2,008",372,752,0,0,0,"18,496",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Sanddab,,25,0,39,30,12,250,180,0,275,"2,851",309,"1,483","5,453",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Sardine, Pacific",,"19,200,936","5,222,364",800,0,0,"2,200","18,314,878","1,339,834","9,162,342",0,0,0,"53,243,354",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Seabass, white",,0,0,0,264,404,204,"3,812",647,"5,413","4,281",0,18,"15,043",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Shark, shortfin mako",,0,0,0,0,0,0,0,0,108,"1,048",805,0,"1,961",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Shark, soupfin",,26,50,28,0,0,0,0,0,0,0,0,0,104,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Shark, spiny dogfish",,"15,120","1,045",0,"14,017","2,055","3,846",0,0,0,0,0,"3,370","39,453",
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Shark, thresher",,0,0,0,0,0,42,111,0,0,0,156,0,309,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Shark, unspecified",,0,0,0,0,0,0,0,0,0,53,0,0,53,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Sheephead, California",,0,4,0,0,0,15,0,0,0,0,0,0,19,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,Silversides,,0,0,0,0,0,0,0,118,0,0,0,0,118,
2009,landings09_table11.pdf,Monterey,Other Waters,Fishes,"Skate, longnose",,0,310,0,0,80,0,0,0,0,0,0,32,422,
