comm_name_orig,comm_name,comm_name_orig_upper,sci_name,level,sci_name_cdfw,level2
Silversides,Silversides,SILVERSIDES,NA,NA,,
"Skate, longnose",Longnose skate,"SKATE, LONGNOSE",NA,NA,,
"Skate, thornback",Thornback skate,"SKATE, THORNBACK",NA,NA,,
"Skate, unspecified",Unspecified skate,"SKATE, UNSPECIFIED",NA,NA,,group
"Smelt, night",Night smelt,"SMELT, NIGHT",NA,NA,,
"Smelt, surf",Surf smelt,"SMELT, SURF",NA,NA,,
"Smelts, true",True smelts,"SMELTS, TRUE",NA,NA,,
"Snail, bubble",Bubble snail,"SNAIL, BUBBLE",NA,NA,,
"Snail, sea",Sea snail,"SNAIL, SEA",NA,NA,,
"Snail, tegula",Tegula snail,"SNAIL, TEGULA",NA,NA,,
"Snail, top",Top snail,"SNAIL, TOP",NA,NA,,
"Sole, bigmouth",Bigmouth sole,"SOLE, BIGMOUTH",NA,NA,,
"Sole, unspecified",Unspecified sole,"SOLE, UNSPECIFIED",NA,NA,,group
"Spearfish, shortbill",Shortbill spearfish,"SPEARFISH, SHORTBILL",NA,NA,,
"Spiders, sea",Sea spiders,"SPIDERS, SEA",NA,NA,,
"Squid, market",Market squid,"SQUID, MARKET",NA,NA,,
"Stickleback, threespine",Threespine stickleback,"STICKLEBACK, THREESPINE",NA,NA,,
Stingray,Stingray,STINGRAY,NA,NA,,
Sucker,Sucker,SUCKER,NA,NA,,
"Surfperch, barred",Barred surfperch,"SURFPERCH, BARRED",NA,NA,Amphistichus argenteus,
"Surfperch, black",Black surfperch,"SURFPERCH, BLACK",NA,NA,,
"Surfperch, calico",Calico surfperch,"SURFPERCH, CALICO",NA,NA,,
"Surfperch, pile",Pile surfperch,"SURFPERCH, PILE",NA,NA,,
"Surfperch, rainbow",Rainbow surfperch,"SURFPERCH, RAINBOW",NA,NA,,
"Surfperch, redtail",Redtail surfperch,"SURFPERCH, REDTAIL",NA,NA,Amphistichus rhodoterus,
"Surfperch, rubberlip",Rubberlip surfperch,"SURFPERCH, RUBBERLIP",NA,NA,Rhacochilus toxotes,
"Surfperch, shiner",Shiner surfperch,"SURFPERCH, SHINER",NA,NA,Cymatogaster aggregata,
"Surfperch, silver",Silver surfperch,"SURFPERCH, SILVER",NA,NA,Hyperprosopon ellipticum,
"Surfperch, unspecified",Unspecified surfperch,"SURFPERCH, UNSPECIFIED",NA,NA,,group
"Surfperch, walleye",Walleye surfperch,"SURFPERCH, WALLEYE",NA,NA,Hyperprosopon argenteum,
"Surfperch, white",White surfperch,"SURFPERCH, WHITE",NA,NA,,
Terrapin,Terrapin,TERRAPIN,NA,NA,,
Themiste,Themiste,THEMISTE,NA,NA,,
Thornyheads,Thornyheads,THORNYHEADS,NA,NA,,
Topsmelt,Topsmelt,TOPSMELT,NA,NA,,
"Trawled fish, unspecified",Unspecified trawled fish,"TRAWLED FISH, UNSPECIFIED",NA,NA,,group
Triggerfish,Triggerfish,TRIGGERFISH,NA,NA,,
"Tuna, skipjack, black",Skipjack tuna,"TUNA, SKIPJACK, BLACK",NA,NA,,
"Tuna, unspecified",Unspecified tuna,"TUNA, UNSPECIFIED",NA,NA,,group
Tunicates,Tunicates,TUNICATES,NA,NA,,
Turbot,Turbot,TURBOT,NA,NA,,
"Turbot, curlfin",Curlfin turbot,"TURBOT, CURLFIN",NA,NA,,
Turtle,Turtle,TURTLE,NA,NA,,
"Urchin, purple sea",Purple sea urchin,"URCHIN, PURPLE SEA",NA,NA,,
"Urchin, red",Red urchin,"URCHIN, RED",NA,NA,,
"Whelk, Kellet's",Kellet's whelk,"WHELK, KELLET'S",NA,NA,,
"Whiting, Pacific",Pacific whiting,"WHITING, PACIFIC",NA,NA,,
"Worms, marine",Marine worms,"WORMS, MARINE",NA,NA,,
"Wrasse, rock",Rock wrasse,"WRASSE, ROCK",NA,NA,,
Yellowtail,Yellowtail,YELLOWTAIL,NA,NA,,
Zebraperch,Zebraperch,ZEBRAPERCH,NA,NA,,
