"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","QUOTA_HOLDERS","FIRST_QUARTILE_SHARE","MEDIAN_SHARE","THIRD_QUARTILE_SHARE","MAXIMUM_SHARE","GINI_COEFFICIENT","LOAD_DATE"
"2019/2020","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.6,,4.81,.261,"12/10/2021"
"2020/2021","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",39,,2.68,,4.81,.256,"12/10/2021"
"Initial allocation","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",112,.26,.53,1.27,3.41,.497,"12/10/2021"
"2005/2006","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",114,.25,.51,1.26,3.42,.507,"12/10/2021"
"2006/2007","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",113,.25,.52,1.27,3.42,.509,"12/10/2021"
"2007/2008","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",118,.22,.49,1.26,3.42,.524,"12/10/2021"
"2008/2009","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",119,.22,.5,1.21,3.42,.526,"12/10/2021"
"2009/2010","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",119,.22,.49,1.21,3.41,.526,"12/10/2021"
"2010/2011","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",117,.23,.5,1.2,6.95,.529,"12/10/2021"
"2011/2012","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",119,.23,.5,1.12,6.96,.521,"12/10/2021"
"2012/2013","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",119,.23,.5,1.12,6.96,.518,"12/10/2021"
"2013/2014","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",116,.24,.53,1.15,6.96,.51,"12/10/2021"
"2014/2015","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",115,.24,.52,1.17,6.96,.514,"12/10/2021"
"2015/2016","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",115,.24,.52,1.17,6.96,.515,"12/10/2021"
"2016/2017","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",116,.23,.51,1.15,6.96,.519,"12/10/2021"
"2017/2018","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",118,.23,.51,1.13,6.96,.51,"12/10/2021"
"2018/2019","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",117,.23,.55,1.13,6.96,.509,"12/10/2021"
"2019/2020","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",118,.23,.53,1.13,6.96,.513,"12/10/2021"
"2020/2021","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",119,.23,.55,1.12,6.96,.508,"12/10/2021"
"Initial allocation","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",14,,3.17,,24.49,.623,"12/10/2021"
"2005/2006","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",14,,3.17,,24.49,.623,"12/10/2021"
"2006/2007","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",14,,3.17,,24.49,.623,"12/10/2021"
"2007/2008","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",13,,3.87,,24.49,.597,"12/10/2021"
"2008/2009","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",13,,3.87,,24.49,.597,"12/10/2021"
"2009/2010","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",13,,3.87,,24.49,.597,"12/10/2021"
"2010/2011","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",13,,3.87,,24.49,.597,"12/10/2021"
"2011/2012","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",13,,3.87,,24.49,.597,"12/10/2021"
"2012/2013","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",13,,3.87,,24.49,.597,"12/10/2021"
"2013/2014","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",13,,3.87,,24.49,.597,"12/10/2021"
"2014/2015","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",12,,4.99,,25.46,.578,"12/10/2021"
"2015/2016","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",12,,4.99,,25.46,.578,"12/10/2021"
"2016/2017","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",12,,4.99,,25.46,.578,"12/10/2021"
"2017/2018","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",12,,4.99,,25.46,.578,"12/10/2021"
"2018/2019","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",12,,4.99,,25.46,.578,"12/10/2021"
"2019/2020","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",12,,4.99,,25.46,.578,"12/10/2021"
"2020/2021","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Processor QS",12,,4.99,,25.46,.578,"12/10/2021"
"Initial allocation","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",73,,1.35,,3.1,.177,"12/10/2021"
"2005/2006","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",70,,1.41,,3.14,.183,"12/10/2021"
"2006/2007","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",69,,1.41,,3.32,.193,"12/10/2021"
"2007/2008","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",68,,1.43,,3.32,.197,"12/10/2021"
"2008/2009","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",68,,1.43,,3.32,.197,"12/10/2021"
"2009/2010","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",68,,1.41,,3.29,.201,"12/10/2021"
"2010/2011","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",68,,1.41,,3.29,.201,"12/10/2021"
"2011/2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",67,,1.42,,3.29,.21,"12/10/2021"
"2012/2013","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",66,,1.45,,3.29,.209,"12/10/2021"
"2013/2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",66,,1.41,,3.33,.234,"12/10/2021"
"2014/2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",65,,1.42,,3.33,.241,"12/10/2021"
"2015/2016","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",64,,1.41,,3.95,.255,"12/10/2021"
"2016/2017","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",65,,1.38,,3.95,.258,"12/10/2021"
"2017/2018","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",63,,1.41,,3.95,.266,"12/10/2021"
"2018/2019","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",63,,1.41,,3.95,.266,"12/10/2021"
"2019/2020","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",63,,1.41,,3.95,.266,"12/10/2021"
"2020/2021","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",61,,1.42,,3.95,.276,"12/10/2021"
"Initial allocation","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",137,.33,.62,1,4.43,.391,"12/10/2021"
"2005/2006","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",140,.32,.59,.99,4.45,.408,"12/10/2021"
"2006/2007","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",136,.35,.62,1.01,4.45,.379,"12/10/2021"
"2007/2008","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",142,.33,.58,.98,4.45,.395,"12/10/2021"
"2008/2009","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",141,.32,.57,.98,4.45,.4,"12/10/2021"
"2009/2010","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",147,.31,.52,.95,4.95,.42,"12/10/2021"
"2010/2011","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",146,.31,.53,.96,4.95,.417,"12/10/2021"
"2011/2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",145,.31,.54,.95,5,.424,"12/10/2021"
"2012/2013","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",143,.31,.53,.99,5,.438,"12/10/2021"
"2013/2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",138,.31,.54,.99,5,.447,"12/10/2021"
"2014/2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",133,.31,.53,1.02,5,.468,"12/10/2021"
"2015/2016","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",133,.31,.55,1.02,5,.469,"12/10/2021"
"2016/2017","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",134,.31,.54,1.01,5,.473,"12/10/2021"
"2017/2018","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",133,.31,.55,1.02,5,.469,"12/10/2021"
"2018/2019","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",135,.26,.55,.99,5,.482,"12/10/2021"
"2019/2020","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",136,.26,.54,.99,5,.485,"12/10/2021"
"2020/2021","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Owner QS",137,.25,.54,.99,5,.493,"12/10/2021"
"Initial allocation","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",12,,5.06,,32.67,.659,"12/10/2021"
"2005/2006","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",12,,5.06,,32.67,.659,"12/10/2021"
"2006/2007","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",12,,5.06,,32.67,.659,"12/10/2021"
"2007/2008","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",11,,5.78,,32.67,.626,"12/10/2021"
"2008/2009","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,6.87,,32.67,.585,"12/10/2021"
"2009/2010","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,6.87,,32.67,.585,"12/10/2021"
"2010/2011","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,6.87,,32.67,.585,"12/10/2021"
"2011/2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,6.87,,32.67,.585,"12/10/2021"
"2012/2013","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",11,,4.34,,32.67,.592,"12/10/2021"
"2013/2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",11,,4.34,,32.67,.587,"12/10/2021"
"2014/2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,4.18,,32.67,.612,"12/10/2021"
"2015/2016","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,4.18,,32.67,.612,"12/10/2021"
"2016/2017","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,4.18,,32.67,.612,"12/10/2021"
"2017/2018","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,4.18,,32.67,.612,"12/10/2021"
"2018/2019","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,4.18,,32.67,.612,"12/10/2021"
"2019/2020","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,4.18,,32.67,.612,"12/10/2021"
"2020/2021","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Processor QS",10,,4.18,,32.67,.612,"12/10/2021"
"Initial allocation","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.17,,41.74,.556,"12/10/2021"
"2005/2006","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.17,,41.74,.556,"12/10/2021"
"2006/2007","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.17,,41.74,.556,"12/10/2021"
"2007/2008","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.17,,41.74,.556,"12/10/2021"
"2008/2009","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,,7.45,,41.74,.562,"12/10/2021"
"2009/2010","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,,7.45,,41.74,.562,"12/10/2021"
"2010/2011","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,,7.45,,41.74,.562,"12/10/2021"
"2011/2012","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,,7.45,,41.74,.562,"12/10/2021"
"2012/2013","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,,7.45,,41.74,.562,"12/10/2021"
"2013/2014","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,,7.45,,41.74,.562,"12/10/2021"
"2014/2015","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.3,,41.74,.614,"12/10/2021"
"2015/2016","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.3,,41.74,.614,"12/10/2021"
"2016/2017","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.3,,41.74,.614,"12/10/2021"
"2017/2018","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.3,,41.74,.614,"12/10/2021"
"2018/2019","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.3,,41.74,.614,"12/10/2021"
"2019/2020","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",9,,6.3,,41.74,.614,"12/10/2021"
"2020/2021","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Crew QS",8,,7.45,,41.74,.561,"12/10/2021"
"Initial allocation","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",15,,1.78,,45.73,.749,"12/10/2021"
"2005/2006","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",15,,1.78,,45.73,.749,"12/10/2021"
"2006/2007","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",16,,1.74,,45.73,.766,"12/10/2021"
"2007/2008","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",15,,1.71,,45.73,.777,"12/10/2021"
"2008/2009","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",15,,1.78,,45.73,.777,"12/10/2021"
"2009/2010","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",15,,1.78,,45.73,.777,"12/10/2021"
"2010/2011","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",15,,1.78,,45.73,.777,"12/10/2021"
"2011/2012","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",14,,1.69,,45.73,.784,"12/10/2021"
"2012/2013","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",14,,1.69,,45.73,.783,"12/10/2021"
"2013/2014","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",13,,1.81,,45.73,.77,"12/10/2021"
"2014/2015","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",13,,1.81,,45.73,.77,"12/10/2021"
"2015/2016","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",13,,1.81,,45.73,.77,"12/10/2021"
"2016/2017","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",13,,1.81,,45.73,.77,"12/10/2021"
"2017/2018","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",13,,1.81,,45.73,.77,"12/10/2021"
"2018/2019","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",13,,1.81,,45.73,.77,"12/10/2021"
"2019/2020","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",13,,1.81,,45.73,.77,"12/10/2021"
"2020/2021","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Owner QS",13,,1.81,,45.73,.77,"12/10/2021"
"Initial allocation","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",9,,1.03,,62.98,.857,"12/10/2021"
"2005/2006","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",9,,1.03,,62.98,.857,"12/10/2021"
"2006/2007","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",9,,1.03,,62.98,.857,"12/10/2021"
"2007/2008","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",9,,1.03,,62.98,.857,"12/10/2021"
"2008/2009","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2009/2010","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2010/2011","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2011/2012","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2012/2013","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2013/2014","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2014/2015","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2015/2016","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2016/2017","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2017/2018","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2018/2019","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2019/2020","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"2020/2021","WAG","ALEUTIAN ISLANDS GOLDEN KING CRAB - WEST","Processor QS",10,,3.41,,29.98,.664,"12/10/2021"
"Initial allocation","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2005/2006","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2006/2007","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2007/2008","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2008/2009","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2009/2010","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2010/2011","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2011/2012","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2012/2013","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2013/2014","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2014/2015","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2015/2016","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2016/2017","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2017/2018","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2018/2019","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2019/2020","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"2020/2021","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Crew QS",4,,20.84,,49.46,.414,"12/10/2021"
"Initial allocation","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",30,,.65,,45.16,.807,"12/10/2021"
"2005/2006","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",30,,.65,,45.16,.807,"12/10/2021"
"2006/2007","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",33,,.62,,45.16,.822,"12/10/2021"
"2007/2008","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",33,,.62,,45.16,.822,"12/10/2021"
"2008/2009","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",33,,.62,,45.16,.822,"12/10/2021"
"2009/2010","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",33,,.62,,45.16,.822,"12/10/2021"
"2010/2011","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",33,,.62,,45.16,.822,"12/10/2021"
"2011/2012","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",36,,.62,,45.16,.817,"12/10/2021"
"2012/2013","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",40,,.5,,45.16,.831,"12/10/2021"
"2013/2014","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",37,,.65,,45.16,.821,"12/10/2021"
"2014/2015","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",37,,.65,,45.16,.821,"12/10/2021"
"2015/2016","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",37,,.65,,45.16,.822,"12/10/2021"
"2016/2017","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",38,,.63,,45.16,.826,"12/10/2021"
"2017/2018","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",38,,.63,,45.16,.826,"12/10/2021"
"2018/2019","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",38,,.63,,45.16,.826,"12/10/2021"
"2019/2020","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",38,,.63,,45.16,.827,"12/10/2021"
"2020/2021","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Owner QS",38,,.63,,45.16,.827,"12/10/2021"
"Initial allocation","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",9,,1.03,,62.98,.857,"12/10/2021"
"2005/2006","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",9,,1.03,,62.98,.857,"12/10/2021"
"2006/2007","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",9,,1.03,,62.98,.857,"12/10/2021"
"2007/2008","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,1.84,,62.98,.842,"12/10/2021"
"2008/2009","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2009/2010","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2010/2011","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2011/2012","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2012/2013","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2013/2014","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2014/2015","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2015/2016","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2016/2017","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2017/2018","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2018/2019","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2019/2020","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"2020/2021","WAI","WESTERN ALEUTIAN ISLANDS RED KING CRAB","Processor QS",8,,4.03,,32.99,.652,"12/10/2021"
"Initial allocation","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",166,.37,.56,.73,1.99,.303,"12/10/2021"
"2006/2007","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",156,.37,.57,.82,2,.322,"12/10/2021"
"2007/2008","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",154,.35,.57,.85,2,.336,"12/10/2021"
"2008/2009","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",149,.4,.58,.87,2,.336,"12/10/2021"
"2009/2010","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",150,.38,.57,.87,1.99,.34,"12/10/2021"
"2010/2011","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",149,.36,.58,.87,1.99,.346,"12/10/2021"
"2011/2012","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",149,.36,.58,.87,1.99,.346,"12/10/2021"
"2012/2013","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",148,.35,.58,.87,1.99,.349,"12/10/2021"
"2013/2014","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",146,.33,.58,.87,1.99,.37,"12/10/2021"
"2014/2015","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",143,.35,.58,.88,1.99,.371,"12/10/2021"
"2015/2016","WBT","BERING SEA TANNER CRAB - WEST","Crew QS",141,.34,.59,.89,1.99,.374,"12/10/2021"
