"FMP_AREA","GEAR","SECTOR","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","All Target Species","Pacific Cod","2004",3234,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Sablefish","2004",217,"1-5%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Sablefish","2004",9,"25-50%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Turbot","2004",3,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Turbot","2004",436,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Flathead Sole","2004",560,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Flathead Sole","2004",11414,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Atka Mackerel","2004",745,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Atka Mackerel","2004",47942,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Other Flatfish","2004",133,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Other Flatfish","2004",1843,"<1%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Pollock","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Rock Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Rockfish","2004",5,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Rockfish","2004",18,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Sablefish","2004",123,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Other Flatfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Flathead Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Other Groundfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Other Groundfish","2004",0,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Halibut","Pacific Cod","2004",54,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Halibut","Pacific Cod","2004",14,"0%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Arrowtooth","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","All Target Species","Arrowtooth","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Atka Mackerel","2004",1,"10-25%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Other Flatfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Rock Sole","2004",26588,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Rockfish","2004",205,"25-50%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Rockfish","2004",10651,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Pollock","2004",788581,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","All Target Species","Pollock","2004",665017,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","All Target Species","Rock Sole","2004",560,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","All Groundfish","2004",997401,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","All Groundfish","2004",849006,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Arrowtooth","2004",3731,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Pollock","2004",640557,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Pollock","2004",775797,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Flathead Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","All Groundfish","2004",35900,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","All Groundfish","2004",38155,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Arrowtooth","2004",1,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Arrowtooth","2004",729,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Other Groundfish","2004",259,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Other Groundfish","2004",467,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Pacific Cod","2004",3498,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Pacific Cod","2004",2568,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Other Groundfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Turbot","2004",81,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Sablefish","2004",24,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Turbot","2004",27,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Yellowfin Sole","2004",17,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Flathead Sole","2004",425,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Flathead Sole","2004",533,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","All Groundfish","2004",40,"25-50%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Arrowtooth","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Atka Mackerel","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Other Flatfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Pollock","2004",128,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Rock Sole","2004",55,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Rockfish","2004",14,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Atka Mackerel","2004",198,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Atka Mackerel","2004",4,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Other Flatfish","2004",119,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Other Flatfish","2004",34,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Rockfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Sablefish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Sablefish","2004",19,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Pacific Cod","2004",108891,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","All Groundfish","2004",781439,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","All Groundfish","2004",645018,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Arrowtooth","2004",44,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Arrowtooth","2004",75,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Pollock","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Pollock","2004",185,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Rock Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Rock Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Rockfish","2004",8416,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","Other Groundfish","2004",22,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","Pacific Cod","2004",152,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Arrowtooth","Pollock","2004",197,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Rock Sole","2004",560,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Rock Sole","2004",26588,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","All Target Species","Rockfish","2004",10787,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Target Species","Rockfish","2004",254,"25-50%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Pacific Cod","Pacific Cod","2004",872,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Other Flatfish","2004",8,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Flathead Sole","2004",25,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Processors","Pacific Cod","Other Groundfish","2004",4453,"0%"
"Bering Sea and Aleutian Islands","Hook and Line","Catcher Vessels","Pacific Cod","Other Groundfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","All Target Species","Turbot","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Turbot","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Yellowfin Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","Arrowtooth","All Groundfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","Arrowtooth","Arrowtooth","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","Arrowtooth","Turbot","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Pot","Catcher Processors","Pacific Cod","All Groundfish","2004",3234,"<1%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","Pacific Cod","All Groundfish","2004",14006,"<1%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Rockfish","2004",2,"1-5%"
"Bering Sea and Aleutian Islands","Pot","Catcher Vessels","All Target Species","Sablefish","2004",800,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Flathead Sole","2004",827,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Other Groundfish","2004",116,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Yellowfin Sole","2004",438,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Yellowfin Sole","2004",0,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","All Groundfish","2004",7780,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","All Groundfish","2004",12929,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Other Groundfish","2004",59,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Rockfish","2004",127,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Rockfish","2004",6,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Sablefish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Sablefish","2004",39,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Turbot","2004",31,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Atka Mackerel","2004",15,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Other Flatfish","2004",110,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Flathead Sole","2004",309,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Rock Sole","2004",2656,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Rock Sole","2004",11,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","All Groundfish","2004",28594,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Arrowtooth","2004",45,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Atka Mackerel","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Yellowfin","Other Flatfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Other Flatfish","2004",420,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Turbot","2004",3,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Turbot","2004",6,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Yellowfin Sole","2004",60,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Yellowfin Sole","2004",183,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Turbot","2004",57,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Yellowfin Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Yellowfin","All Groundfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","All Groundfish","2004",74357,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Arrowtooth","2004",59,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Pollock","2004",3950,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Pollock","2004",810,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Sablefish","2004",8,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Sablefish","2004",2,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Other Groundfish","2004",5,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Pacific Cod","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Pollock","2004",3,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Rockfish","2004",17,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Sablefish","2004",12,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Other Groundfish","2004",566,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Other Groundfish","2004",93,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Pacific Cod","2004",24766,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Pacific Cod","2004",37211,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Rock Sole","2004",534,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Rock Sole","2004",797,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","All Groundfish","2004",113,"1-5%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Arrowtooth","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Other Flatfish","2004",4,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Turbot","Flathead Sole","2004",14,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Flathead Sole","2004",10,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Flathead Sole","2004",1020,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Pelagic","Rockfish","2004",140,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Pelagic","Rockfish","2004",148,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Pacific Cod","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Pollock","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Rock Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Rockfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Sablefish","2004",29,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Sablefish","Turbot","2004",12,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Atka Mackerel","2004",3,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Atka Mackerel","2004",1089,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pacific Cod","Other Flatfish","2004",9,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pacific Cod","Other Flatfish","2004",490,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Other Groundfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Other Groundfish","2004",6,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Pacific Cod","2004",134,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Pacific Cod","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Flathead Sole","2004",90,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Other Groundfish","2004",33,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Pacific Cod","2004",181,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Turbot","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Turbot","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Yellowfin Sole","2004",150,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Yellowfin Sole","2004",16,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Flathead Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Flathead Sole","2004",9,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Arrowtooth","2004",142,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Atka Mackerel","2004",48,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Other Flatfish","2004",293,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Rockfish","2004",52,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Rockfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Sablefish","2004",1,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Pacific Cod","2004",106,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Pacific Cod","2004",163,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Pollock","2004",7188,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Pollock","2004",11974,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Arrowtooth","2004",94,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Arrowtooth","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Atka Mackerel","2004",172,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Other Flatfish","2004",3,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","Other Flatfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","All Groundfish","2004",1054,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Rock Sole","2004",14,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Rock Sole","2004",225,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Turbot","2004",103,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Yellowfin Sole","2004",2241,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Other Groundfish","2004",48,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Other Groundfish","2004",142,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Yellowfin Sole","2004",1963,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","All Groundfish","2004",9119,"<1%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Rockfish","All Groundfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Flathead Sole","2004",58,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Flathead Sole","2004",16,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Rock Sole","2004",16040,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Rockfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Sablefish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Turbot","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Yellowfin Sole","2004",57455,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Yellowfin","Yellowfin Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Pollock","2004",4556,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Rock Sole","2004",5712,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Yellowfin","Rock Sole","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Rockfish","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Rock Sole","2004",1042,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Rockfish","2004",85,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Flathead Sole","Sablefish","2004",13,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Other Flatfish","2004",3,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Other Flatfish","2004",6,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Yellowfin","Pacific Cod","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Pacific Cod","2004",3501,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Yellowfin","Pollock","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Yellowfin","Pollock","2004",6268,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Arrowtooth","2004",2,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Arrowtooth","2004",1,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Atka Mackerel","2004",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Atka Mackerel","2004",543,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rock Sole","Pacific Cod","2004",5496,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Yellowfin Sole","2005",4,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Pacific Cod","2005",83,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Flathead Sole","2005",51,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Other Groundfish","2005",11,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Pacific Cod","2005",100,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Turbot","2005",1,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Yellowfin Sole","2005",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Flathead Sole","2005",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Arrowtooth","2005",207,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Atka Mackerel","2005",50,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Other Flatfish","Other Flatfish","2005",362,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Rockfish","2005",-9999,"100%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Rockfish","2005",101,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Sablefish","2005",1,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Pacific Cod","2005",862,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Pacific Cod","2005",158,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Vessels","Pollock, Bottom","Pollock","2005",27010,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Pollock, Bottom","Pollock","2005",2896,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Arrowtooth","2005",161,"0%"
"Bering Sea and Aleutian Islands","Trawl","Catcher Processors","Rockfish","Atka Mackerel","2005",157,"0%"
