"FMP_AREA","GEAR","SUBAREA","SPECIES","YEAR","EXVES_VAL","PERCENT_VAL_SUPPRESSED"
"Gulf of Alaska","Hook and Line","All Subareas","Deep-Water Flatfish (GOA)","2007",-9999,"100%"
"Gulf of Alaska","All Gear","Western Gulf","Pacific Ocean Perch","2007",1530900,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Pacific Ocean Perch","2007",1530900,"0%"
"Gulf of Alaska","All Gear","All Subareas","Pollock","2007",16304294,"<1%"
"Gulf of Alaska","Trawl","All Subareas","Pollock","2007",16257572,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Pollock","2007",10380853,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Pollock","2007",10340651,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Pollock","2007",5563393,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Pollock","2007",5556873,"0%"
"Gulf of Alaska","Trawl","All Subareas","Deep-Water Flatfish (GOA)","2007",28700,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Deep-Water Flatfish (GOA)","2007",27726,"1-5%"
"Gulf of Alaska","Hook and Line","Central Gulf","Deep-Water Flatfish (GOA)","2007",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Deep-Water Flatfish (GOA)","2007",27726,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Deep-Water Flatfish (GOA)","2007",975,"25-50%"
"Gulf of Alaska","All Gear","All Subareas","Rex Sole (GOA)","2007",1151474,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Rex Sole (GOA)","2007",-9999,"100%"
"Gulf of Alaska","Trawl","All Subareas","Rex Sole (GOA)","2007",1151474,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Rex Sole (GOA)","2007",1017211,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Rex Sole (GOA)","2007",1017211,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Rex Sole (GOA)","2007",134263,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Deep-Water Flatfish (GOA)","2007",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Deep-Water Flatfish (GOA)","2007",975,"0%"
"Gulf of Alaska","All Gear","All Subareas","Dusky Rockfish","2007",1181385,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Dusky Rockfish","2007",18757,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Rex Sole (GOA)","2007",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Rex Sole (GOA)","2007",134263,"0%"
"Gulf of Alaska","All Gear","All Subareas","Sablefish","2007",85180230,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Sablefish","2007",81380519,"0%"
"Gulf of Alaska","Trawl","All Subareas","Sablefish","2007",3799711,"0%"
"Gulf of Alaska","Trawl","All Subareas","Dusky Rockfish","2007",1162530,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Dusky Rockfish","2007",867253,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Dusky Rockfish","2007",18098,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Dusky Rockfish","2007",849056,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Dusky Rockfish","2007",206207,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Sablefish","2007",33730707,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Sablefish","2007",30988716,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Sablefish","2007",2741990,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Sablefish","2007",12146310,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Sablefish","2007",11368214,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Dusky Rockfish","2007",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Dusky Rockfish","2007",206207,"0%"
"Gulf of Alaska","All Gear","All Subareas","Flathead Sole","2007",866862,"<1%"
"Gulf of Alaska","Trawl","All Subareas","Flathead Sole","2007",866862,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","Sablefish","2007",778096,"0%"
"Gulf of Alaska","All Gear","All Subareas","Shallow-Water Flatfish (GOA)","2007",4205689,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Shallow-Water Flatfish (GOA)","2007",-9999,"100%"
"Gulf of Alaska","Trawl","All Subareas","Shallow-Water Flatfish (GOA)","2007",4205689,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Flathead Sole","2007",693028,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Flathead Sole","2007",693028,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Flathead Sole","2007",173834,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Shallow-Water Flatfish (GOA)","2007",4189156,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Shallow-Water Flatfish (GOA)","2007",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Shallow-Water Flatfish (GOA)","2007",4189156,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Shallow-Water Flatfish (GOA)","2007",16534,"1-5%"
"Gulf of Alaska","Trawl","Western Gulf","Flathead Sole","2007",173834,"0%"
"Gulf of Alaska","All Gear","All Subareas","Northern Rockfish","2007",1445271,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Northern Rockfish","2007",19,"75-99%"
"Gulf of Alaska","Trawl","All Subareas","Northern Rockfish","2007",1445252,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Northern Rockfish","2007",1054412,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Shallow-Water Flatfish (GOA)","2007",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Shallow-Water Flatfish (GOA)","2007",16534,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Northern Rockfish","2007",19,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Northern Rockfish","2007",1054393,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Northern Rockfish","2007",390859,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Northern Rockfish","2007",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Northern Rockfish","2007",390859,"0%"
"Gulf of Alaska","All Gear","All Subareas","Other Groundfish","2007",1438523,"0%"
"Gulf of Alaska","Hook and Line","All Subareas","Other Groundfish","2007",462756,"0%"
"Gulf of Alaska","Trawl","All Subareas","Pollock","2008",19406046,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Pollock","2008",12745167,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Pollock","2008",12710875,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Pollock","2008",5990309,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","Pollock","2008",5988040,"0%"
"Gulf of Alaska","Trawl","All Subareas","Deep-Water Flatfish (GOA)","2008",47003,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Deep-Water Flatfish (GOA)","2008",45506,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Deep-Water Flatfish (GOA)","2008",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Deep-Water Flatfish (GOA)","2008",45506,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Deep-Water Flatfish (GOA)","2008",1787,"0%"
"Gulf of Alaska","All Gear","All Subareas","Rex Sole (GOA)","2008",1049141,"0%"
"Gulf of Alaska","Trawl","All Subareas","Rex Sole (GOA)","2008",1049141,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Rex Sole (GOA)","2008",994726,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Rex Sole (GOA)","2008",994726,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Rex Sole (GOA)","2008",54415,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Deep-Water Flatfish (GOA)","2008",290,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Deep-Water Flatfish (GOA)","2008",1497,"0%"
"Gulf of Alaska","All Gear","All Subareas","Dusky Rockfish","2008",1319782,"5-10%"
"Gulf of Alaska","Hook and Line","All Subareas","Dusky Rockfish","2008",13299,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","Rex Sole (GOA)","2008",54415,"0%"
"Gulf of Alaska","All Gear","All Subareas","Sablefish","2008",89701825,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Sablefish","2008",86593954,"0%"
"Gulf of Alaska","Trawl","All Subareas","Sablefish","2008",3107871,"0%"
"Gulf of Alaska","Trawl","All Subareas","Dusky Rockfish","2008",1306484,"5-10%"
"Gulf of Alaska","All Gear","Central Gulf","Dusky Rockfish","2008",1110694,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Dusky Rockfish","2008",11050,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Dusky Rockfish","2008",1099644,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Dusky Rockfish","2008",206840,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Sablefish","2008",34371554,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Sablefish","2008",31855616,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Sablefish","2008",2515938,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Sablefish","2008",11085695,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Sablefish","2008",10665047,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Dusky Rockfish","2008",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Dusky Rockfish","2008",206840,"0%"
"Gulf of Alaska","All Gear","All Subareas","Flathead Sole","2008",905104,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Flathead Sole","2008",550,"5-10%"
"Gulf of Alaska","Trawl","All Subareas","Flathead Sole","2008",904554,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","Sablefish","2008",420647,"0%"
"Gulf of Alaska","All Gear","All Subareas","Shallow-Water Flatfish (GOA)","2008",4517297,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Shallow-Water Flatfish (GOA)","2008",1371,"50-75%"
"Gulf of Alaska","Trawl","All Subareas","Shallow-Water Flatfish (GOA)","2008",4515926,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Flathead Sole","2008",830335,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Flathead Sole","2008",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Flathead Sole","2008",830335,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Flathead Sole","2008",74769,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Flathead Sole","2008",550,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Shallow-Water Flatfish (GOA)","2008",4501476,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Shallow-Water Flatfish (GOA)","2008",1371,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Shallow-Water Flatfish (GOA)","2008",4500104,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Shallow-Water Flatfish (GOA)","2008",15822,"10-25%"
"Gulf of Alaska","Trawl","Western Gulf","Flathead Sole","2008",74219,"0%"
"Gulf of Alaska","All Gear","All Subareas","Northern Rockfish","2008",1476803,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Northern Rockfish","2008",18,"75-99%"
"Gulf of Alaska","Trawl","All Subareas","Northern Rockfish","2008",1476785,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Northern Rockfish","2008",792912,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Shallow-Water Flatfish (GOA)","2008",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Shallow-Water Flatfish (GOA)","2008",15822,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Northern Rockfish","2008",18,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Northern Rockfish","2008",792894,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Northern Rockfish","2008",683892,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Northern Rockfish","2008",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Northern Rockfish","2008",683892,"0%"
"Gulf of Alaska","All Gear","All Subareas","Other Groundfish","2008",2182712,"0%"
"Gulf of Alaska","Hook and Line","All Subareas","Other Groundfish","2008",687868,"0%"
"Gulf of Alaska","Trawl","All Subareas","Other Groundfish","2008",1220613,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Other Groundfish","2008",1918805,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Other Groundfish","2008",530673,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Other Groundfish","2008",1194846,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Other Groundfish","2008",150691,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Other Groundfish","2008",58667,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Other Groundfish","2008",11079,"0%"
"Gulf of Alaska","All Gear","All Subareas","Other Rockfish","2008",2430318,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Other Rockfish","2008",1976497,"0%"
"Gulf of Alaska","Trawl","All Subareas","Other Rockfish","2008",453821,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Other Rockfish","2008",770104,"0%"
"Gulf of Alaska","All Gear","All Subareas","All Groundfish","2008",196278506,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","All Groundfish","2008",106683490,"<1%"
"Gulf of Alaska","Trawl","All Subareas","All Groundfish","2008",58833877,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Groundfish","2008",103603667,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Groundfish","2008",43996265,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Other Rockfish","2008",516169,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Other Rockfish","2008",253934,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Other Rockfish","2008",379879,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Other Rockfish","2008",225218,"0%"
"Gulf of Alaska","Trawl","Central Gulf","All Groundfish","2008",43123646,"0%"
"Gulf of Alaska","All Gear","Western Gulf","All Groundfish","2008",45159849,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","All Groundfish","2008",16515342,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","All Groundfish","2008",14367126,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Other Rockfish","2008",154662,"0%"
"Gulf of Alaska","All Gear","All Subareas","Pacific Cod","2008",64445235,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Pacific Cod","2008",17342941,"0%"
"Gulf of Alaska","Pot","All Subareas","Pacific Cod","2008",30484256,"0%"
"Gulf of Alaska","Trawl","All Subareas","Pacific Cod","2008",16618038,"<1%"
"Gulf of Alaska","All Gear","All Subareas","Arrowtooth Flounder","2008",4077618,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Arrowtooth Flounder","2008",32668,"0%"
"Gulf of Alaska","Trawl","All Subareas","Arrowtooth Flounder","2008",4044949,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Arrowtooth Flounder","2008",3549269,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Pacific Cod","2008",39126074,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","2008",11043086,"0%"
"Gulf of Alaska","Pot","Central Gulf","Pacific Cod","2008",16287820,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Pacific Cod","2008",11795168,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Pacific Cod","2008",24556879,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth Flounder","2008",6641,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Arrowtooth Flounder","2008",3542629,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Arrowtooth Flounder","2008",528050,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Arrowtooth Flounder","2008",25729,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Pacific Cod","2008",5537573,"0%"
"Gulf of Alaska","Pot","Western Gulf","Pacific Cod","2008",14196436,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Pacific Cod","2008",4822870,"0%"
"Gulf of Alaska","All Gear","All Subareas","Pacific Ocean Perch","2008",4344211,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","Arrowtooth Flounder","2008",502321,"0%"
"Gulf of Alaska","All Gear","All Subareas","Atka Mackerel","2008",338435,"<1%"
"Gulf of Alaska","Trawl","All Subareas","Atka Mackerel","2008",338435,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Atka Mackerel","2008",132183,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Atka Mackerel","2008",132183,"0%"
"Gulf of Alaska","Hook and Line","All Subareas","Pacific Ocean Perch","2008",-9999,"100%"
"Gulf of Alaska","Trawl","All Subareas","Pacific Ocean Perch","2008",4344211,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Pacific Ocean Perch","2008",2714863,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Ocean Perch","2008",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Pacific Ocean Perch","2008",2714863,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Atka Mackerel","2008",206252,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","Atka Mackerel","2008",206252,"0%"
"Gulf of Alaska","All Gear","All Subareas","Deep-Water Flatfish (GOA)","2008",47293,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Deep-Water Flatfish (GOA)","2008",290,"5-10%"
"Gulf of Alaska","All Gear","Western Gulf","Pacific Ocean Perch","2008",1224571,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","Pacific Ocean Perch","2008",1224571,"0%"
"Gulf of Alaska","All Gear","All Subareas","Pollock","2008",19442731,"<1%"
"Gulf of Alaska","All Gear","All Subareas","Pollock","2009",15951415,"<1%"
"Gulf of Alaska","All Gear","All Subareas","Other Groundfish","2009",1988188,"0%"
"Gulf of Alaska","Hook and Line","All Subareas","Other Groundfish","2009",588330,"0%"
"Gulf of Alaska","Trawl","All Subareas","Other Groundfish","2009",1202430,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Other Groundfish","2009",1665952,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Other Groundfish","2009",379867,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Other Groundfish","2009",1177278,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Other Groundfish","2009",160081,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Other Groundfish","2009",62600,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Other Groundfish","2009",8861,"0%"
"Gulf of Alaska","All Gear","All Subareas","Other Rockfish","2009",1958922,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Other Rockfish","2009",1690056,"0%"
"Gulf of Alaska","Trawl","All Subareas","Other Rockfish","2009",268866,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Other Rockfish","2009",600946,"0%"
"Gulf of Alaska","All Gear","All Subareas","All Groundfish","2009",148652034,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","All Groundfish","2009",91767352,"<1%"
"Gulf of Alaska","Trawl","All Subareas","All Groundfish","2009",42356548,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","All Groundfish","2009",74503738,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","All Groundfish","2009",36686342,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Other Rockfish","2009",449309,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Other Rockfish","2009",151637,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Other Rockfish","2009",257512,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Other Rockfish","2009",176659,"0%"
"Gulf of Alaska","Trawl","Central Gulf","All Groundfish","2009",30516359,"0%"
"Gulf of Alaska","All Gear","Western Gulf","All Groundfish","2009",31463938,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","All Groundfish","2009",14434456,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","All Groundfish","2009",9802386,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Other Rockfish","2009",80853,"0%"
"Gulf of Alaska","All Gear","All Subareas","Pacific Cod","2009",31783216,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Pacific Cod","2009",11018046,"0%"
"Gulf of Alaska","Pot","All Subareas","Pacific Cod","2009",14328816,"<1%"
"Gulf of Alaska","Trawl","All Subareas","Pacific Cod","2009",6436353,"0%"
"Gulf of Alaska","All Gear","All Subareas","Arrowtooth Flounder","2009",1921420,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Arrowtooth Flounder","2009",12019,"0%"
"Gulf of Alaska","Trawl","All Subareas","Arrowtooth Flounder","2009",1909401,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Arrowtooth Flounder","2009",1797550,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Pacific Cod","2009",17780406,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Pacific Cod","2009",5632584,"0%"
"Gulf of Alaska","Pot","Central Gulf","Pacific Cod","2009",7190435,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Pacific Cod","2009",4957387,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Pacific Cod","2009",13240865,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Arrowtooth Flounder","2009",5449,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Arrowtooth Flounder","2009",1792100,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Arrowtooth Flounder","2009",123041,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Arrowtooth Flounder","2009",6349,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Pacific Cod","2009",4627878,"0%"
"Gulf of Alaska","Pot","Western Gulf","Pacific Cod","2009",7138381,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Pacific Cod","2009",1474606,"0%"
"Gulf of Alaska","All Gear","All Subareas","Pacific Ocean Perch","2009",2194961,"<1%"
"Gulf of Alaska","Trawl","Western Gulf","Arrowtooth Flounder","2009",116692,"0%"
"Gulf of Alaska","All Gear","All Subareas","Atka Mackerel","2009",806663,"0%"
"Gulf of Alaska","Trawl","All Subareas","Atka Mackerel","2009",806662,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Atka Mackerel","2009",264710,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Atka Mackerel","2009",264710,"0%"
"Gulf of Alaska","Hook and Line","All Subareas","Pacific Ocean Perch","2009",-9999,"100%"
"Gulf of Alaska","Trawl","All Subareas","Pacific Ocean Perch","2009",2194961,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Pacific Ocean Perch","2009",1303653,"<1%"
"Gulf of Alaska","All Gear","Western Gulf","Atka Mackerel","2009",541953,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Atka Mackerel","2009",541952,"0%"
"Gulf of Alaska","All Gear","All Subareas","Deep-Water Flatfish (GOA)","2009",21821,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Deep-Water Flatfish (GOA)","2009",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Pacific Ocean Perch","2009",1303653,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Pacific Ocean Perch","2009",669688,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Pacific Ocean Perch","2009",-9999,"100%"
"Gulf of Alaska","Trawl","Western Gulf","Pacific Ocean Perch","2009",669688,"0%"
"Gulf of Alaska","Trawl","All Subareas","Pollock","2009",15907503,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Pollock","2009",9385761,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Pollock","2009",9344516,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Pollock","2009",5545013,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Pollock","2009",5542345,"0%"
"Gulf of Alaska","Trawl","All Subareas","Deep-Water Flatfish (GOA)","2009",21821,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Deep-Water Flatfish (GOA)","2009",21350,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Deep-Water Flatfish (GOA)","2009",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Deep-Water Flatfish (GOA)","2009",21350,"0%"
"Gulf of Alaska","All Gear","All Subareas","Rex Sole (GOA)","2009",1801631,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Rex Sole (GOA)","2009",-9999,"100%"
"Gulf of Alaska","Trawl","All Subareas","Rex Sole (GOA)","2009",1801631,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Rex Sole (GOA)","2009",1703342,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Rex Sole (GOA)","2009",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Rex Sole (GOA)","2009",1703342,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Rex Sole (GOA)","2009",98288,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Deep-Water Flatfish (GOA)","2009",471,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Deep-Water Flatfish (GOA)","2009",471,"0%"
"Gulf of Alaska","All Gear","All Subareas","Dusky Rockfish","2009",786138,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Dusky Rockfish","2009",6686,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Rex Sole (GOA)","2009",98288,"0%"
"Gulf of Alaska","All Gear","All Subareas","Sablefish","2009",84366830,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Sablefish","2009",78410016,"0%"
"Gulf of Alaska","Trawl","All Subareas","Sablefish","2009",5956814,"0%"
"Gulf of Alaska","Trawl","All Subareas","Dusky Rockfish","2009",779452,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Dusky Rockfish","2009",611618,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Dusky Rockfish","2009",4170,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Dusky Rockfish","2009",607447,"0%"
"Gulf of Alaska","All Gear","Central Gulf","Sablefish","2009",34773289,"0%"
"Gulf of Alaska","Hook and Line","Central Gulf","Sablefish","2009",30175338,"0%"
"Gulf of Alaska","Trawl","Central Gulf","Sablefish","2009",4597951,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Sablefish","2009",10215316,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Sablefish","2009",9558354,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Dusky Rockfish","2009",136514,"0%"
"Gulf of Alaska","Hook and Line","Western Gulf","Dusky Rockfish","2009",41,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Dusky Rockfish","2009",136472,"0%"
"Gulf of Alaska","All Gear","All Subareas","Flathead Sole","2009",959187,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Flathead Sole","2009",-9999,"100%"
"Gulf of Alaska","Trawl","All Subareas","Flathead Sole","2009",959187,"0%"
"Gulf of Alaska","Trawl","Western Gulf","Sablefish","2009",656962,"0%"
"Gulf of Alaska","All Gear","All Subareas","Shallow-Water Flatfish (GOA)","2009",3378114,"<1%"
"Gulf of Alaska","Hook and Line","All Subareas","Shallow-Water Flatfish (GOA)","2009",175,"5-10%"
"Gulf of Alaska","Trawl","All Subareas","Shallow-Water Flatfish (GOA)","2009",3377939,"<1%"
"Gulf of Alaska","All Gear","Central Gulf","Flathead Sole","2009",878450,"<1%"
"Gulf of Alaska","Hook and Line","Central Gulf","Flathead Sole","2009",-9999,"100%"
"Gulf of Alaska","Trawl","Central Gulf","Flathead Sole","2009",878450,"0%"
"Gulf of Alaska","All Gear","Western Gulf","Flathead Sole","2009",80263,"<1%"
"Gulf of Alaska","Hook and Line","Western Gulf","Flathead Sole","2009",-9999,"100%"
