"YEAR","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","QLY_VESCOUNT","QLY_LBSLEASE","QLY_LBSLEASEMED","QLY_LBSLEASEAVG","QLY_COST_NOM","QLY_COST_REAL","QLY_COSTMED_NOM","QLY_COSTMED_REAL","QLY_COSTMEAN_NOM","QLY_COSTMEAN_REAL","QLY_PRICEMED_NOM","QLY_PRICEMED_REAL","QLY_PRICEMEAN_NOM","QLY_PRICEMEAN_REAL","QLY_LEASERATEMED","QLY_LEASERATEMEAN","LOAD_DATE","ADJUST_YR"
"2013","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",37,198960,5281,5377,973426,1086773,25235,28173,26309,29372,4.77,5.32,4.89,5.46,.62,.71,"12/10/2021",2020
"2013","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",45,777861,10159,17286,3700308,4131176,51295,57268,82229,91804,4.74,5.29,4.76,5.31,.46,.56,"12/10/2021",2020
"2012","BBR","BRISTOL BAY RED KING CRAB","CVO B + CPO",42,539096,8195,12537,2899525,3294527,47577,54058,69346,78793,5.32,6.04,5.47,6.21,.5,.51,"12/10/2021",2020
"2012","BBR","BRISTOL BAY RED KING CRAB","CVC + CPC",36,171600,4851,4767,896843,1019020,24389,27711,24912,28306,5.21,5.92,5.23,5.94,.63,.6,"12/10/2021",2020
"2012","BBR","BRISTOL BAY RED KING CRAB","CVO A",50,3618968,65483,72379,17808847,20234946,305357,346956,356177,404699,5.16,5.87,4.92,5.59,.45,.47,"12/10/2021",2020
"2012","BBR","BRISTOL BAY RED KING CRAB","CDQ + ACA",5,368615,70677,73723,2180466,2477511,432573,491502,436093,495502,5.4,6.13,5.92,6.72,.64,.88,"12/10/2021",2020
"2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVO B + CPO",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVO A",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVC + CPC",2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CDQ + ACA",1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVC + CPC",2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVO B + CPO",2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVO A",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVO A",17,1149283,49071,67605,1627619,1849350,66103,75108,95742,108785,1.37,1.56,1.42,1.61,.32,.34,"12/10/2021",2020
"2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CDQ + ACA",3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"12/10/2021",2020
"2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVC + CPC",9,94703,2483,10523,44983,51111,5355,6085,4998,5679,1.42,1.62,.47,.54,.37,.39,"12/10/2021",2020
"2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","CVO B + CPO",10,143730,11964,14373,207436,235695,19121,21725,20744,23570,1.43,1.63,1.44,1.64,.35,.39,"12/10/2021",2020
