"SEASON","FISHERY_CODE","FISHERY_NAME","QUOTA_TYPE","INITIALQSHOLDER_COUNT","INITIALQSHOLDER_SHARE","NEWQSHOLDER_COUNT","NEWQSHOLDER_SHARE","LOAD_DATE"
"Initial allocation","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",166,100,0,0,"12/10/2021"
"2006/2007","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",150,97.44,6,2.56,"12/10/2021"
"2007/2008","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",146,95.21,8,4.79,"12/10/2021"
"2008/2009","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",141,94.34,8,5.66,"12/10/2021"
"2009/2010","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",140,94.07,10,5.93,"12/10/2021"
"2010/2011","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",138,93.8,11,6.2,"12/10/2021"
"2011/2012","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",138,93.8,11,6.2,"12/10/2021"
"2012/2013","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",136,92.83,12,7.17,"12/10/2021"
"2013/2014","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",132,91.18,14,8.82,"12/10/2021"
"2014/2015","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",122,87.56,21,12.44,"12/10/2021"
"2015/2016","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",118,83.9,23,16.1,"12/10/2021"
"2016/2017","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",112,79.41,28,20.59,"12/10/2021"
"2017/2018","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",88,68.4,37,31.6,"12/10/2021"
"2018/2019","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",83,65.92,39,34.08,"12/10/2021"
"2019/2020","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",78,61.69,39,38.31,"12/10/2021"
"2020/2021","EBT","BERING SEA TANNER CRAB - EAST","Crew QS",73,58.63,39,41.37,"12/10/2021"
"Initial allocation","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",256,100,0,0,"12/10/2021"
"2006/2007","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",236,94.31,8,5.69,"12/10/2021"
"2007/2008","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",226,90.04,20,9.96,"12/10/2021"
"2008/2009","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",216,88.91,23,11.09,"12/10/2021"
"2009/2010","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",209,85.43,36,14.57,"12/10/2021"
"2010/2011","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",204,83.35,39,16.65,"12/10/2021"
"2011/2012","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",202,83.34,43,16.66,"12/10/2021"
"2012/2013","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",198,80.99,48,19.01,"12/10/2021"
"2013/2014","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",193,82.06,47,17.94,"12/10/2021"
"2014/2015","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",187,81.61,53,18.39,"12/10/2021"
"2015/2016","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",186,81.6,53,18.4,"12/10/2021"
"2016/2017","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",181,81.66,56,18.34,"12/10/2021"
"2017/2018","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",176,80.34,62,19.66,"12/10/2021"
"2018/2019","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",170,80.3,61,19.7,"12/10/2021"
"2019/2020","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",160,77.76,70,22.24,"12/10/2021"
"2020/2021","EBT","BERING SEA TANNER CRAB - EAST","Owner QS",157,77.34,72,22.66,"12/10/2021"
"Initial allocation","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",40,100,0,0,"12/10/2021"
"2005/2006","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",40,100,0,0,"12/10/2021"
"2006/2007","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",38,96.99,1,3.01,"12/10/2021"
"2007/2008","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",38,96.99,1,3.01,"12/10/2021"
"2008/2009","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",37,92.99,2,7.01,"12/10/2021"
"2009/2010","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",37,93.02,2,6.98,"12/10/2021"
"2010/2011","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",36,90.42,3,9.58,"12/10/2021"
"2011/2012","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",36,90.42,3,9.58,"12/10/2021"
"2012/2013","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",35,87.66,4,12.34,"12/10/2021"
"2013/2014","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",35,86.2,5,13.8,"12/10/2021"
"2014/2015","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",34,84.75,5,15.25,"12/10/2021"
"2015/2016","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",33,80.91,6,19.09,"12/10/2021"
"2016/2017","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",31,76.79,8,23.21,"12/10/2021"
"2017/2018","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",27,69.01,12,30.99,"12/10/2021"
"2018/2019","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",27,69.01,12,30.99,"12/10/2021"
"2019/2020","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",26,67.61,13,32.39,"12/10/2021"
"2020/2021","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Crew QS",26,66.17,13,33.83,"12/10/2021"
"Initial allocation","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",112,100,0,0,"12/10/2021"
"2005/2006","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",107,97.28,7,2.72,"12/10/2021"
"2006/2007","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",105,94.67,8,5.33,"12/10/2021"
"2007/2008","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",99,90.71,19,9.29,"12/10/2021"
"2008/2009","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",95,86.37,24,13.63,"12/10/2021"
"2009/2010","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",95,86.41,24,13.59,"12/10/2021"
"2010/2011","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",92,78.37,25,21.63,"12/10/2021"
"2011/2012","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",91,75.15,28,24.85,"12/10/2021"
"2012/2013","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",88,72.31,31,27.69,"12/10/2021"
"2013/2014","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",87,72.12,29,27.88,"12/10/2021"
"2014/2015","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",85,69.7,30,30.3,"12/10/2021"
"2015/2016","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",85,69.7,30,30.3,"12/10/2021"
"2016/2017","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",83,69.2,33,30.8,"12/10/2021"
"2017/2018","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",82,66.1,36,33.9,"12/10/2021"
"2018/2019","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",78,61.78,39,38.22,"12/10/2021"
"2019/2020","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",76,59.59,42,40.41,"12/10/2021"
"2020/2021","PIK","PRIBILOF ISLANDS RED AND BLUE KING CRAB","Owner QS",75,57.48,44,42.52,"12/10/2021"
"Initial allocation","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",73,100,0,0,"12/10/2021"
"2005/2006","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",67,95.61,3,4.39,"12/10/2021"
"2006/2007","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",61,87.93,8,12.07,"12/10/2021"
"2007/2008","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",58,83.97,10,16.03,"12/10/2021"
"2008/2009","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",57,82.65,11,17.35,"12/10/2021"
"2009/2010","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",57,82.85,11,17.15,"12/10/2021"
"2010/2011","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",57,82.85,11,17.15,"12/10/2021"
"2011/2012","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",55,79.91,12,20.09,"12/10/2021"
"2012/2013","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",55,81.31,11,18.69,"12/10/2021"
"2013/2014","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",51,76.08,15,23.92,"12/10/2021"
"2014/2015","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",49,74.46,16,25.54,"12/10/2021"
"2015/2016","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",47,71.9,17,28.1,"12/10/2021"
"2016/2017","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",45,68.94,20,31.06,"12/10/2021"
"2017/2018","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",35,54.69,28,45.31,"12/10/2021"
"2018/2019","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",34,52.22,29,47.78,"12/10/2021"
"2019/2020","SMB","ST. MATTHEW ISLAND BLUE KING CRAB","Crew QS",32,48.52,31,51.48,"12/10/2021"
