"FMP_AREA","GEAR","SUBAREA","GROUNDFISH_TARGET_SPECIES","SPECIES","YEAR","RETCATCH_MT","PERCENT_CATCH_SUPPRESSED"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2014",23820,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2015",24619,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2016",27722,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2017",23933,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2018",27875,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2019",27432,"10-25%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Rockfish","2020",28642,"5-10%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2003",14155,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2004",15934,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2005",14473,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2006",13820,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2007",13927,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2008",12680,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2009",11008,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2010",10300,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2011",11287,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2012",12288,"<1%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2013",11902,"1-5%"
"Gulf of Alaska","All Gear","All Subareas","All Target Species","Sablefish","2014",10344,"1-5%"
