"FMP_AREA","GEAR","SECTOR","SPECIES","YEAR","EXVES_VAL","PERCENT_VAL_SUPPRESSED"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","Yellowfin Sole (BSAI)","2017",50000931,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","Yellowfin Sole (BSAI)","2018",60381410,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","Yellowfin Sole (BSAI)","2019",57241691,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Processors","Yellowfin Sole (BSAI)","2020",46546057,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2003",224892056,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2004",212847028,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2005",254662754,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2006",272823426,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2007",259897183,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2008",299541195,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2009",205910930,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2010",173333376,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2011",282234906,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2012",298680146,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2013",260459569,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2014",277673278,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2015",266819170,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2016",256751353,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2017",262275251,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2018",307049564,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2019",328022994,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","All Groundfish","2020",293263094,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2003",51285,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2004",22103,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2005",132134,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2006",222026,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2007",346505,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2008",294144,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2009",222399,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2010",127869,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2011",251770,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2012",190855,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2013",78113,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2014",91420,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2015",33937,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2016",23653,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2017",36268,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2018",47556,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2019",60511,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Arrowtooth Flounder","2020",71668,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2003",93895,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2004",188649,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2005",151283,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2006",140187,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2007",54756,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2008",5533,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2009",9812,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2010",24906,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2011",557380,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2012",153665,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2013",49362,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2014",79279,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2015",20081,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2016",10221,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2017",5304,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2018",393537,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2019",141540,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Atka Mackerel","2020",236045,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2003",224667,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2004",235027,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2005",473002,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2006",829212,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2007",978668,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2008",811765,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2009",703641,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2010",509693,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2011",662128,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2012",558501,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2013",347087,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2014",335120,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2015",147977,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2016",110020,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2017",150469,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2018",208826,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2019",151168,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Flathead Sole","2020",237795,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2011",-9999,"100%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2012",923,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2013",-9999,"100%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2014",-9999,"100%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2015",706,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2016",-9999,"100%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2017",-9999,"100%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2018",621,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2019",414,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Kamchatka Flounder (BSAI)","2020",1157,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2003",1075,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2004",3840,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2005",10536,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2006",13561,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2007",1612,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2008",1513,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2009",2652,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2010",6272,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2011",6613,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2012",11666,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2013",6655,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2014",17678,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2015",11627,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2016",2066,"10-25%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2017",1483,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2018",6105,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2019",7814,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Northern Rockfish","2020",13248,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2003",67588,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2004",103916,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2005",218286,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2006",332368,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2007",454448,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2008",299312,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2009",172199,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2010",209026,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2011",334142,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2012",331554,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2013",76722,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2014",125566,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2015",75897,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2016",57915,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2017",81270,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2018",70144,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2019",196228,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Flatfish (BSAI)","2020",295834,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2003",127449,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2004",493592,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2005",412201,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2006",284331,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2007",104035,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2008",221872,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2009",113861,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2010",94801,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2011",127742,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2012",161222,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2013",66830,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2014",483648,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2015",564981,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2016",181222,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2017",396766,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2018",637276,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2019",171250,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Groundfish","2020",145482,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2003",95965,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2004",82389,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2005",60348,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2006",66956,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2007",54688,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2008",52521,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2009",77311,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2010",92878,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2011",100776,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2012",87252,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2013",88060,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2014",70984,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2015",71339,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2016",48949,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2017",48751,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2018",54088,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2019",38819,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Other Rockfish","2020",34427,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2003",35912638,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2004",26445998,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2005",26905009,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2006",42213861,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2007",47158062,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2008",57070019,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2009",19364880,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2010",23428889,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2011",36680687,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2012",49099722,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2013",37128449,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2014",44837261,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2015",34097570,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2016",44624856,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2017",53984623,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2018",65002459,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2019",62257053,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Cod","2020",53319105,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2003",37864,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2004",93805,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2005",192051,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2006",278078,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2007",145412,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2008",161571,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2009",177318,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2010",57958,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2011",131491,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2012",188576,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2013",101060,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2014",199953,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2015",334919,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2016",252601,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2017",313961,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2018",544566,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2019",675291,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pacific Ocean Perch","2020",615268,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2003",181677602,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2004",179754234,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2005",218630274,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2006",220082029,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2007",201953967,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2008",232347735,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2009",176618988,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2010",142402280,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2011",229356772,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2012",241362005,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2013",218673335,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2014",226545517,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2015",227419574,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2016",209363902,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2017",205544750,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2018",236672588,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2019",259814685,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Pollock","2020",233703395,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2003",237349,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2004",297422,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2005",168523,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2006",347342,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2007",118518,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2008",245799,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2009",1501757,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2010",324394,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2011",665164,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2012",939064,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2013",216914,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2014",265265,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2015",104595,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2016",90646,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2017",148859,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2018",187552,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2019",90069,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Rock Sole (BSAI)","2020",79196,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2003",6303407,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2004",5090960,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2005",7302377,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2006",7595948,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2007",7903275,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2008",7728388,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2009",6914898,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2010",5975199,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2011",13345713,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2012",5542747,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2013",3567028,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2014",4542276,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2015",3901618,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2016",1970877,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2017",1551559,"50-75%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2018",3081645,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2019",4408664,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Sablefish","2020",4494222,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2003",34286,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2004",4389,"25-50%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2005",6154,"5-10%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2006",18049,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2007",7673,"5-10%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2008",21670,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2009",4592,"1-5%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2010",4818,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2011",3706,"10-25%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2012",20965,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2013",3125,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2014",7132,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2015",6660,"<1%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2016",2341,"10-25%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2017",1921,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2018",8949,"0%"
"Bering Sea and Aleutian Islands","All Gear","Catcher Vessels","Turbot (BSAI)","2019",3140,"<1%"
