"FMP_AREA","HARVEST_SECTOR","SPECIES_GROUP","YEAR","RETAINED_CATCH_MT","EXVESSEL_VALUE"
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2008",3657,1698974
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2008",579017,305546969
"Gulf of Alaska","All Sectors","All Groundfish","2008",176948,196401139
"Gulf of Alaska","Catcher Processors","All Groundfish","2008",29516,24978520
"Gulf of Alaska","Catcher Vessels","All Groundfish","2008",147433,171422619
"All Alaska","All Sectors","Atka Mackerel","2008",56434,21191662
"All Alaska","Catcher Processors","Atka Mackerel","2008",56417,21185356
"All Alaska","Catcher Vessels","Atka Mackerel","2008",17,6306
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2008",55651,20854812
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2008",55635,20848809
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2008",1195,7723329
"Gulf of Alaska","All Sectors","Sablefish","2008",12781,89826458
"Gulf of Alaska","Catcher Processors","Sablefish","2008",1483,9370538
"Gulf of Alaska","Catcher Vessels","Sablefish","2008",11299,80455919
"All Alaska","All Sectors","All Groundfish","2008",1647450,924356756
"All Alaska","Catcher Processors","All Groundfish","2008",921001,447387167
"All Alaska","Catcher Vessels","All Groundfish","2008",726449,476969588
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2008",1470502,727955617
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2008",891485,422408647
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2008",299,149380
"Gulf of Alaska","All Sectors","Rockfish","2008",21552,9636514
"Gulf of Alaska","Catcher Processors","Rockfish","2008",12016,4678517
"Gulf of Alaska","Catcher Vessels","Rockfish","2008",9536,4957997
"All Alaska","All Sectors","Sablefish","2008",14717,101341397
"All Alaska","Catcher Processors","Sablefish","2008",2223,13162149
"All Alaska","Catcher Vessels","Sablefish","2008",12494,88179249
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2008",1935,11514940
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2008",740,3791611
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2008",521389,232928696
"Gulf of Alaska","All Sectors","Pollock","2008",48896,19442908
"Gulf of Alaska","Catcher Processors","Pollock","2008",478,105365
"Gulf of Alaska","Catcher Vessels","Pollock","2008",48418,19337543
"All Alaska","All Sectors","Rockfish","2008",39750,16754885
"All Alaska","Catcher Processors","Rockfish","2008",29915,11647509
"All Alaska","Catcher Vessels","Rockfish","2008",9835,5107377
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2008",18198,7118372
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2008",17898,6968992
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2008",50655,62816853
"Gulf of Alaska","All Sectors","Pacific Cod","2008",55705,64442574
"Gulf of Alaska","Catcher Processors","Pacific Cod","2008",5935,7643861
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2008",49770,56798713
"All Alaska","All Sectors","Pollock","2008",1032916,435030623
"All Alaska","Catcher Processors","Pollock","2008",463109,182764383
"All Alaska","Catcher Vessels","Pollock","2008",569807,252266239
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2008",984020,415587715
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2008",462631,182659019
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2008",1806,223733
"Gulf of Alaska","All Sectors","Other Groundfish","2009",3234,1939892
"Gulf of Alaska","Catcher Processors","Other Groundfish","2009",373,212938
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2009",2861,1726955
"All Alaska","All Sectors","Pacific Cod","2009",222389,120088039
"All Alaska","Catcher Processors","Pacific Cod","2009",138906,71517943
"All Alaska","Catcher Vessels","Pacific Cod","2009",83483,48570096
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2009",173140,88291937
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2009",131856,66825623
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2009",7471,2637307
"Gulf of Alaska","All Sectors","Flatfish","2009",29353,8028697
"Gulf of Alaska","Catcher Processors","Flatfish","2009",6408,1881832
"Gulf of Alaska","Catcher Vessels","Flatfish","2009",22945,6146866
"All Alaska","All Sectors","Other Groundfish","2009",10543,3792049
"All Alaska","Catcher Processors","Other Groundfish","2009",6282,1951365
"All Alaska","Catcher Vessels","Other Groundfish","2009",4261,1840684
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2009",7309,1852156
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2009",4,1769
"Gulf of Alaska","All Sectors","Atka Mackerel","2009",1285,795800
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2009",1279,791787
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2009",7,4013
"All Alaska","All Sectors","Flatfish","2009",228624,71028091
"All Alaska","Catcher Processors","Flatfish","2009",198208,62243919
"All Alaska","Catcher Vessels","Flatfish","2009",30415,8784172
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2009",199271,62999394
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2009",191800,60362087
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2009",484160,207869782
"Gulf of Alaska","All Sectors","All Groundfish","2009",156819,148493053
"Gulf of Alaska","Catcher Processors","All Groundfish","2009",30096,20052087
"Gulf of Alaska","Catcher Vessels","All Groundfish","2009",126722,128440967
"All Alaska","All Sectors","Atka Mackerel","2009",67912,28323536
"All Alaska","Catcher Processors","Atka Mackerel","2009",67901,28317753
"All Alaska","Catcher Vessels","Atka Mackerel","2009",11,5783
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2009",66627,27527736
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2009",66622,27525966
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2009",1219,6912546
"Gulf of Alaska","All Sectors","Sablefish","2009",11107,84320983
"Gulf of Alaska","Catcher Processors","Sablefish","2009",1237,9324871
"Gulf of Alaska","Catcher Vessels","Sablefish","2009",9870,74996112
"All Alaska","All Sectors","All Groundfish","2009",1427189,658653653
"All Alaska","Catcher Processors","All Groundfish","2009",816307,322342905
"All Alaska","Catcher Vessels","All Groundfish","2009",610882,336310748
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2009",1270370,510160600
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2009",786210,302290818
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2009",155,118257
"Gulf of Alaska","All Sectors","Rockfish","2009",20905,5662675
"Gulf of Alaska","Catcher Processors","Rockfish","2009",12343,2608577
"Gulf of Alaska","Catcher Vessels","Rockfish","2009",8562,3054099
"All Alaska","All Sectors","Sablefish","2009",13095,95146517
"All Alaska","Catcher Processors","Sablefish","2009",2006,13237859
"All Alaska","Catcher Vessels","Sablefish","2009",11089,81908658
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2009",1988,10825534
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2009",770,3912988
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2009",432628,176619859
"Gulf of Alaska","All Sectors","Pollock","2009",41685,15948903
"Gulf of Alaska","Catcher Processors","Pollock","2009",1407,539762
"Gulf of Alaska","Catcher Vessels","Pollock","2009",40278,15409141
"All Alaska","All Sectors","Rockfish","2009",36880,12130280
"All Alaska","Catcher Processors","Rockfish","2009",28163,8957924
"All Alaska","Catcher Vessels","Rockfish","2009",8717,3172355
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2009",15975,6467604
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2009",15820,6349348
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2009",41284,21466314
"Gulf of Alaska","All Sectors","Pacific Cod","2009",49249,31796102
"Gulf of Alaska","Catcher Processors","Pacific Cod","2009",7050,4692321
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2009",42199,27103782
"All Alaska","All Sectors","Pollock","2009",847746,328145141
"All Alaska","Catcher Processors","Pollock","2009",374840,136116141
"All Alaska","Catcher Vessels","Pollock","2009",472906,192029000
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2009",806060,312196238
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2009",373433,135576379
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2009",5909,1738427
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2009",1399,113729
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2010",3182,1250709
"Gulf of Alaska","All Sectors","Flatfish","2010",23765,5193052
"Gulf of Alaska","Catcher Processors","Flatfish","2010",3751,924249
"Gulf of Alaska","Catcher Vessels","Flatfish","2010",20014,4268803
"All Alaska","All Sectors","Other Groundfish","2010",9897,3281447
"All Alaska","Catcher Processors","Other Groundfish","2010",6131,1390319
"All Alaska","Catcher Vessels","Other Groundfish","2010",3767,1891128
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2010",6592,935925
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2010",5549,841066
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2010",1043,94859
"Gulf of Alaska","All Sectors","Other Groundfish","2010",3305,2345522
"Gulf of Alaska","Catcher Processors","Other Groundfish","2010",581,549253
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2010",2724,1796269
"All Alaska","All Sectors","Pacific Cod","2010",244124,141288216
"All Alaska","Catcher Processors","Pacific Cod","2010",130340,78351868
"All Alaska","Catcher Vessels","Pacific Cod","2010",113784,62936348
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2010",168790,97718338
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2010",121088,72399446
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2010",47702,25318892
"Gulf of Alaska","All Sectors","Pacific Cod","2010",75334,43569878
"Gulf of Alaska","Catcher Processors","Pacific Cod","2010",9252,5952422
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2010",66081,37617456
"All Alaska","All Sectors","Pollock","2010",883185,333606954
"All Alaska","Catcher Processors","Pollock","2010",385815,162737105
"All Alaska","Catcher Vessels","Pollock","2010",497371,170869849
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2010",807595,304813527
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2010",384844,162374677
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2010",422751,142438850
"Gulf of Alaska","All Sectors","Pollock","2010",75591,28793426
"Gulf of Alaska","Catcher Processors","Pollock","2010",971,362428
"Gulf of Alaska","Catcher Vessels","Pollock","2010",74619,28430999
"All Alaska","All Sectors","Rockfish","2010",44184,18655662
"All Alaska","Catcher Processors","Rockfish","2010",33739,14466716
"All Alaska","Catcher Vessels","Rockfish","2010",10445,4188946
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2010",20519,10857828
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2010",20337,10699873
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2010",181,157955
"Gulf of Alaska","All Sectors","Rockfish","2010",23665,7797834
"Gulf of Alaska","Catcher Processors","Rockfish","2010",13401,3766843
"Gulf of Alaska","Catcher Vessels","Rockfish","2010",10264,4030991
"All Alaska","All Sectors","Sablefish","2010",12216,107865686
"All Alaska","Catcher Processors","Sablefish","2010",1629,13026568
"All Alaska","Catcher Vessels","Sablefish","2010",10587,94839118
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2010",1761,15931547
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2010",617,5196056
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2010",1144,10735491
"Gulf of Alaska","All Sectors","Sablefish","2010",10456,91934139
"Gulf of Alaska","Catcher Processors","Sablefish","2010",1013,7830513
"Gulf of Alaska","Catcher Vessels","Sablefish","2010",9443,84103626
"All Alaska","All Sectors","All Groundfish","2010",1508267,712962806
"All Alaska","Catcher Processors","All Groundfish","2010",849060,372691623
"All Alaska","Catcher Vessels","All Groundfish","2010",659207,340271183
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2010",1294984,532615110
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2010",818924,352593438
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2010",476060,180021672
"Gulf of Alaska","All Sectors","All Groundfish","2010",213283,180347696
"Gulf of Alaska","Catcher Processors","All Groundfish","2010",30136,20098184
"Gulf of Alaska","Catcher Vessels","All Groundfish","2010",183147,160249511
"All Alaska","All Sectors","Atka Mackerel","2010",62287,28563479
"All Alaska","Catcher Processors","Atka Mackerel","2010",62230,28537197
"All Alaska","Catcher Vessels","Atka Mackerel","2010",57,26282
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2010",61118,27849635
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2010",61063,27824719
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2010",55,24915
"Gulf of Alaska","All Sectors","Atka Mackerel","2010",1168,713844
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2010",1166,712478
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2010",2,1367
"All Alaska","All Sectors","Flatfish","2010",252373,79701362
"All Alaska","Catcher Processors","Flatfish","2010",229177,74181850
"All Alaska","Catcher Vessels","Flatfish","2010",23196,5519512
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2010",228608,74508310
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2010",225426,73257601
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2011",5392,4336505
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2011",851,134743
"Gulf of Alaska","All Sectors","Other Groundfish","2011",3381,3280340
"Gulf of Alaska","Catcher Processors","Other Groundfish","2011",621,705170
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2011",2760,2575170
"All Alaska","All Sectors","Pacific Cod","2011",299910,181988480
"All Alaska","Catcher Processors","Pacific Cod","2011",161467,87339993
"All Alaska","Catcher Vessels","Pacific Cod","2011",138444,94648488
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2011",216783,120725860
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2011",151936,80100896
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2011",64847,40624965
"Gulf of Alaska","All Sectors","Pacific Cod","2011",83128,61262620
"Gulf of Alaska","Catcher Processors","Pacific Cod","2011",9531,7239097
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2011",73597,54023523
"All Alaska","All Sectors","Pollock","2011",1274812,472686746
"All Alaska","Catcher Processors","Pollock","2011",566065,215369427
"All Alaska","Catcher Vessels","Pollock","2011",708746,257317319
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2011",1195182,444435571
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2011",565026,214987566
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2011",630157,229448005
"Gulf of Alaska","All Sectors","Pollock","2011",79629,28251175
"Gulf of Alaska","Catcher Processors","Pollock","2011",1040,381862
"Gulf of Alaska","Catcher Vessels","Pollock","2011",78590,27869313
"All Alaska","All Sectors","Rockfish","2011",47117,28626759
"All Alaska","Catcher Processors","Rockfish","2011",36696,23481482
"All Alaska","Catcher Vessels","Rockfish","2011",10421,5145277
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2011",26041,20122060
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2011",25027,19337182
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2011",1014,784878
"Gulf of Alaska","All Sectors","Rockfish","2011",21076,8504699
"Gulf of Alaska","Catcher Processors","Rockfish","2011",11669,4144300
"Gulf of Alaska","Catcher Vessels","Rockfish","2011",9407,4360399
"All Alaska","All Sectors","Sablefish","2011",13089,152081343
"All Alaska","Catcher Processors","Sablefish","2011",1676,17210510
"All Alaska","Catcher Vessels","Sablefish","2011",11413,134870833
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2011",1705,18549026
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2011",519,5203313
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2011",1186,13345713
"Gulf of Alaska","All Sectors","Sablefish","2011",11384,133532318
"Gulf of Alaska","Catcher Processors","Sablefish","2011",1157,12007198
"Gulf of Alaska","Catcher Vessels","Sablefish","2011",10228,121525120
"All Alaska","All Sectors","All Groundfish","2011",1986946,985070349
"All Alaska","Catcher Processors","All Groundfish","2011",1083622,480512816
"All Alaska","Catcher Vessels","All Groundfish","2011",903324,504557533
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2011",1754527,741893645
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2011",1046558,452320545
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2011",707969,289573100
"Gulf of Alaska","All Sectors","All Groundfish","2011",232418,243176704
"Gulf of Alaska","Catcher Processors","All Groundfish","2011",37064,28192271
"Gulf of Alaska","Catcher Vessels","All Groundfish","2011",195355,214984433
"All Alaska","All Sectors","Atka Mackerel","2011",50874,30235468
"All Alaska","Catcher Processors","Atka Mackerel","2011",45863,27278476
"All Alaska","Catcher Vessels","Atka Mackerel","2011",5011,2956992
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2011",49935,29479668
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2011",44927,26524573
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2011",5008,2955094
"Gulf of Alaska","All Sectors","Atka Mackerel","2011",939,755800
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2011",936,753902
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2011",2,1898
"All Alaska","All Sectors","Flatfish","2011",291520,111699965
"All Alaska","Catcher Processors","Flatfish","2011",265842,104791254
"All Alaska","Catcher Vessels","Flatfish","2011",25678,6908712
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2011",258639,104110213
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2011",253732,101830511
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2011",4907,2279702
"Gulf of Alaska","All Sectors","Flatfish","2011",32881,7589753
"Gulf of Alaska","Catcher Processors","Flatfish","2011",12110,2960743
"Gulf of Alaska","Catcher Vessels","Flatfish","2011",20771,4629010
"All Alaska","All Sectors","Other Groundfish","2011",9623,7751588
"All Alaska","Catcher Processors","Other Groundfish","2011",6013,5041675
"All Alaska","Catcher Vessels","Other Groundfish","2011",3611,2709913
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2011",6242,4471248
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2012",6687,2475919
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2012",1079,163538
"Gulf of Alaska","All Sectors","Other Groundfish","2012",2979,2968776
"Gulf of Alaska","Catcher Processors","Other Groundfish","2012",380,380506
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2012",2599,2588271
"All Alaska","All Sectors","Pacific Cod","2012",323402,215351676
"All Alaska","Catcher Processors","Pacific Cod","2012",177910,107416675
"All Alaska","Catcher Vessels","Pacific Cod","2012",145492,107935002
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2012",4193,2274384
"Gulf of Alaska","All Sectors","Flatfish","2012",22886,6472506
"Gulf of Alaska","Catcher Processors","Flatfish","2012",8803,2669765
"Gulf of Alaska","Catcher Vessels","Flatfish","2012",14084,3802741
"All Alaska","All Sectors","Other Groundfish","2012",10745,5608233
"All Alaska","Catcher Processors","Other Groundfish","2012",7067,2856425
"All Alaska","Catcher Vessels","Other Groundfish","2012",3678,2751808
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2012",7766,2639457
"Gulf of Alaska","All Sectors","Atka Mackerel","2012",686,585842
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2012",681,582350
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2012",5,3492
"All Alaska","All Sectors","Flatfish","2012",284821,123630644
"All Alaska","Catcher Processors","Flatfish","2012",266544,117553520
"All Alaska","Catcher Vessels","Flatfish","2012",18276,6077124
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2012",261934,117158139
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2012",257742,114883755
"Gulf of Alaska","Catcher Processors","All Groundfish","2012",32198,24963014
"Gulf of Alaska","Catcher Vessels","All Groundfish","2012",210907,215698801
"All Alaska","All Sectors","Atka Mackerel","2012",43360,28113437
"All Alaska","Catcher Processors","Atka Mackerel","2012",42821,27766207
"All Alaska","Catcher Vessels","Atka Mackerel","2012",539,347229
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2012",42674,27527595
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2012",42140,27183858
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2012",534,343737
"Gulf of Alaska","Catcher Vessels","Sablefish","2012",11250,108671788
"All Alaska","All Sectors","All Groundfish","2012",2029267,1045384454
"All Alaska","Catcher Processors","All Groundfish","2012",1103969,522024731
"All Alaska","Catcher Vessels","All Groundfish","2012",925297,523359723
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2012",1786161,804722638
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2012",1071771,497061717
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2012",714390,307660921
"Gulf of Alaska","All Sectors","All Groundfish","2012",243105,240661816
"All Alaska","All Sectors","Sablefish","2012",14286,129850885
"All Alaska","Catcher Processors","Sablefish","2012",1821,11748425
"All Alaska","Catcher Vessels","Sablefish","2012",12465,118102459
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2012",1922,13615575
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2012",707,4184903
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2012",1215,9430671
"Gulf of Alaska","All Sectors","Sablefish","2012",12365,116235310
"Gulf of Alaska","Catcher Processors","Sablefish","2012",1114,7563522
"All Alaska","Catcher Processors","Rockfish","2012",38150,24014102
"All Alaska","Catcher Vessels","Rockfish","2012",12095,8499880
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2012",24927,16160749
"Bering Sea and Aleutian Islands","Catcher Processors","Rockfish","2012",24520,15857597
"Bering Sea and Aleutian Islands","Catcher Vessels","Rockfish","2012",407,303152
"Gulf of Alaska","All Sectors","Rockfish","2012",25318,16353233
"Gulf of Alaska","Catcher Processors","Rockfish","2012",13630,8156505
"Gulf of Alaska","Catcher Vessels","Rockfish","2012",11688,8196728
"All Alaska","Catcher Vessels","Pollock","2012",732752,279646220
"Bering Sea and Aleutian Islands","All Sectors","Pollock","2012",1200305,471803083
"Bering Sea and Aleutian Islands","Catcher Processors","Pollock","2012",568637,230287047
"Bering Sea and Aleutian Islands","Catcher Vessels","Pollock","2012",631668,241516037
"Gulf of Alaska","All Sectors","Pollock","2012",102103,38512514
"Gulf of Alaska","Catcher Processors","Pollock","2012",1018,382331
"Gulf of Alaska","Catcher Vessels","Pollock","2012",101084,38130184
"All Alaska","All Sectors","Rockfish","2012",50245,32513981
"Bering Sea and Aleutian Islands","All Sectors","Pacific Cod","2012",246634,155818041
"Bering Sea and Aleutian Islands","Catcher Processors","Pacific Cod","2012",171339,102188638
"Bering Sea and Aleutian Islands","Catcher Vessels","Pacific Cod","2012",75295,53629402
"Gulf of Alaska","All Sectors","Pacific Cod","2012",76768,59533635
"Gulf of Alaska","Catcher Processors","Pacific Cod","2012",6572,5228036
"Gulf of Alaska","Catcher Vessels","Pacific Cod","2012",70197,54305599
"All Alaska","All Sectors","Pollock","2012",1302407,510315598
"All Alaska","Catcher Processors","Pollock","2012",569655,230669377
"Bering Sea and Aleutian Islands","Catcher Processors","Other Groundfish","2013",7655,6536744
"Bering Sea and Aleutian Islands","Catcher Vessels","Other Groundfish","2013",438,68902
"Gulf of Alaska","All Sectors","Other Groundfish","2013",2920,2754935
"Gulf of Alaska","Catcher Processors","Other Groundfish","2013",183,189709
"Gulf of Alaska","Catcher Vessels","Other Groundfish","2013",2738,2565226
"All Alaska","All Sectors","Pacific Cod","2013",307599,185588511
"All Alaska","Catcher Processors","Pacific Cod","2013",177125,107082384
"All Alaska","Catcher Vessels","Pacific Cod","2013",130474,78506127
"Bering Sea and Aleutian Islands","Catcher Vessels","Flatfish","2013",2502,1008654
"Gulf of Alaska","All Sectors","Flatfish","2013",26137,7467981
"Gulf of Alaska","Catcher Processors","Flatfish","2013",8531,2649615
"Gulf of Alaska","Catcher Vessels","Flatfish","2013",17606,4818365
"All Alaska","All Sectors","Other Groundfish","2013",11014,9360580
"All Alaska","Catcher Processors","Other Groundfish","2013",7838,6726453
"All Alaska","Catcher Vessels","Other Groundfish","2013",3176,2634128
"Bering Sea and Aleutian Islands","All Sectors","Other Groundfish","2013",8094,6605645
"Gulf of Alaska","All Sectors","Atka Mackerel","2013",773,625356
"Gulf of Alaska","Catcher Processors","Atka Mackerel","2013",770,622983
"Gulf of Alaska","Catcher Vessels","Atka Mackerel","2013",3,2373
"All Alaska","All Sectors","Flatfish","2013",284571,97462482
"All Alaska","Catcher Processors","Flatfish","2013",264463,91635463
"All Alaska","Catcher Vessels","Flatfish","2013",20108,5827019
"Bering Sea and Aleutian Islands","All Sectors","Flatfish","2013",258434,89994501
"Bering Sea and Aleutian Islands","Catcher Processors","Flatfish","2013",255932,88985847
"Gulf of Alaska","Catcher Processors","All Groundfish","2013",27680,18277975
"Gulf of Alaska","Catcher Vessels","All Groundfish","2013",193979,167232053
"All Alaska","All Sectors","Atka Mackerel","2013",21595,15621242
"All Alaska","Catcher Processors","Atka Mackerel","2013",21523,15569316
"All Alaska","Catcher Vessels","Atka Mackerel","2013",72,51926
"Bering Sea and Aleutian Islands","All Sectors","Atka Mackerel","2013",20822,14995886
"Bering Sea and Aleutian Islands","Catcher Processors","Atka Mackerel","2013",20753,14946333
"Bering Sea and Aleutian Islands","Catcher Vessels","Atka Mackerel","2013",69,49553
"Gulf of Alaska","Catcher Vessels","Sablefish","2013",10973,77119490
"All Alaska","All Sectors","All Groundfish","2013",2053261,889081602
"All Alaska","Catcher Processors","All Groundfish","2013",1122707,457068869
"All Alaska","Catcher Vessels","All Groundfish","2013",930554,432012732
"Bering Sea and Aleutian Islands","All Sectors","All Groundfish","2013",1831602,703571574
"Bering Sea and Aleutian Islands","Catcher Processors","All Groundfish","2013",1095027,438790894
"Bering Sea and Aleutian Islands","Catcher Vessels","All Groundfish","2013",736575,264780680
"Gulf of Alaska","All Sectors","All Groundfish","2013",221659,185510028
"All Alaska","All Sectors","Sablefish","2013",13710,92995781
"All Alaska","Catcher Processors","Sablefish","2013",1729,9569185
"All Alaska","Catcher Vessels","Sablefish","2013",11981,83426596
"Bering Sea and Aleutian Islands","All Sectors","Sablefish","2013",1655,9677610
"Bering Sea and Aleutian Islands","Catcher Processors","Sablefish","2013",647,3370505
"Bering Sea and Aleutian Islands","Catcher Vessels","Sablefish","2013",1008,6307105
"Gulf of Alaska","All Sectors","Sablefish","2013",12055,83318171
"Gulf of Alaska","Catcher Processors","Sablefish","2013",1082,6198680
"All Alaska","Catcher Processors","Rockfish","2013",42776,20134827
"All Alaska","Catcher Vessels","Rockfish","2013",10948,6707552
"Bering Sea and Aleutian Islands","All Sectors","Rockfish","2013",31712,15028152
