"year","filename","port","species","landings","value"
2017,"Table 17PUB.pdf","Princeton-Half Moon","Surfperch, unspecified",4,17
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, greenstriped",384,15
2017,"Table 17PUB.pdf","Princeton-Half Moon","Eel, wolf (wolf-eel)",7,11
2017,"Table 17PUB.pdf","Princeton-Half Moon","Cabezon",5,8
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, treefish",2,8
2017,"Table 17PUB.pdf","Princeton-Half Moon","Crab, yellow rock",1,7
2017,"Table 17PUB.pdf","Princeton-Half Moon","Smelt, surf",1,7
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, calico",2,4
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, flag",7,2
2017,"Table 17PUB.pdf","Princeton-Half Moon","Mackerel, jack",16,1
2017,"Table 17PUB.pdf","Princeton-Half Moon","Shark, spiny dogfish",130,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, group shelf",397,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, stripetail",58,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Mackerel, Pacific",11,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Ratfish, spotted",247,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, shortbelly",255,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Shad, American",117,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, group slope",75,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Halibut, unspecified",17,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Sole, rex",507,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Shark, brown smoothhound",3,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Skate, California",46,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Fish, unspecified",1,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Rockfish, darkblotched",1,0
2017,"Table 17PUB.pdf","Princeton-Half Moon","Port Totals:",8873340,11235512
2017,"Table 17PUB.pdf","Vallejo","Crab, Dungeness",114770,401100
2017,"Table 17PUB.pdf","Vallejo","Shrimp, bay",7406,36706
2017,"Table 17PUB.pdf","Vallejo","Halibut, California",551,4081
2017,"Table 17PUB.pdf","Vallejo","Sculpin, staghorn",377,1027
2017,"Table 17PUB.pdf","Vallejo","Lingcod",318,698
2017,"Table 17PUB.pdf","Vallejo","Crab, rock unspecified",99,284
2017,"Table 17PUB.pdf","Vallejo","Surfperch, barred",35,245
2017,"Table 17PUB.pdf","Vallejo","Rockfish, vermilion",20,40
2017,"Table 17PUB.pdf","Vallejo","Rockfish, canary",4,8
2017,"Table 17PUB.pdf","Vallejo","Port Totals:",123580,444189
2017,"Table 17PUB.pdf","Berkeley","Crab, Dungeness",14503,74922
2017,"Table 17PUB.pdf","Berkeley","Halibut, California",6472,50589
2017,"Table 17PUB.pdf","Berkeley","Salmon, Chinook",1174,11828
2017,"Table 17PUB.pdf","Berkeley","Rockfish, brown",2053,9225
2017,"Table 17PUB.pdf","Berkeley","Surfperch, black",1830,6889
2017,"Table 17PUB.pdf","Berkeley","Lingcod",1753,6224
