year,filename,area,port,species,landings_lb,revenues_usd
2249,Table 17PUB.pdf,San Francisco,Berkeley,"Surfperch, black","1,599","$7,678 "
2250,Table 17PUB.pdf,San Francisco,Berkeley,"Hagfish, unspecified","3,100","$2,325 "
2251,Table 17PUB.pdf,San Francisco,Berkeley,Sablefish,891,"$2,185 "
2252,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, yellowtail",234,"$1,898 "
2253,Table 17PUB.pdf,San Francisco,Berkeley,"Seabass, white",221,"$1,753 "
2254,Table 17PUB.pdf,San Francisco,Berkeley,"Seaperch, striped",316,"$1,648 "
2255,Table 17PUB.pdf,San Francisco,Berkeley,"Surfperch, pile",203,"$1,199 "
2256,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, blue",149,"$1,036 "
2257,Table 17PUB.pdf,San Francisco,Berkeley,"Surfperch, rubberlip",181,$963 
2258,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, vermilion",65,$598 
2259,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, widow",72,$574 
2260,Table 17PUB.pdf,San Francisco,Berkeley,"Surfperch, white",126,$544 
2261,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, unspecified",136,$544 
2262,Table 17PUB.pdf,San Francisco,Berkeley,Lingcod,283,$483 
2263,Table 17PUB.pdf,San Francisco,Berkeley,"Crab, rock unspecified",109,$309 
2264,Table 17PUB.pdf,San Francisco,Berkeley,"Surfperch, barred",41,$271 
2265,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, starry",27,$270 
2266,Table 17PUB.pdf,San Francisco,Berkeley,"Salmon, Roe (Chinook, Coho)",50,$222 
2267,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, group bolina",30,$150 
2268,Table 17PUB.pdf,San Francisco,Berkeley,"Surfperch, walleye",33,$143 
2269,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, canary",18,$112 
2270,Table 17PUB.pdf,San Francisco,Berkeley,"Tuna, albacore",25,$88 
2271,Table 17PUB.pdf,San Francisco,Berkeley,EY,,
2272,Table 17PUB.pdf,San Francisco,Berkeley,"Shark, leopard",70,$70 
2273,Table 17PUB.pdf,San Francisco,Berkeley,"Flounder, starry",8,$56 
2274,Table 17PUB.pdf,San Francisco,Berkeley,"Shark, soupfin",50,$50 
2275,Table 17PUB.pdf,San Francisco,Berkeley,"Rockfish, black",11,$25 
2276,Table 17PUB.pdf,San Francisco,Berkeley,"Prickleback, monkeyface (eel)",2,$10 
2277,Table 17PUB.pdf,San Francisco,Berkeley,Jacksmelt,1,$0 
2278,Table 17PUB.pdf,San Francisco,Berkeley,Port Totals:,"58,662","$206,460 "
2279,Table 17PUB.pdf,San Francisco,,,,
2280,Table 17PUB.pdf,San Francisco,Alameda,"Crab, Dungeness","12,014","$66,344 "
2281,Table 17PUB.pdf,San Francisco,Alameda,"Halibut, California",685,"$5,266 "
2282,Table 17PUB.pdf,San Francisco,Alameda,"Seabass, white",40,$281 
2283,Table 17PUB.pdf,San Francisco,Alameda,Lingcod,23,$79 
2284,Table 17PUB.pdf,San Francisco,Alameda,Port Totals:,"12,762","$71,970 "
2285,Table 17PUB.pdf,San Francisco,,,,
2286,Table 17PUB.pdf,San Francisco,Richmond,"Crab, Dungeness","2,737","$9,880 "
2287,Table 17PUB.pdf,San Francisco,Richmond,"Salmon, Chinook",879,"$6,649 "
2288,Table 17PUB.pdf,San Francisco,Richmond,"Halibut, California",822,"$6,263 "
2289,Table 17PUB.pdf,San Francisco,Richmond,"Surfperch, black",448,"$1,041 "
2290,Table 17PUB.pdf,San Francisco,Richmond,"Shark, leopard",40,$80 
2291,Table 17PUB.pdf,San Francisco,Richmond,"Seaperch, striped",36,$72 
2292,Table 17PUB.pdf,San Francisco,Richmond,Lingcod,15,$59 
2293,Table 17PUB.pdf,San Francisco,Richmond,"Surfperch, rubberlip",18,$36 
2294,Table 17PUB.pdf,San Francisco,Richmond,Jacksmelt,17,$34 
2295,Table 17PUB.pdf,San Francisco,Richmond,"Surfperch, walleye",15,$30 
2296,Table 17PUB.pdf,San Francisco,Richmond,"Salmon, Roe (Chinook, Coho)",1,$6 
2297,Table 17PUB.pdf,San Francisco,Richmond,Port Totals:,"5,028","$24,149 "
2298,Table 17PUB.pdf,San Francisco,,,,
2299,Table 17PUB.pdf,San Francisco,Redwood City,"Mudsucker, longjaw","3,636","$19,998 "
2300,Table 17PUB.pdf,San Francisco,Redwood City,"Halibut, California",75,$492 
2301,Table 17PUB.pdf,San Francisco,Redwood City,Port Totals:,"3,711","$20,490 "
2302,Table 17PUB.pdf,San Francisco,,,,
2303,Table 17PUB.pdf,San Francisco,China Camp,"Sea urchin, red",475,"$3,225 "
2304,Table 17PUB.pdf,San Francisco,China Camp,"Salmon, Chinook",280,"$2,940 "
2305,Table 17PUB.pdf,San Francisco,China Camp,"Halibut, California",138,"$1,246 "
2306,Table 17PUB.pdf,San Francisco,China Camp,Port Totals:,893,"$7,411 "
2307,Table 17PUB.pdf,San Francisco,,,,
2308,Table 17PUB.pdf,San Francisco,All Other Ports,"Shrimp, bay","11,067","$59,336 "
2309,Table 17PUB.pdf,San Francisco,All Other Ports,"Halibut, California","10,511","$35,320 "
2310,Table 17PUB.pdf,San Francisco,All Other Ports,"Crab, Dungeness","1,973","$9,323 "
2311,Table 17PUB.pdf,San Francisco,All Other Ports,"Salmon, Chinook",492,"$4,183 "
2312,Table 17PUB.pdf,San Francisco,All Other Ports,Lingcod,711,"$3,470 "
2313,Table 17PUB.pdf,San Francisco,All Other Ports,"Seabass, white",285,"$1,294 "
2314,Table 17PUB.pdf,San Francisco,All Other Ports,"Sea urchin, red",210,"$1,155 "
2315,Table 17PUB.pdf,San Francisco,All Other Ports,Sablefish,310,"$1,146 "
2316,Table 17PUB.pdf,San Francisco,All Other Ports,"Sculpin, staghorn",25,$197 
2317,Table 17PUB.pdf,San Francisco,All Other Ports,"Rockfish, yellowtail",46,$186 
2318,Table 17PUB.pdf,San Francisco,All Other Ports,"Goby, yellowfin",22,$176 
2319,Table 17PUB.pdf,San Francisco,All Other Ports,"Rockfish, vermilion",7,$32 
2320,Table 17PUB.pdf,San Francisco,All Other Ports,"Rockfish, canary",7,$27 
