year,filename,area,port,species,landings,value
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Shark, Pacific angel",55,$69 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, gopher",25,$51 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, calico",17,$44 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Sea urchin, purple",22,$44 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, kelp",15,$44 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, treefish",11,$37 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Sablefish,11,$37 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, grass",6,$29 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,MISSION BAY,,
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Sole, petrale",12,$23 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Eel,6,$21 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Crab, box",383,$16 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Surfperch, rubberlip",4,$16 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Opaleye,4,$11 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, greenblotched",3,$11 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Halfmoon,3,$7 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Clam, rosy razor",4,$7 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, Mexican",5,$5 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Rockfish, rosy",1,$2 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Lizardfish, California",3,$1 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Snail, top",1,$1 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Crab, king",416,$0 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,"Clam, northern razor",1,$0 
2018,Table21sdPUB.pdf,San Diego,Mission Bay,Port Totals:,"306,044","$2,170,337 "
2018,Table21sdPUB.pdf,San Diego,,,,
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Lobster, California spiny","50,666","$829,688 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Prawn, spot","27,428","$327,374 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,Sablefish,"97,965","$255,106 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Thornyhead, shortspine","16,243","$118,161 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Tuna, bluefin","19,889","$99,759 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Halibut, California","16,301","$69,242 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Hagfish, unspecified","38,194","$40,236 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Hagfish, Pacific","31,093","$32,648 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Crab, yellow rock","20,665","$30,287 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,Swordfish,"2,541","$18,509 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Anchovy, northern","18,725","$6,666 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Crab, rock unspecified","2,908","$5,255 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Sheephead, California",865,"$4,611 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,Grenadier,"5,831","$4,267 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Thornyhead, longspine","2,806","$4,212 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,SIDE,,
2018,Table21sdPUB.pdf,San Diego,Oceanside,Yellowtail,"1,227","$4,021 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Tuna, yellowfin","1,076","$3,458 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, vermilion","1,382","$3,453 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Crab, spider","2,301","$2,468 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Crab, red rock","1,337","$2,237 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, blackgill",855,"$1,684 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Shark, thresher",743,"$1,406 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Crab, box","1,019","$1,350 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Bass, giant sea",393,"$1,179 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,Dolphin (fish),350,"$1,151 "
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Seabass, white",266,$987 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Shark, shortfin mako",207,$410 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Whelk, Kellet's",472,$373 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Bonito, Pacific",168,$301 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Shark, Pacific angel",703,$176 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, aurora",85,$144 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Crab, brown rock",267,$112 
2018,Table21sdPUB.pdf,San Diego,Oceanside,Sanddab,54,$103 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Tuna, skipjack",145,$83 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Shark, soupfin",133,$80 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Ray, bat",182,$73 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, bocaccio",53,$58 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Skate, California",135,$54 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Scorpionfish, California",18,$54 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Surfperch, black",49,$54 
2018,Table21sdPUB.pdf,San Diego,Oceanside,Lingcod,29,$35 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Octopus, unspecified",198,$28 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, starry",13,$27 
2018,Table21sdPUB.pdf,San Diego,Oceanside,Cabezon,4,$22 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Shark, leopard",20,$20 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, redbanded",3,$7 
2018,Table21sdPUB.pdf,San Diego,Oceanside,SIDE,,
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, copper",3,$6 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, squarespot",2,$2 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Whitefish, ocean",112,$1 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Sole, petrale",18,$0 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Shark, swell",163,$0 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Crab, armed box",11,$0 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, kelp",3,$0 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Rockfish, group nearshore",8,$0 
2018,Table21sdPUB.pdf,San Diego,Oceanside,"Crab, king",46,$0 
