"year","filename","port","species","landings_lb","landings_kg","landings_mt","value_usd"
2000,"landings00_table16pub.pdf","Eureka","Rockfish, quillback",889,403.243668482467,0.403243668482467,2171
2000,"landings00_table16pub.pdf","Eureka","Rockfish, vermilion",1327,601.91715194177,0.60191715194177,1727
2000,"landings00_table16pub.pdf","Eureka","Rockfish, redbanded",1602,726.655069638821,0.726655069638821,1707
2000,"landings00_table16pub.pdf","Eureka","Rockfish, bocaccio",3635,1648.80847574102,1.64880847574102,1645
2000,"landings00_table16pub.pdf","Eureka","Flounder, starry",3141,1424.73381631432,1.42473381631432,1413
2000,"landings00_table16pub.pdf","Eureka","Rockfish, Pacific ocean perch",2997,1359.41650668386,1.35941650668386,1295
2000,"landings00_table16pub.pdf","Eureka","Halibut, California",612,277.598565929437,0.277598565929437,1224
2000,"landings00_table16pub.pdf","Eureka","Rockfish, grass",173,78.4714900421448,0.0784714900421448,1037
2000,"landings00_table16pub.pdf","Eureka","Tuna, yellowfin",1003,454.953205273244,0.454953205273244,1003
2000,"landings00_table16pub.pdf","Eureka","Sea urchin, red",1002,454.499612845255,0.454499612845255,1002
2000,"landings00_table16pub.pdf","Eureka","Flounder, arrowtooth",8153,3698.13906539657,3.69813906539657,977
2000,"landings00_table16pub.pdf","Eureka","Rockfish, splitnose",3147,1427.45537088225,1.42745537088225,944
2000,"landings00_table16pub.pdf","Eureka","Surfperch, pile",388,175.993862059839,0.175993862059839,873
2000,"landings00_table16pub.pdf","Eureka","Rockfish, blue",946,429.098436877855,0.429098436877855,726
2000,"landings00_table16pub.pdf","Eureka","Sole, sand",961,435.902323297695,0.435902323297695,705
2000,"landings00_table16pub.pdf","Eureka","Herring, Pacific - roe on kelp",218,98.8831493016622,0.0988831493016622,632
2000,"landings00_table16pub.pdf","Eureka","Rockfish, brown",190,86.1825613179625,0.0861825613179625,560
2000,"landings00_table16pub.pdf","Eureka","Greenling, kelp",182,82.5538218940483,0.0825538218940483,536
2000,"landings00_table16pub.pdf","Eureka","Rockfish, shortbelly",1799,816.012777952708,0.816012777952708,518
2000,"landings00_table16pub.pdf","Eureka","Flounder, unspecified",883,400.522113914531,0.400522113914531,397
2000,"landings00_table16pub.pdf","Eureka","Shark, soupfin",402,182.344156051689,0.182344156051689,381
2000,"landings00_table16pub.pdf","Eureka","Rockfish, blackgill",802,363.7811272474,0.3637811272474,335
2000,"landings00_table16pub.pdf","Eureka","Topsmelt",186,84.3681916060054,0.0843681916060054,270
2000,"landings00_table16pub.pdf","Eureka","Surfperch, unspecified",226,102.511888725576,0.102511888725576,253
2000,"landings00_table16pub.pdf","Eureka","Turbot",751,340.647913419947,0.340647913419947,250
2000,"landings00_table16pub.pdf","Eureka","Rockfish, unspecified",407,184.612118191635,0.184612118191635,220
2000,"landings00_table16pub.pdf","Eureka","Rockfish, group nearshore",439,199.127075887292,0.199127075887292,190
2000,"landings00_table16pub.pdf","Eureka","Tuna, skipjack",934,423.655327741984,0.423655327741984,187
2000,"landings00_table16pub.pdf","Eureka","Sharks, cow",373,169.18997564,0.16918997564,185
2000,"landings00_table16pub.pdf","Eureka","Ray, bat",452,205.023777451153,0.205023777451153,160
2000,"landings00_table16pub.pdf","Eureka","Mackerel, Pacific",3052,1384.36409022327,1.38436409022327,150
2000,"landings00_table16pub.pdf","Eureka","Octopus, unspecified",299,135.624135968794,0.135624135968794,131
2000,"landings00_table16pub.pdf","Eureka","Sanddab, Pacific",300,136.077728396783,0.136077728396783,99
2000,"landings00_table16pub.pdf","Eureka","Rockfish, group small",115,52.1631292187668,0.0521631292187668,97
2000,"landings00_table16pub.pdf","Eureka","Rockfish, group bolina",229,103.872666009544,0.103872666009544,92
2000,"landings00_table16pub.pdf","Eureka","Rockfish, greenstriped",279,126.552287409008,0.126552287409008,91
2000,"landings00_table16pub.pdf","Eureka","Rockfish, gopher",35,15.8757349796247,0.0158757349796247,86
2000,"landings00_table16pub.pdf","Eureka","Surfperch, white",101,45.8128352269169,0.0458128352269169,50
2000,"landings00_table16pub.pdf","Eureka","Rockfish, black-and-yellow",9,4.08233185190349,0.00408233185190349,47
2000,"landings00_table16pub.pdf","Eureka","Rockfish, group rosefish",116,52.6167216467561,0.0526167216467561,33
2000,"landings00_table16pub.pdf","Eureka","Shark, thresher",27,12.2469955557105,0.0122469955557105,27
2000,"landings00_table16pub.pdf","Eureka","Invertebrates, colonial",20,9.07184855978553,0.00907184855978553,26
2000,"landings00_table16pub.pdf","Eureka","Sole, butter",50,22.6796213994638,0.0226796213994638,23
2000,"landings00_table16pub.pdf","Eureka","Surfperch, walleye",36,16.3293274076139,0.016329327407614,18
2000,"landings00_table16pub.pdf","Eureka","Rockfish, rosethorn",15,6.80388641983915,0.00680388641983915,11
2000,"landings00_table16pub.pdf","Eureka","Rockfish, group deepwater reds",15,6.80388641983915,0.00680388641983915,8
2000,"landings00_table16pub.pdf","Eureka","Rockfish, bank",8,3.62873942391421,0.00362873942391421,3
2000,"landings00_table16pub.pdf","Eureka","Sole, rock",8,3.62873942391421,0.00362873942391421,3
2000,"landings00_table16pub.pdf","Eureka","Mackerel, jack",3,1.36077728396783,0.00136077728396783,0
2000,"landings00_table16pub.pdf","Eureka","Squid, market",245,111.130144857373,0.111130144857373,0
2000,"landings00_table16pub.pdf","Eureka","Squid, jumbo",94,42.637688230992,0.042637688230992,0
2000,"landings00_table16pub.pdf","Eureka","Fish, unspecified",3456,1567.61543113094,1.56761543113094,0
2000,"landings00_table16pub.pdf","Eureka","Shark, brown smoothhound",14,6.35029399184987,0.00635029399184987,0
2000,"landings00_table16pub.pdf","Eureka","Herring, Pacific - roe",150,68.0388641983915,0.0680388641983914,0
2000,"landings00_table16pub.pdf","Eureka","Shark, spiny dogfish",293,132.902581400858,0.132902581400858,0
2000,"landings00_table16pub.pdf","Eureka","Shark, unspecified",33,14.9685501236461,0.0149685501236461,0
2000,"landings00_table16pub.pdf","Eureka","Port Totals:",9587812,4348958.92418472,4348.95892418472,5841159
2000,"landings00_table16pub.pdf","Fields Landing","Sablefish",416090,188735.273362058,188.735273362058,496942
2000,"landings00_table16pub.pdf","Fields Landing","Sole, Dover",872154,395602.450440559,395.602450440559,281262
2000,"landings00_table16pub.pdf","Fields Landing","Thornyhead, longspine",272199,123467.405306253,123.467405306253,226282
2000,"landings00_table16pub.pdf","Fields Landing","Whiting, Pacific",1537593,697440.542129315,697.440542129315,201553
2000,"landings00_table16pub.pdf","Fields Landing","Rockfish, widow",289417,131277.359731372,131.277359731372,127312
2000,"landings00_table16pub.pdf","Fields Landing","Sole, petrale",118386,53698.9931799385,53.6989931799385,104689
2000,"landings00_table16pub.pdf","Fields Landing","Crab, Dungeness",60896,27621.964494835,27.621964494835,102779
