Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, unspecified","2,241,739","2,166,096","1,794,792","2,776,341","2,814,787","2,746,721","535,859","105,214","176,754"
"","$698,971","$622,739","$387,536","$960,483","$978,337","$1,046,640","$383,747","$136,682","$156,574"
"Rockfish, vermilion",58,382,70,7,3,20,,,
"",$38,$256,$70,$4,$2,$14,,,
"Rockfish, widow","2,237,270","249,916","478,199","275,894","204,101","13,087","27,950",,
"","$580,721","$66,272","$117,236","$79,286","$60,368","$6,045","$6,304",,
"Rockfish, yelloweye","36,264","9,477",227,"3,634",30,,,,
"","$23,503","$6,457",$141,"$2,530",$20,,,,
"Rockfish, yellowtail","9,988","4,516",412,"27,733","4,804",19,,716,12
"","$3,620","$1,757",$196,"$12,841","$2,663",$9,,$644,$18
"",,,,,,,,,
Crustaceans:,,,,,,,,,
"Crab, box",,,,,,,314,,
"",,,,,,,$191,,
"Crab, claws","1,437",,,"1,266","2,809","28,492","33,248","5,740","3,098"
"","$2,874",,,$660,"$4,123","$25,312","$10,190","$1,361",$780
"Crab, Dungeness","4,646,467","81,931","373,109","527,208","71,007","15,651","1,223","1,342",79
"","$5,861,760","$109,904","$598,307","$915,365","$130,099","$28,733","$1,121","$3,265",$40
"Crab, king",,,,,,6,139,,10
"",,,,,,$1,$132,,$9
"Crab, rock unspecified","4,126",48,"1,838","17,999","42,384","515,397","365,416","174,149","188,618"
"","$3,762",$48,"$1,655","$20,598","$42,462","$492,363","$382,515","$182,301","$179,768"
"Crab, spider",,,,,,332,"51,792","15,841","2,093"
"",,,,,,$240,"$33,316","$7,133","$1,383"
"Lobster, California spiny",,,,,49,106,"177,766","283,125","276,024"
"",,,,,$264,$583,"$969,953","$1,571,132","$1,371,764"
"Prawn, ridgeback",,,,,,,"164,827",533,159
"",,,,,,,"$218,656","$1,547",$963
"Prawn, spot","10,635",650,,"1,477","6,439","8,423","96,549","60,437","5,199"
"","$2,649",$228,,"$4,521","$39,306","$42,859","$406,662","$270,064","$31,313"
Table 5c (continued) Crustaceans:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Shrimp, bay",,,,"128,859",,,,,
"",,,,"$269,778",,,,,
"Shrimp, brine",,,,"1,143,288",,,,,"13,466"
"",,,,"$14,703",,,,,$169
"Shrimp, ghost",,,268,"11,580",,,,148,
"",,,$816,"$4,875",,,,"$1,004",
"Shrimp, Pacific Ocean","12,490,435","832,548",5,11,,"24,069","4,148",,
"","$4,510,652","$216,126",$3,$11,,"$8,816","$4,060",,
"Shrimp, red rock",,,,,,,,18,
"",,,,,,,,$220,
"Shrimp, unspecified","13,593","2,529",,"4,214",366,,,21,237
"","$3,619",$632,,"$16,216","$2,281",,,$85,"$1,204"
"",,,,,,,,,
Echinoderms:,,,,,,,,,
"Echinoderm, unspecified",,,,,,,,587,
"",,,,,,,,$408,
"Sea cucumber, unspecified",,"5,824",,,,,"152,050","1,807",330
"",,"$1,203",,,,,"$30,307","$1,148",$233
Sea stars,,,,,,,,5,
"",,,,,,,,$10,
"Urchin, purple sea",,,,,,,"2,781",,
"",,,,,,,"$1,363",,
"Urchin, red","70,661","21,947,991","4,028,198","868,662",,"3,401","16,589,336","6,501,198","1,190,856"
"","$10,587","$5,888,041","$455,348","$216,925",,"$1,375","$8,413,381","$2,997,996","$475,889"
"",,,,,,,,,
Mollusks:,,,,,,,,,
Abalone,,,,575,,,200,,
"",,,,"$3,234",,,"$1,125",,
"Abalone, black",560,"1,619",,693,"2,173",396,"177,547","38,212","1,471"
"",$178,$564,,$270,$767,"$1,588","$630,886","$145,434","$2,749"
"Abalone, green",,,,,,,471,"19,025",654
"",,,,,,,"$2,977","$114,428","$3,945"
"Abalone, pink",,,,,,,"5,806","15,039","1,708"
"",,,,,,,"$26,201","$84,147","$9,690"
"Abalone, red",,,,"130,660",,"2,040","333,732","2,599","6,255"
"",,,,"$518,675",,"$9,006","$1,425,035","$10,463","$27,673"
Table 5c (continued) Mollusks:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Abalone, white",,,,,,,,,22
"",,,,,,,,,$12
"Clam, California jackknife",,,,"2,150",,,,"4,397",
"",,,,$638,,,,"$8,722",
"Clam, unspecified",,,,,,,,501,
"",,,,,,,,$376,
"Limpet, unspecified",,,,12,239,140,"1,057",,
"",,,,$12,$239,$122,"$1,057",,
Mussel,,,,182,,,,"9,437",
"",,,,$109,,,,"$5,691",
"Octopus, unspecified","14,178","3,227","2,987","16,882","7,289",611,"2,959","1,496",705
"","$10,728","$2,857","$2,056","$13,163","$7,452",$462,"$3,404",$963,$860
"Oyster, California native",,,,,,,,69,
"",,,,,,,,"$1,749",
Sea slug,,,,,0.2,,,,
"",,,,,$6,,,,
"Snail, bubble",,,,,,5,,,
"",,,,,,$5,,,
"Snail, sea",,,,3,,500,"7,307","12,726","1,530"
"",,,,$3,,$531,"$2,783","$4,741",$677
"Squid, market",,"1,356",,"7,485","15,753,025","42,344","38,290,549","36,053,226","4,676"
"",,$366,,"$1,606","$1,474,086",$211,"$567,541","$2,513,804","$2,223"
"Whelk, Kellet's",,,,,,,345,688,
"",,,,,,,$149,$241,
"",,,,,,,,,
Plants:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Agar,,,,,,2,,,
"",,,,,,$1,,,
"Algae, marine",,,,44,,,,,
"",,,,$35,,,,,
Kelp,,,,,,10,,685,"1,145"
"",,,,,,$10,,$206,$228
"",,,,,,,,,
Miscellaneous:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Tunicates,,,,,,,,17,
"",,,,,,,,$30,
Table 5c (continued) Miscellaneous:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Worms, marine",,,,,22,,,11,
"",,,,,$143,,,$22,
Unspecified species,,"3,105",,340,,,193,,
"",,"$2,484",,$98,,,$125,,
"",,,,,,,,,
Total pounds,"61,631,218","33,790,236","11,752,725","40,007,025","29,517,366","13,536,704","75,251,686","218,030,161","3,537,630"
Total ex-vessel value (dollars),"$22,109,406","$12,481,786","$5,214,736","$17,596,450","$9,501,607","$7,101,838","$17,731,193","$21,592,324","$5,750,463"
Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Anchovy, northern",,,"155,600","1,418,379","4,699,015",,"317,277","442,205","40,640"
"",,,"$10,892","$142,332","$312,131",,"$45,795","$35,193","$42,258"
"Barracuda, California",,160,,,370,791,"5,055","160,284","3,263"
"",,$92,,,$222,$643,"$3,668","$90,523","$2,662"
"Bass, barred sand",,,,,,,,3,
"",,,,,,,,$3,
"Bass, giant sea",,,,,99,625,"3,000","1,946","1,599"
"",,,,,$186,"$1,258","$4,279","$2,340","$2,824"
"Bass, kelp",,,,,10,,,,
"",,,,,$5,,,,
"Bonito, Pacific",,6,,457,"5,493","25,127","21,508","9,530,100","6,700"
"",,$2,,$410,"$2,285","$6,570","$5,478","$1,920,325","$2,999"
Butterfish (Pacific pompano),,,,490,"2,544",68,"25,664",708,
"",,,,$537,"$3,013",$21,"$12,249",$500,
Cabezon,"19,550",125,19,"1,967","1,385","1,574",984,238,111
"","$6,313",$45,$10,$914,$652,$519,$595,$282,$74
"Cod, Pacific",11,,,,,,,,1
"",$3,,,,,,,,$0.4
"Croaker, black",,,,,,,,,"2,660"
"",,,,,,,,,"$1,824"
"Croaker, unspecified",,,,,40,,,,
"",,,,,$12,,,,
Table 5d (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Croaker, white",32,,"13,900","131,235","268,330","25,119","109,713","221,182","5,344"
"",$16,,"$4,860","$49,136","$85,952","$8,686","$53,933","$132,043","$3,389"
Dolphin (fish),,,,,,5,25,243,"1,237"
"",,,,,,$15,$31,$386,"$1,546"
Eel,36,,,67,157,8,,302,
"",$17,,,$17,$95,$3,,$142,
"Eel, California moray",,,,115,,,,"1,072",
"",,,,$58,,,,"$4,288",
"Eel, wolf (wolf-eel)","2,020",44,,58,29,119,,,
"",$766,$44,,$25,$13,$58,,,
Eulachon,,,,,,,,20,
"",,,,,,,,$20,
"Fish, unspecified","16,989",,85,536,"1,807",506,"2,877","2,559",105
"","$10,929",,$54,$268,"$1,099",$259,"$1,171","$2,304",$74
"Flounder, arrowtooth","119,001",348,,119,,,,,
"","$12,676",$36,,$48,,,,,
"Flounder, starry","44,551",,75,"27,457","5,744","2,485",77,,
"","$18,376",,$34,"$12,039","$3,483","$1,225",$40,,
"Flounder, unspecified","1,560",270,257,"12,547","4,251","16,815",63,34,
"",$700,$81,$78,"$6,435","$2,446","$8,635",$39,$44,
Flyingfish,,,,,,,,"83,889",
"",,,,,,,,"$33,612",
Garibaldi,,,,,,,,43,
"",,,,,,,,$128,
"Goby, yellowfin",,,,"3,869",,,,,
"",,,,"$16,897",,,,,
"Greenling, kelp",10,,,272,20,2,,"3,030",
"",$4,,,$139,$9,$1,,"$2,605",
Grenadiers,"134,275","20,163",,433,387,"21,705",,,
"","$18,463","$2,661",,$61,$58,"$5,212",,,
"Guitarfish, shovelnose",,,,,,823,"37,884","13,198",489
"",,,,,,$465,"$14,128","$5,226",$324
Hagfish,"237,781","874,101",,"333,941","508,284","807,832","670,358","1,442,867","25,432"
"","$71,337","$276,619",,"$134,340","$183,321","$274,290","$242,911","$967,519","$9,174"
Halfmoon,,,,,,,,"3,193","1,845"
"",,,,,,,,"$2,742","$1,270"
"Halibut, California","3,541","1,795","3,350","167,537","42,034","198,039","350,121","124,186","47,968"
"","$6,768","$4,463","$8,126","$410,366","$104,399","$450,764","$781,185","$282,102","$109,511"
Table 5d (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Halibut, Pacific",18,,,,,,,,
"",$44,,,,,,,,
"Halibut, unspecified",,,,,,34,,,
"",,,,,,$78,,,
Herring roe on kelp,,,,"185,750",,,,,
"",,,,"$1,760,688",,,,,
"Herring, Pacific","188,279",,"190,409","15,724,656","281,143",,46,"9,000",
"","$122,826",,"$82,881","$6,745,013","$63,165",,$5,$450,
Jacksmelt,,,,160,"2,077",,702,696,
"",,,,$65,$610,,$391,$526,
Kelpfishes,,,,,,304,,,
"",,,,,,$91,,,
Lingcod,"697,749","430,452","208,911","523,610","344,301","98,969","14,536","3,718","23,895"
"","$281,660","$158,202","$70,646","$215,114","$133,433","$46,441","$5,260","$2,369","$17,045"
"Lizardfish, California",,,,,,,528,"19,382",744
"",,,,,,,$121,"$4,212",$186
Louvar,,30,103,28,"1,521","1,827",270,658,"9,662"
"",,$75,$358,$98,"$4,134","$5,344",$681,"$1,252","$33,037"
"Mackerel, jack",,,4,"3,437","424,226","36,377","166,997","6,473,354",163
"",,,$4,$719,"$47,136","$1,464","$6,764","$385,130",$72
"Mackerel, Pacific",,,,"1,013","4,661,943",525,"638,782","63,194,983","13,869"
"",,,,$441,"$258,210",$132,"$26,676","$3,857,854","$4,615"
"Mackerel, unspecified","3,684",863,37,"29,476","840,129","3,608","290,199","18,756,392","3,126"
"",$764,$165,$6,"$7,154","$42,430",$713,"$12,997","$1,157,253","$1,177"
"Midshipman, plainfin",,,,,,33,,,
"",,,,,,$18,,,
"Mullet, striped",,,,,,,,611,"18,728"
"",,,,,,,,$423,"$12,782"
Opah,682,667,"2,067","3,059","7,370","20,423","3,707","14,810","51,524"
"",$226,$321,"$1,232","$1,582","$4,325","$10,690","$1,944","$6,121","$30,203"
Opaleye,,,,,,638,11,"1,658","4,632"
"",,,,,,$230,$11,"$1,321","$2,475"
"Prickleback, monkeyface",,,,,92,,,,
"",,,,,$46,,,,
Queenfish,,,,,,,"4,142",,
"",,,,,,,"$2,067",,
Sablefish,"3,126,120","943,137","371,071","1,682,022","608,008","864,402","17,497","451,628","6,492"
"","$1,329,183","$551,362","$116,280","$708,039","$239,452","$233,733","$10,610","$384,872","$2,911"
Table 5d (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
Salmon,149,87,98,"10,251","13,510","8,748","7,427",18,"1,886"
"",$360,$87,$98,"$29,926","$38,925","$25,751","$23,872",$54,"$6,473"
"Salmon, Chinook","260,420","563,512","723,938","1,158,073","1,079,234","292,287","2,436",960,519
"","$707,229","$1,523,791","$1,948,530","$3,249,950","$3,017,371","$833,509","$7,951","$2,880","$1,350"
"Salmon, chum",,,,6,,,,,
"",,,,$12,,,,,
"Salmon, coho","31,263","108,383","61,439","80,239","25,050","6,709",,,61
"","$60,766","$212,312","$118,928","$161,833","$48,890","$17,862",,,$158
Sanddab,"260,398","10,093","4,894","755,174","147,351","250,537",555,"4,419",405
"","$72,849","$2,905","$1,472","$229,977","$50,827","$67,390",$396,"$10,132",$440
"Sanddab, Pacific",9,,,,,,,,
"",$3,,,,,,,,
"Sardine, Pacific",,,,42,"280,232","266,935","521,119","2,600,262",390
"",,,,$29,"$27,604","$10,894","$21,351","$127,359",$194
Sargo,,,,,,,,,109
"",,,,,,,,,$76
"Scorpionfish, California",,,,,8,92,"1,060","66,090","18,939"
"",,,,,$4,$28,"$1,448","$138,597","$22,187"
"Sculpin, staghorn",,,,"3,436",,,120,"1,778",395
"",,,,"$9,802",,,$77,"$4,077",$333
"Seabass, white",,,,24,"4,600","10,260","77,938","30,144","10,696"
"",,,,$11,"$8,916","$23,205","$164,690","$66,311","$23,846"
"Shad, American",,,291,"43,353",296,22,29,16,44
"",,,$3,"$75,247",$76,$6,$14,$9,$31
"Shad, threadfin",,,,"10,984",,,,,
"",,,,"$17,505",,,,,
"Shark, bigeye thresher","5,123",,910,"1,132","7,264",866,414,"4,234","19,988"
"","$5,123",,$852,$952,"$6,659",$519,$414,"$3,878","$16,210"
"Shark, blue",,10,,236,485,,"25,081","15,709","2,154"
"",,$10,,$244,$664,,"$6,270","$3,398",$543
"Shark, brown smoothhound",,,6,,20,,"8,435","1,367","2,624"
"",,,$6,,$10,,"$2,913","$1,452","$1,613"
"Shark, gray smoothhound",,,,505,,,,101,
"",,,,$321,,,,$20,
"Shark, horn",,30,,,,,86,18,
"",,$30,,,,,$69,$36,
"Shark, leopard",356,72,,"7,087","3,157","2,024","12,875","9,153","6,407"
"",$321,$58,,"$2,256","$2,771","$1,282","$8,223","$8,448","$6,344"
Table 5d (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Shark, Pacific angel",,88,,,674,"24,557","219,021","5,107","1,449"
"",,$35,,,$209,"$13,037","$148,584","$1,904",$850
"Shark, pelagic thresher",,,,,,,,,"1,733"
"",,,,,,,,,"$1,680"
"Shark, shortfin mako","2,467","5,912","4,258","12,529","23,322","28,267","74,645","172,226","243,975"
"","$2,592","$6,162","$4,338","$13,964","$26,440","$34,653","$101,095","$231,881","$319,770"
"Shark, sixgill",,,,22,,,"1,064",,
"",,,,$11,,,$532,,
"Shark, smooth hammerhead",,,,,,,109,739,"1,146"
"",,,,,,,$55,$483,$726
"Shark, soupfin","2,449","2,672",457,"8,626","12,004","13,397","35,180","11,293","39,636"
"","$2,503","$2,682",$457,"$7,076","$10,261","$9,436","$18,960","$10,897","$41,005"
"Shark, spiny dogfish",486,,,,,232,"4,304","1,609",242
"",$243,,,,,$30,$531,$325,$175
"Shark, thresher","30,041","2,588","2,795","14,900","85,855","79,856","54,769","81,968","109,269"
"","$30,027","$3,096","$3,513","$18,609","$111,523","$102,848","$76,939","$114,175","$177,248"
"Shark, unspecified",766,117,51,"3,655","5,679",819,399,"6,481",218
"",$692,$97,$43,"$2,049","$2,927",$540,$289,"$2,844",$542
"Shark, white",,,,,,38,154,26,47
"",,,,,,$38,$174,$21,$24
"Sharks, cow",,,,,,,,,23
"",,,,,,,,,$23
"Sheephead, California",,6,,,,176,"20,170","99,171","4,016"
"",,$3,,,,$140,"$51,196","$395,293","$11,156"
Silversides,,,,,,,751,571,129
"",,,,,,,$376,$365,$32
"Skate, unspecified","22,279",969,847,"51,167","55,296","3,579","1,204","7,695",697
"","$6,298",$248,$292,"$14,749","$13,434",$832,$431,"$3,061",$192
"Smelt, night","555,486",482,59,327,,2,,,
"","$166,358",$169,$30,$232,,$1,,,
"Smelt, surf","281,638","3,987",121,44,257,,,248,
"","$43,197","$1,395",$52,$37,$102,,,$78,
"Smelt, whitebait","32,601","4,499","7,312",647,"7,616",,,,
"","$9,687","$1,576","$2,719",$397,"$4,659",,,,
"Smelts, true","3,798",,6,700,665,5,17,9,
"",$956,,$6,$359,$415,$1,$6,$8,
"Sole, butter","2,196",,,,67,,,,166
"",$682,,,,$22,,,,$141
Table 5d (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Sole, Dover","6,494,186","1,344,611","1,877,313","923,531","281,360","3,012,124",,6,
"","$1,735,146","$383,424","$476,077","$238,897","$71,612","$767,124",,$6,
"Sole, English","396,225","181,389","147,805","703,642","439,620","97,244","1,113",,
"","$132,708","$61,316","$51,304","$237,422","$159,064","$39,861",$424,,
"Sole, fantail",317,,,,,,,,
"",$238,,,,,,,,
"Sole, petrale","377,702","117,610","62,963","563,663","190,991","179,857","2,841",23,
"","$283,178","$88,314","$50,934","$456,284","$165,823","$173,933","$2,490",$46,
"Sole, rex","359,220","124,589","73,940","161,499","40,531","466,652",258,,
"","$118,079","$41,276","$24,323","$55,135","$14,013","$174,475",$88,,
"Sole, rock",,"2,912",524,"12,165",25,34,,,
"",,"$1,029",$217,"$4,476",$12,$31,,,
"Sole, sand","100,295",293,323,"98,193","5,827","2,570",,,27
"","$73,803",$220,$138,"$75,696","$4,933","$1,701",,,$22
"Sole, unspecified",,5,18,124,"1,817","2,184","15,066","6,697","1,340"
"",,$3,$20,$81,"$1,513","$1,187","$6,472","$4,478",$954
"Stickleback, threespine",,,,14,,,,,
"",,,,$461,,,,,
Stingray,,,,,,,,240,
"",,,,,,,,$92,
"Sunfish, ocean",,,,,,18,,,
"",,,,,,$9,,,
"Surfperch, barred",,,,,,"18,842",,,
"",,,,,,"$27,378",,,
"Surfperch, black",,,,,,63,2,633,235
"",,,,,,$38,$1,$250,$160
"Surfperch, calico",,,,,,1,,,
"",,,,,,$3,,,
"Surfperch, rainbow",58,,,"1,678",,101,,,
"",$35,,,"$1,678",,$60,,,
"Surfperch, redtail","39,916",,100,89,,53,,,
"","$39,625",,$140,$102,,$69,,,
"Surfperch, rubberlip",15,,,,,12,,79,
"",$14,,,,,$8,,$79,
"Surfperch, shiner",662,,,309,,373,,,
"",$397,,,$339,,$226,,,
"Surfperch, unspecified","22,427","3,281",404,"6,994","6,649","14,174",625,"12,637","7,061"
"","$8,304","$1,159",$318,"$7,486","$1,229","$18,193",$424,"$11,183","$4,687"
Table 5d (continued) Fish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Surfperch, walleye",,,,,,,,,19
"",,,,,,,,,$13
"Surfperch, white",,,,,,,,105,52
"",,,,,,,,$58,$36
Swordfish,"41,470","99,011","112,070","217,063","252,836","336,723","84,946","313,336","421,356"
"","$136,007","$355,972","$426,816","$692,574","$893,724","$1,205,425","$395,398","$1,318,024","$1,735,801"
Thornyheads (unspecified),"7,037,143","506,183","510,615","330,386","39,457","3,451,120",459,"4,900","4,451"
"","$2,714,141","$191,835","$193,487","$126,356","$12,746","$1,330,871",$155,"$7,350","$1,647"
"Tomcod, Pacific",,,,,,,,392,
"",,,,,,,,$784,
Trawled fish for animal food,"63,239",,150,929,,"11,956",,,
"","$42,370",,$101,$622,,"$8,011",,,
"Tuna, albacore","181,897","40,099","6,010","425,693","193,853","89,719","18,114","939,490","7,439"
"","$159,135","$37,900","$6,350","$356,217","$187,111","$77,491","$23,846","$965,326","$6,895"
"Tuna, bigeye",,,,,313,267,134,330,"3,880"
"",,,,,$438,$359,$201,$435,"$6,862"
"Tuna, bluefin",,,71,263,"5,696","7,497","1,282","2,013,086","12,173"
"",,,$195,$808,"$8,379","$8,462","$1,477","$1,588,833","$22,601"
"Tuna, skipjack",,,78,,92,155,79,"4,971,405","1,001"
"",,,$39,,$14,$75,$18,"$1,728,061",$300
"Tuna, unspecified",,,94,,"1,109","1,095","1,399","91,825","5,998"
"",,,$94,,"$1,259","$1,691","$1,253","$68,035","$4,502"
"Tuna, yellowfin",,74,26,,"3,955","1,561","1,244","18,745,809","6,530"
"",,$129,$39,,"$1,836","$1,882",$835,"$21,281,967","$5,025"
Turbot,500,30,183,"11,832","1,324","6,287",6,,
"",$170,$5,$47,"$3,773",$530,"$2,017",$5,,
Wahoo,,,,,,,,"9,150","1,437"
"",,,,,,,,"$4,575","$2,382"
"Whitefish, ocean",,,,,,,552,"4,167","1,348"
"",,,,,,,$280,"$4,151","$1,025"
"Whiting, Pacific","12,159,916",,,214,6,29,,"5,820",694
"","$786,813",,,$165,$0.4,$22,,"$5,982",$219
Yellowtail,,,,,,,"4,611","17,681","18,020"
"",,,,,,,"$5,024","$18,735","$18,900"
Zebraperch,,,,,,107,,,"1,412"
"",,,,,,$123,,,$972
Table 5d (continued) Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, bank",,,,"33,756",,"1,561",,,
"",,,,"$11,097",,$533,,,
"Rockfish, black","257,856","22,546","1,154","1,823",171,,757,,83
"","$94,908","$23,016",$379,$949,$80,,$510,,$34
"Rockfish, blackgill",,675,,828,846,"34,330","301,205","105,550","67,115"
"",,$743,,$248,$314,"$17,337","$185,385","$63,436","$56,473"
"Rockfish, blue","3,732",859,231,"16,998","13,976","8,012",47,,"1,173"
"","$1,442",$387,$81,"$8,236","$6,619","$2,398",$13,,"$1,173"
"Rockfish, bocaccio",,,323,,,"5,243",50,125,
"",,,$200,,,"$1,311",$25,$94,
"Rockfish, brown","8,796","4,261",,"9,330","5,383",5,2,5,457
"","$2,226","$1,150",,"$7,385","$2,174",$2,$1,$5,$364
"Rockfish, canary","34,344","57,500","1,462","10,736",,31,,,
"","$24,549","$42,357",$605,"$5,499",,$19,,,
"Rockfish, chilipepper",,,35,"2,439","1,794","4,892",,,44
"",,,$15,$876,$828,"$2,100",,,$18
"Rockfish, China","5,526","3,716",732,"1,802","1,355",25,,175,
"","$4,579","$4,031",$379,"$2,083",$506,$19,,$263,
"Rockfish, copper","37,687","18,907",,107,89,,22,,
"","$16,955","$13,172",,$62,$49,,$28,,
"Rockfish, copper (whitebelly)",15,,210,62,192,"1,491",645,,
"",$11,,$147,$35,$181,$816,$645,,
"Rockfish, cowcod",,,,"3,914",524,"8,488","11,127","3,736","7,944"
"",,,,"$1,573",$183,"$8,215","$10,295","$5,299","$10,975"
"Rockfish, gopher",,,,,,91,,,
"",,,,,,$91,,,
"Rockfish, greenblotched",,,,,,5,,,
"",,,,,,$2,,,
"Rockfish, greenspotted",104,,,,,,,,
"",$81,,,,,,,,
"Rockfish, group bocaccio/chilipepper",193,"168,019","155,233","1,337,940","937,475","280,652","816,384","110,790","44,910"
"",$76,"$47,963","$72,339","$419,116","$365,652","$99,269","$306,622","$67,603","$31,205"
"Rockfish, group bolina",39,7,"41,806","74,875","6,771","8,440","3,112",75,63
"",$31,$10,"$24,746","$103,384","$6,133","$4,423","$2,911",$101,$67
"Rockfish, group deepwater reds",27,,173,378,,,,,
"",$7,,$87,$189,,,,,
"Rockfish, group gopher","3,005","3,109",280,"9,449","61,863","56,340",27,,
"","$1,503","$2,313",$140,"$7,307","$83,885","$59,096",$16,,
Table 5d (continued) Rockfish:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Rockfish, group red","233,752","1,297,182","130,820","327,511","179,961","181,853","345,753","59,151","48,484"
"","$158,848","$480,460","$51,355","$203,531","$118,561","$171,571","$493,436","$83,270","$50,574"
"Rockfish, group rosefish","3,943","94,665","30,257","220,740","345,374","332,211","1,031",,
"","$1,185","$24,800","$7,998","$61,239","$78,460","$70,219",$513,,
"Rockfish, group small","583,356","75,521","56,683","96,307","83,533","135,618","1,678",30,
"","$156,390","$17,484","$14,746","$27,418","$18,594","$33,945",$587,$45,
"Rockfish, olive",,,,,432,195,,,
"",,,,,$276,$83,,,
"Rockfish, rosy",,,,650,,278,,400,
"",,,,$195,,$70,,$600,
"Rockfish, shortbelly",,,"1,402","4,800",,,,,
"",,,$98,$960,,,,,
"Rockfish, splitnose",,,,,,,,,"2,674"
"",,,,,,,,,"$1,846"
"Rockfish, starry",,,,,,,,"3,261",
"",,,,,,,,"$5,049",
"Rockfish, unspecified","2,931,914","2,716,327","1,658,081","3,475,160","2,408,795","2,066,607","492,724","102,412","184,244"
"","$914,028","$883,944","$509,067","$1,191,526","$1,109,986","$869,887","$342,641","$140,357","$195,768"
"Rockfish, vermilion",,73,3,,,9,,,18
"",,$55,$2,,,$6,,,$21
"Rockfish, widow","2,043,989","528,453","486,068","998,116","128,192","6,054",,,
"","$520,841","$141,195","$126,824","$298,141","$46,284","$2,119",,,
"Rockfish, yelloweye","64,118","14,070","1,539","6,420",396,,,,64
"","$52,256","$11,856",$839,"$5,104",$238,,,,$42
"Rockfish, yellowtail","89,860","3,924","1,531","102,365","5,396",9,444,307,"1,611"
"","$32,329","$1,787",$757,"$47,155","$3,030",$14,$406,$357,"$3,095"
"",,,,,,,,,
Crustaceans:,,,,,,,,,
"Crab, box",,,,,,,53,,
"",,,,,,,$46,,
"Crab, claws","3,569",67,105,610,"1,529","19,553","31,195","6,013","2,215"
"","$1,780",$17,$83,$211,$608,"$6,191","$8,404","$1,527",$563
"Crab, Dungeness","9,042,000","200,865","474,867","542,192","46,256","58,506","1,605","2,953",274
"","$13,625,955","$320,891","$945,821","$1,152,588","$95,878","$124,083","$1,643","$8,287",$243
"Crab, king",,,,,,,,110,
"",,,,,,,,$77,
Table 5d (continued) Crustaceans:,Eureka,Fort Bragg,Bodega Bay,San Francisco,Monterey,Morro Bay,Santa Barbara,Los Angeles,San Diego
"Crab, rock unspecified","9,319",225,"2,274","36,313","25,014","450,132","569,254","246,482","450,187"
"","$13,879",$428,"$2,683","$51,154","$20,389","$445,329","$609,638","$274,220","$401,761"
"Crab, sand",798,,,,,,,,
"",$439,,,,,,,,
"Crab, spider",,,,,,"2,044","62,594","24,590","4,216"
"",,,,,,"$1,822","$42,465","$13,154","$2,601"
"Lobster, California spiny",,,,,291,31,"189,286","239,495","279,005"
"",,,,,$102,$163,"$1,081,243","$1,338,200","$1,559,157"
"Prawn, ridgeback",,,,,,,"81,530","5,196","4,109"
"",,,,,,,"$112,348","$22,158","$20,730"
"Prawn, spot",,,,6,"8,366","6,668","112,881","154,329","21,532"
"",,,,$34,"$54,635","$35,930","$490,460","$766,098","$109,602"
"Shrimp, bay",,325,100,"150,957",,,,,
"",,$146,$250,"$506,958",,,,,
"Shrimp, brine",,,"122,223","1,459,024",,,,,"35,792"
"",,,"$15,583","$186,025",,,,,"$4,563"
"Shrimp, ghost",,,142,"1,204",,,,,10
"",,,$151,"$1,204",,,,,$17
"Shrimp, Pacific Ocean","8,174,313","519,083",,,,"1,187","5,060","1,273",
"","$3,938,218","$245,895",,,,$712,"$3,688","$1,736",
