Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"","$649,399","$695,984","$606,943","$427,388","$489,357","$341,729","$364,269","$475,495","$599,554","$409,423","$362,639","$242,359","$244,256"
"Sole, rock","9,151","12,064","22,070","15,659","14,618","9,434","14,971","8,400","15,691","7,822","20,762","21,506","14,515"
"","$3,762","$5,405","$8,979","$5,764","$5,329","$3,936","$7,096","$3,624","$7,318","$3,370","$8,405","$9,653","$6,387"
"Sole, sand","336,256","247,970","244,088","207,528","144,703","138,343","161,789","121,880","81,496","137,148","109,918","77,254","60,137"
"","$245,295","$184,864","$179,200","$156,514","$107,671","$104,454","$123,425","$94,443","$65,663","$112,194","$88,147","$58,591","$47,321"
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Sole, slender",,,3,,,,,,,41,,6,
"",,,$2,,,,,,,$4,,$5,
"Sole, tongue",,,,,,,,96,,,,17,21
"",,,,,,,,$64,,,,$43,$13
"Sole, unspecified","78,811","56,487","46,632","27,251","59,642","38,370","31,221","35,829","82,800","65,390","48,002","50,688","32,745"
"","$34,544","$30,244","$27,394","$14,708","$34,067","$19,416","$19,094","$19,566","$43,278","$33,158","$26,974","$29,863","$21,671"
Splittail,,,,,,31,62,,,,340,,
"",,,,,,$30,$93,,,,$398,,
"Stickleback, threespine","2,549",177,,14,121,,,167,31,,,61,254
"","$6,644","$5,342",,$462,"$2,653",,,"$20,280","$1,020",,,"$1,534","$1,387"
Stingray,298,36,,240,,40,130,543,48,125,"2,111",545,"1,463"
"","$2,981","$1,824",,$92,,$6,$39,$109,$17,$56,$477,$136,$386
Sturgeons,,,16,,,,,,,,,,
"",,,$8,,,,,,,,,,
"Sunfish, ocean",245,334,5,18,,,,,117,,,,
"",$341,$333,$6,$9,,,,,$94,,,,
"Surfperch, barred","22,357","23,203","16,584","18,842","22,912","25,200","8,699","36,936","39,982","33,169","28,038","34,411","9,562"
"","$27,523","$28,707","$20,954","$27,378","$34,281","$41,190","$14,451","$63,987","$72,270","$52,715","$45,710","$60,854","$14,781"
"Surfperch, black",553,397,581,933,"1,951","1,258",150,"1,303",117,20,303,15,42
"",$120,$127,$312,$450,$757,$860,$114,"$1,159",$204,$10,$76,$53,$69
"Surfperch, calico",,,2,1,157,148,,1,,,67,,
"",,,$2,$3,$236,$215,,$3,,,$43,,
"Surfperch, dwarf",,,,,,,,,,6,,,
"",,,,,,,,,,$7,,,
"Surfperch, pile",55,,6,,,,124,795,"1,160","3,493","1,461",62,505
"",$33,,$8,,,,$81,$685,"$1,160","$3,199","$1,052",$61,$578
"Surfperch, rainbow",,476,894,"1,837",640,"2,188","2,098",640,23,48,55,8,44
"",,$384,$893,"$1,774",$598,"$2,162","$2,030",$770,$22,$70,$33,$4,$182
"Surfperch, redtail","23,045","21,223","32,354","40,158","26,590","35,976","49,139","35,404","38,023","32,773","32,230","25,252","29,798"
"","$19,417","$16,912","$29,523","$39,936","$26,818","$35,188","$49,240","$35,831","$37,299","$34,996","$35,405","$27,720","$33,422"
"Surfperch, rubberlip",,31,3,106,68,6,30,282,418,930,261,42,314
"",,$22,$1,$100,$61,$4,$31,$444,$417,"$1,064",$278,$110,$362
"Surfperch, shiner",53,"2,650","1,490","1,344",455,225,20,4,45,,35,12,
"",$23,"$1,639",$742,$962,$250,$138,$12,$34,$27,,$35,$9,
"Surfperch, unspecified","99,492","59,061","65,822","74,252","49,526","64,101","50,519","18,027","9,872","13,505","12,041","13,911","6,609"
"","$71,819","$54,452","$54,354","$52,983","$60,807","$95,809","$76,301","$19,889","$15,508","$17,834","$17,978","$23,661","$11,149"
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Surfperch, walleye",,10,100,19,434,511,482,271,4,"1,258","2,011",18,
"",,$5,$50,$13,$303,$362,$316,$279,$5,"$1,111","$1,608",$21,
"Surfperch, white",12,19,366,157,"2,014",49,,10,,,12,,"2,538"
"",$10,$12,$236,$94,"$1,188",$32,,$8,,,$4,,"$7,479"
Swordfish,"2,740,942","2,484,395","2,063,996","1,878,811","1,564,925","2,355,208","2,684,829","2,574,910","1,764,736","1,767,400","2,204,962","2,063,901","3,072,454"
"","$10,409,413","$9,508,443","$7,889,380","$7,159,740","$6,345,295","$7,491,326","$9,016,840","$9,510,874","$6,484,145","$5,828,587","$6,072,476","$5,652,514","$8,379,186"
"Thornyhead, longspine",,,,,,,,944,"5,856,808","5,420,006","4,607,623","2,924,672","2,379,618"
"",,,,,,,,$872,"$5,872,599","$4,603,316","$3,527,194","$1,995,337","$2,052,541"
"Thornyhead, shortspine",,,,,,,,179,"1,666,441","1,543,123","1,315,231","1,230,993","785,582"
"",,,,,,,,$251,"$1,904,808","$1,518,085","$1,283,673","$1,169,431","$913,486"
Thornyheads (unspecified),"6,508,187","9,956,776","11,846,487","11,884,714","6,313,351","9,648,266","9,167,428","7,294,240","502,621","345,132","271,310","107,811","131,417"
"","$1,892,486","$3,433,289","$4,355,554","$4,578,588","$2,892,374","$4,689,243","$4,582,094","$5,558,046","$534,317","$392,329","$372,955","$168,045","$181,287"
"Tomcod, Pacific",186,,,392,11,33,125,39,203,"13,421","18,665","6,633","2,045"
"",$61,,,$784,$22,$66,$75,$87,$157,"$1,740","$1,943","$1,286",$205
Topsmelt,,119,186,,,,,69,,,133,,
"",,$105,$171,,,,,$35,,,$95,,
Trawled fish for animal food,"64,155","89,900","121,731","76,274","23,659","1,117",,44,,,,,
"","$39,135","$73,718","$74,256","$51,104","$14,432",$726,,$29,,,,,
"Trawled fish, unspecified",,,,,,,,,,,,45,
"",,,,,,,,,,,,$27,
Triggerfish,525,5,4,,,4,4,298,,,11,,48
"",$105,$5,$3,,,$2,$2,$209,,,$12,,$133
"Tuna, albacore","3,511,483","2,669,518","1,918,907","1,902,312","1,493,802","2,802,513","4,027,882","6,989,093","1,833,340","11,332,004","7,398,253","5,315,548","12,318,023"
"","$2,076,713","$1,774,609","$972,170","$1,820,271","$1,165,818","$3,129,151","$3,772,396","$6,320,708","$1,510,437","$10,731,960","$5,797,422","$3,347,768","$10,320,614"
"Tuna, bigeye","109,671","14,171","1,374","4,924","16,092","14,701","56,310","83,238","85,475","111,005","167,015","100,376","216,306"
"","$70,149","$20,336","$2,413","$8,295","$45,717","$43,135","$209,792","$307,349","$259,527","$263,993","$349,667","$271,931","$669,741"
"Tuna, blackfin","1,154",,,,,,890,,,,,,
"",$866,,,,,,$890,,,,,,
"Tuna, bluefin","1,814,038","1,771,704","2,246,117","2,040,069","228,895","2,396,650","1,231,796","2,012,277","1,368,432","10,327,599","4,958,129","4,282,466","364,680"
"","$2,294,248","$2,732,567","$785,784","$1,630,756","$115,514","$1,244,456","$785,212","$1,678,673","$974,248","$4,042,445","$2,688,981","$2,852,225","$1,067,840"
"Tuna, longtail",,,,,,,,82,,,,,
"",,,,,,,,$98,,,,,
"Tuna, skipjack","12,619,100","19,539,462","9,932,414","4,972,810","7,511,801","5,700,648","10,006,587","4,653,967","15,327,491","12,024,568","13,387,085","12,614,505","8,286,038"
"","$5,478","$788,642","$29,636","$1,728,506","$2,272,981","$970,500","$2,417,196","$1,751,403","$4,789,673","$3,984,396","$5,556,802","$5,230,061","$2,748,207"
"Tuna, skipjack, black",,,360,,,,"137,980","176,460","221,937","184,420","91,867","509,362","197,308"
"",,,$687,,,,"$28,976","$35,292","$48,737","$37,067","$20,670","$151,575","$61,033"
Table 4a (continued) Fish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Tuna, unspecified","283,784","24,205","169,037","101,520","25,290","22,466","35,229","70,963","3,036","6,948","23,369","23,832","24,660"
"","$448,055","$49,588","$298,616","$76,834","$20,994","$21,532","$70,659","$70,274","$6,367","$32,081","$19,059","$61,685","$60,851"
"Tuna, yellowfin","51,148,999","43,033,184","38,834,295","18,759,198","9,209,748","7,384,579","8,275,912","11,142,007","6,543,938","7,376,320","10,524,823","12,736,163","2,981,179"
"","$914,323","$3,009,702","$558,575","$21,291,712","$9,592,636","$4,976,279","$6,127,052","$4,517,965","$2,972,220","$3,140,444","$5,026,131","$5,779,220","$1,444,180"
Turbot,"42,582","23,810","30,573","20,161","20,574","26,855","17,262","10,055","14,961","16,450","20,905","11,473","8,020"
"","$13,940","$8,039","$7,302","$6,548","$6,532","$7,639","$5,320","$2,815","$3,295","$4,615","$7,201","$4,141","$2,983"
"Turbot, c-o",,,,,,,,106,,,,,
"",,,,,,,,$53,,,,,
"Turbot, curlfin",,,,,,,,211,275,,5,30,90
"",,,,,,,,$53,$158,,$2,$30,$68
"Turbot, diamond",,,,,,15,,,,,,,
"",,,,,,$8,,,,,,,
"Turbot, hornyhead",,,,,,,,,333,105,,34,
"",,,,,,,,,$119,$37,,$12,
Wahoo,"23,328","2,714",238,"10,587","7,610","19,450","15,342","4,533","5,954","3,452","16,248","18,988","4,161"
"","$11,294","$4,642",$602,"$6,957","$3,454","$15,970","$11,046","$4,521","$4,141","$3,547","$8,689","$16,290","$4,102"
"Whitefish, ocean","7,036","3,095","3,174","6,067","5,014","5,886","10,380","50,746","27,822","31,450","21,232","23,857","11,188"
"","$2,766","$2,172","$3,079","$5,456","$3,396","$4,538","$10,367","$32,309","$15,704","$20,438","$16,475","$29,215","$22,307"
"Whiting, Pacific","9,959,960","14,401,883","16,089,053","12,166,679","15,196,943","10,868,278","6,834,597","7,964,783","9,018,285","6,395,184","14,028,191","12,617,919","2,883,014"
"","$610,541","$978,338","$911,376","$793,201","$886,944","$597,377","$343,358","$353,990","$456,482","$238,893","$607,223","$394,216","$115,612"
"Wrasse, rock",,1,,,,,,4,,,,,
"",,$90,,,,,,$14,,,,,
Yellowtail,"56,853","85,118","28,321","40,312","21,549","15,281","59,066","31,992","9,789","29,680","73,428","244,858","66,620"
"","$55,644","$74,899","$30,935","$42,660","$22,557","$15,340","$67,519","$45,664","$12,040","$38,605","$79,007","$249,393","$72,142"
Zebraperch,218,232,,"1,519",11,630,,,,5,"1,060",40,
"",$185,$197,,"$1,095",$13,$444,,,,$10,$795,$40,
"",,,,,,,,,,,,,
Total pounds,"303,832,338","308,966,179","293,156,412","232,260,433","201,708,709","183,484,413","153,958,226","139,112,495","210,931,704","220,497,580","273,077,797","231,697,259","231,791,846"
Total ex-vessel value,,,,,,,,,,,,,
"(dollars)","$78,239,153","$98,856,119","$62,956,272","$87,934,173","$69,326,861","$62,893,684","$53,750,962","$58,346,011","$74,530,384","$85,964,049","$86,570,235","$54,475,863","$62,515,997"
Rockfish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Rockfish, aurora",,,,,,,332,,,,97,4,
"",,,,,,,$481,,,,$114,$3,
"Rockfish, bank","80,657","113,561","35,467","35,317","91,414","27,715","99,524","55,867","106,376","66,639","81,466","451,477","27,166"
"","$33,542","$27,389","$7,193","$11,630","$32,000","$9,800","$40,684","$24,766","$46,460","$28,833","$33,974","$207,119","$12,833"
"Rockfish, black","42,402","61,385","230,297","284,390","277,053","194,145","85,711","248,713","244,928","272,928","269,332","188,642","130,194"
"","$15,452","$26,967","$82,336","$119,876","$109,381","$85,535","$41,684","$117,568","$130,038","$152,812","$155,543","$104,802","$98,715"
"Rockfish, black-and-yellow",222,44,13,,41,,80,5,,7,889,"2,063","23,581"
"",$103,$18,$17,,$35,,$40,$3,,$30,"$3,066","$5,460","$102,634"
"Rockfish, blackgill","455,711","649,016","602,888","510,549","618,695","688,650","490,442","579,005","411,473","479,860","414,246","348,550","77,867"
"","$237,182","$317,067","$337,567","$323,936","$377,212","$382,856","$282,994","$403,854","$279,173","$354,919","$278,240","$238,846","$57,397"
"Rockfish, blue","21,735","21,389","37,938","45,029","19,439","27,419","26,269","73,600","40,356","25,311","86,180","92,215","30,423"
"","$7,610","$7,245","$14,082","$20,348","$8,356","$12,095","$14,584","$39,314","$23,336","$15,351","$49,700","$57,707","$24,788"
"Rockfish, bocaccio",,27,3,"5,741","2,163,113","2,994,177","2,575,401","1,883,077","1,678,908","1,022,044","599,972","298,388","156,872"
"",,$13,$1,"$1,630","$725,640","$1,120,121","$978,095","$763,518","$735,044","$431,416","$261,093","$149,332","$84,732"
"Rockfish, bronzespotted",,,,,8,13,31,54,627,,16,137,
"",,,,,$2,$3,$11,$41,$627,,$7,$150,
"Rockfish, brown","9,257","28,355","60,474","28,239","3,061","11,166","8,343","9,200","3,843","2,729","6,612","13,012","24,502"
"","$3,782","$9,107","$16,614","$13,307","$1,240","$5,425","$3,657","$9,590","$5,243","$3,807","$3,369","$12,490","$41,507"
"Rockfish, canary","3,868","5,481","7,719","104,073","60,737","107,805","84,992","205,338","341,969","404,248","477,672","399,489","239,625"
"","$2,391","$3,543","$5,865","$73,028","$40,167","$68,267","$43,532","$146,615","$219,914","$256,227","$321,791","$240,086","$162,052"
"Rockfish, chameleon",,,,,,6,,,,,,18,
"",,,,,,$2,,,,,,$14,
"Rockfish, chilipepper","7,604","18,004","35,487","9,204","1,937,001","3,303,642","2,074,784","2,682,990","2,819,834","2,749,430","2,802,935","2,052,347","1,936,287"
"","$3,123","$6,083","$11,276","$3,836","$661,436","$1,177,028","$814,037","$1,182,397","$1,275,636","$1,190,742","$1,239,134","$920,537","$889,318"
"Rockfish, China","12,766","17,874","12,637","13,331","17,997","11,962","10,324","67,963","58,156","38,388","47,657","21,837","14,362"
"","$8,085","$12,918","$8,535","$11,858","$21,260","$14,071","$17,281","$124,167","$108,771","$70,260","$106,259","$61,711","$55,535"
"Rockfish, copper","6,348","3,935","27,420","56,812","36,183","37,439","15,804","76,832","97,591","141,988","100,456","66,148","35,418"
"","$4,137","$2,637","$12,134","$30,265","$20,720","$19,945","$12,640","$110,748","$137,132","$203,733","$118,404","$84,277","$65,756"
"Rockfish, copper (whitebelly)",689,710,"1,716","2,615","10,375","6,414","5,339",25,,,597,10,48
"",$646,$650,"$1,075","$1,836","$8,060","$5,035","$5,347",$30,,,$612,$10,$144
"Rockfish, cowcod","102,849","41,627","53,789","35,733","15,180","25,517","30,391","33,596","52,129","34,007","21,625","25,768","6,809"
"","$92,089","$43,851","$39,552","$36,540","$20,041","$30,788","$37,832","$39,335","$60,196","$36,094","$23,319","$35,154","$8,717"
"Rockfish, darkblotched",,,,,,,,,,"10,078","25,513","8,203","1,259"
"",,,,,,,,,,"$4,636","$9,808",$339,$423
Table 4b (continued) Rockfish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Rockfish, flag",,,,,,9,"1,943",180,"1,005",18,130,170,1
"",,,,,,$8,"$4,167",$243,$890,$20,$52,$72,$5
"Rockfish, gopher",,13,28,91,5,"7,449",350,"31,337","17,327","12,095","19,409","23,477","93,449"
"",,$13,$30,$91,$4,"$9,857",$732,"$35,686","$36,382","$20,199","$48,483","$66,295","$330,711"
"Rockfish, grass",,,,,"3,653","11,267","22,139","72,601","108,714","93,276","87,829","92,196","59,258"
"",,,,,"$3,658","$15,694","$72,514","$293,826","$506,216","$425,433","$408,586","$446,713","$299,142"
"Rockfish, greenblotched",,,,5,,,,,,,,19,
"",,,,$2,,,,,,,,$10,
"Rockfish, greenspotted",,541,935,104,"2,886","29,605","9,323","33,381","15,356","41,785","44,779","27,160","13,523"
"",,$352,$608,$81,"$2,024","$19,081","$6,391","$32,441","$13,614","$38,603","$32,572","$19,464","$14,335"
"Rockfish, greenstriped",,,,,"1,045","1,686","1,643","3,140","4,219","1,529","1,909","7,317","1,781"
"",,,,,$523,$765,$721,"$1,115","$1,280",$381,$520,"$5,436","$1,129"
"Rockfish, group black/blue",,,,,,,,"10,309",384,"2,226","8,192","2,695",487
"",,,,,,,,"$5,545",$404,"$1,173","$4,503","$1,414",$449
"Rockfish, group bocaccio/chilipepper","5,029,299","4,023,948","4,139,424","3,851,594","23,127","10,674","15,472",,,,542,,
"","$1,994,719","$1,524,876","$1,494,614","$1,409,842","$9,490","$3,546","$5,599",,,,$325,,
"Rockfish, group bolina","96,714","144,545","168,133","135,187","203,945","162,079","103,485","73,926","56,229","97,338","126,021","125,799","99,723"
"","$84,516","$138,407","$178,366","$141,807","$244,180","$207,895","$175,393","$152,424","$111,308","$206,527","$241,731","$263,417","$313,006"
"Rockfish, group canary/vermilion",,,,,,,,147,227,33,58,,164
"",,,,,,,,$117,$204,$30,$123,,$148
"Rockfish, group deepwater reds","1,876",,,578,257,"1,063",500,"2,368","36,572","6,138","4,332",379,
"",$814,,,$282,$84,$433,$150,"$1,637","$17,129","$3,793","$3,375",$178,
"Rockfish, group gopher","95,702","156,017","129,756","134,073","183,256","172,256","170,080","147,069","167,911","221,320","141,795","135,196","28,471"
"","$113,252","$198,064","$150,127","$154,259","$224,407","$251,517","$256,801","$258,739","$342,448","$530,940","$356,083","$359,805","$94,691"
"Rockfish, group nearshore",,,,,,,,,,,,,129
"",,,,,,,,,,,,,$468
"Rockfish, group red","1,670,231","2,045,468","2,623,973","2,804,469","2,326,616","1,682,520","1,274,731","1,354,762","1,044,708","1,225,176","850,531","710,605","239,341"
"","$1,065,156","$1,366,042","$1,891,067","$1,811,606","$1,719,551","$1,481,297","$1,299,091","$1,245,298","$1,028,278","$1,068,647","$871,191","$666,841","$265,505"
"Rockfish, group rosefish","1,143,584","911,889","803,828","1,028,221","910,364","854,455","756,903","549,425","650,929","594,180","773,483","2,763,788","407,670"
"","$307,099","$236,303","$183,231","$244,414","$230,086","$217,334","$183,755","$149,876","$220,292","$157,797","$194,823","$670,435","$104,121"
"Rockfish, group small","620,535","1,016,713","687,511","1,032,725","808,536","497,502","774,441","1,099,744","924,333","1,210,981","1,487,399","1,235,179","288,183"
"","$178,826","$255,649","$168,646","$269,209","$233,214","$140,483","$233,180","$355,132","$289,709","$321,413","$384,920","$352,208","$89,951"
"Rockfish, honeycomb",,,,,,,24,,,,,,
"",,,,,,,$9,,,,,,
"Rockfish, kelp",,40,,,"1,222",68,"5,663","6,673","5,307","4,297","2,009","1,653","2,974"
"",,$215,,,$916,$35,"$5,652","$10,254","$6,083","$7,377","$2,103","$2,402","$10,439"
"Rockfish, olive",12,290,793,627,136,623,483,135,564,720,645,"1,259","1,218"
"",$5,$201,$402,$358,$66,$351,$336,$83,$310,"$2,089","$1,701","$4,693","$1,993"
Table 4b (continued) Rockfish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Rockfish, Pacific ocean perch",389,15,,,,"3,176",128,323,20,45,,,"3,426"
"",$339,$9,,,,$982,$117,$113,$7,$135,,,$975
"Rockfish, pink",13,192,6,,,,,,,,2,,
"",$10,$114,$8,,,,,,,,$10,,
"Rockfish, pinkrose",,,,,,597,244,214,,,296,"3,757",
"",,,,,,$219,$90,$107,,,$118,"$1,690",
"Rockfish, quillback",,,,,,,,"2,776","11,448","17,936","20,739","26,145","18,030"
"",,,,,,,,"$4,021","$16,457","$35,702","$31,765","$48,063","$55,315"
"Rockfish, redbanded",,,"1,308",,18,890,200,"6,138","2,173","1,104","1,480",447,251
"",,,"$1,439",,$12,$558,$111,"$4,776","$1,361",$837,"$1,330",$359,$218
"Rockfish, rosethorn",,,,,"5,752","1,297","2,547","10,157","10,248","15,855","18,792","5,307","1,106"
"",,,,,"$2,677",$499,$927,"$4,856","$5,353","$8,411","$7,912","$2,039",$923
"Rockfish, rosy","5,013",118,760,"1,328",64,276,,"1,002",202,39,,"8,560",591
"","$1,588",$30,$114,$865,$22,$69,,$587,$103,$34,,"$4,047",$209
"Rockfish, shortbelly",,,"1,143","6,202",,400,,"6,195","12,600","61,440","44,888","15,088","17,634"
"",,,$137,"$1,058",,$48,,"$1,073","$1,957","$5,690","$5,827","$1,776","$1,069"
"Rockfish, speckled",307,,,,,,,13,10,"4,706",455,"1,447","4,975"
"",$184,,,,,,,$10,$10,"$1,995",$336,$986,"$6,702"
"Rockfish, splitnose","3,704",,,"2,674","111,995","21,459","17,602","4,029",18,370,936,"89,585","74,081"
"","$3,646",,,"$1,846","$31,722","$5,757","$4,443","$1,075",$32,$107,$234,"$15,809","$21,188"
"Rockfish, squarespot",,,,,,,,"1,413",94,,,,23
"",,,,,,,,"$1,198",$41,,,,$23
"Rockfish, starry",,,,"3,261","33,652","31,381","26,325","20,236","5,050",455,148,"3,482","2,274"
"",,,,"$5,049","$55,158","$47,754","$41,003","$25,380","$6,766",$644,$170,"$4,213","$3,070"
"Rockfish, swordspine",,,,,,,,,,"1,423",2,,295
"",,,,,,,,,,"$1,399",$1,,$192
"Rockfish, treefish",,1,,,,16,17,114,199,"1,536","1,744",231,"1,960"
"",,$35,,,,$44,$50,$353,$713,"$1,861","$2,693","$1,097","$10,026"
"Rockfish, unspecified","15,816,720","13,090,228","15,358,303","16,036,264","11,326,256","8,613,889","7,177,482","4,329,766","4,329,514","3,851,532","3,859,872","3,019,771","635,388"
"","$5,895,226","$4,713,694","$5,371,711","$6,157,204","$4,788,224","$4,090,234","$3,608,946","$1,925,436","$1,994,592","$1,742,302","$1,658,466","$1,546,531","$424,966"
"Rockfish, vermilion",42,66,540,102,"1,591","2,167","2,277","48,690","46,501","30,819","32,021","22,659","23,347"
"",$25,$53,$384,$85,"$1,161","$1,206","$2,009","$42,746","$43,232","$28,608","$31,460","$26,472","$35,424"
"Rockfish, widow","4,684,568","3,759,179","3,486,417","4,190,872","2,536,781","2,392,724","2,560,432","2,015,399","3,741,581","3,106,827","3,088,267","2,140,151","1,410,627"
"","$1,540,747","$1,109,186","$916,231","$1,135,405","$723,601","$714,845","$775,457","$693,815","$1,348,173","$1,050,573","$1,036,202","$890,565","$609,988"
"Rockfish, yelloweye","51,291","35,670","49,631","86,607","86,866","64,620","40,158","56,754","66,949","99,667","92,249","38,202","21,106"
"","$32,717","$23,221","$32,650","$70,334","$70,694","$55,553","$36,919","$60,035","$87,698","$133,270","$117,986","$50,851","$37,294"
"Rockfish, yellowtail","183,285","216,017","48,200","205,446","294,035","430,696","251,775","543,557","533,686","465,389","547,713","755,097","231,128"
"","$89,996","$94,656","$21,749","$88,929","$117,302","$182,988","$103,278","$248,330","$249,965","$208,571","$274,270","$396,270","$126,865"
Table 4b (continued) Rockfish:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Total pounds,"30,147,392","26,362,356","28,606,537","30,651,460","24,112,352","22,430,914","18,724,130","16,348,238","17,650,267","16,417,911","16,193,930","15,225,130","6,387,025"
Total ex-vessel value (dollars),"$11,717,006","$10,118,605","$10,947,759","$12,140,816","$10,484,325","$10,380,023","$9,110,740","$8,518,274","$9,352,574","$8,753,420","$8,324,303","$7,968,186","$4,465,090"
Crustaceans:,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Barnacle,,2,,,,,,,,0.4,,,
"",,$4,,,,,,,,$20,,,
"Crab, box",130,67,314,53,384,,110,"2,419",82,"2,309","5,544","5,676","6,709"
"",$88,$32,$191,$46,$604,,$140,"$2,852",$79,"$1,326","$5,706","$4,722","$7,804"
"Crab, brown rock",,,,,,,,,,942,"3,977",491,929
"",,,,,,,,,,$942,"$2,651",$491,$557
"Crab, claws","82,931","96,471","76,090","64,856","28,805","27,368","19,482","4,423","3,812","6,490","4,958","5,447","3,347"
"","$47,536","$29,434","$45,299","$19,382","$7,733","$8,585","$5,284","$4,299","$3,172","$6,924","$5,079","$5,374","$4,235"
"Crab, Dungeness","6,857,070","11,297,696","5,718,017","10,369,518","4,246,044","8,327,150","11,958,438","13,488,794","9,237,245","12,333,218","9,912,147","10,693,094","8,717,607"
"","$9,715,352","$14,856,839","$7,648,592","$16,275,391","$6,800,726","$10,722,225","$13,225,576","$18,564,551","$14,650,778","$17,229,688","$18,684,054","$19,938,753","$17,131,220"
"Crab, king",138,687,154,110,275,29,88,313,115,481,22,229,483
"",$116,$437,$142,$77,$275,$41,$259,$542,$217,$763,$44,$456,$976
"Crab, pelagic red",,,,,,,,,,,,,2
"",,,,,,,,,,,,,$1
"Crab, red rock",,,,,,,,,21,"20,612","20,702","27,626","1,308"
"",,,,,,,,,$23,"$22,944","$21,839","$31,561","$1,055"
"Crab, rock unspecified","1,567,101","1,239,273","1,309,975","1,789,198","1,623,381","1,468,309","1,287,378","1,002,373","935,535","1,043,165","1,181,150","1,239,905","796,366"
"","$1,480,488","$1,202,763","$1,305,472","$1,819,480","$1,679,537","$1,544,544","$1,333,647","$1,051,492","$1,103,204","$1,222,919","$1,368,883","$1,446,998","$1,015,118"
"Crab, sand",50,5,,798,96,57,"1,072",127,51,5,216,3,110
"",$60,$6,,$439,$48,$56,$789,$315,"$1,275",$6,$426,$34,$144
"Crab, shore",8,,,,,,,"8,272",40,,,12,926
"",$140,,,,,,,"$11,498",$40,,,$12,"$1,243"
"Crab, spider","99,546","107,569","70,057","93,444","99,500","89,871","71,173","67,290","59,427","58,852","95,801","99,797","68,621"
"","$49,997","$58,579","$42,072","$60,042","$65,742","$67,767","$45,599","$46,856","$47,720","$47,019","$86,280","$86,035","$61,118"
"Crab, tanner",6,100,,,,,"2,364","2,008","6,841",202,"37,051",,262
"",$3,$50,,,,,$827,"$2,791","$7,911",$101,"$26,706",,$909
"Crab, yellow rock",,,,,,,,,"111,760","92,502","90,927","12,395",322
"",,,,,,,,,"$134,166","$104,432","$99,012","$13,802",$475
"Crustacean, unspecified",67,26,,,,,,32,19,11,20,245,943
"","$3,790","$1,297",,,,,,$175,$49,$71,$9,$181,$326
"Lobster, California spiny","449,488","610,563","737,069","708,108","605,100","585,570","554,391","470,180","616,183","651,411","914,224","654,509","486,215"
"","$2,131,972","$3,151,506","$3,913,696","$3,978,864","$3,820,157","$3,822,461","$3,588,971","$3,493,799","$4,846,991","$5,074,620","$6,794,017","$4,118,710","$3,572,100"
"Prawn, golden",,,,,,,,25,,29,,13,25
"",,,,,,,,$132,,$22,,$26,$194
Table 4c (continued),,,,,,,,,,,,
Crustaceans: 1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
"Prawn, ridgeback241,857","142,680","165,519","90,835","128,483","75,757","80,532","162,761","414,660","574,624","387,549","435,841","1,392,691"
"$296,219","$199,269","$221,166","$155,237","$184,216","$210,419","$170,270","$230,803","$466,080","$775,016","$696,716","$767,183","$1,553,130"
"Prawn, spot88,500","166,621","189,809","303,781","313,086","225,441","347,792","444,354","394,934","527,516","761,605","788,901","613,390"
"$417,515","$805,994","$797,602","$1,456,759","$1,619,314","$1,342,922","$2,180,884","$2,760,499","$2,596,163","$3,579,419","$5,039,654","$5,337,446","$4,211,713"
"Shrimp, bay105,168","132,950","128,859","151,382","140,725","114,923","155,891","95,328","98,053","113,398","69,231","89,348","99,319"
"$257,043","$284,894","$269,778","$507,354","$484,384","$413,663","$333,819","$422,739","$426,144","$531,418","$320,215","$360,568","$350,046"
"Shrimp, brine96,906","123,253","1,156,754","1,617,039","1,611,437","944,428","1,459,514","741,360","945,017","1,037,590","1,578,368","1,138,635","1,631,889"
"$1,431","$3,464","$14,872","$206,172","$161,144","$109,978","$145,951","$526,366","$803,264","$944,207","$1,057,507","$865,362","$16,324"
"Shrimp, coonstriped2,301",911,,,,,,,"2,486","35,136","79,173","63,809","75,540"
"$7,478","$4,557",,,,,,,"$3,729","$137,374","$297,409","$256,888","$313,783"
"Shrimp, ghost55","9,087","11,996","1,356",87,850,"43,031",1,,11,825,"1,957",513
"$346","$2,658","$6,695","$1,372",$610,"$1,385","$24,493",$6,,$30,"$12,163","$27,898","$8,194"
"Shrimp, mantis",,,,,,,200,,,,,
"",,,,,,,"$1,000",,,,,
"Shrimp, Pacific Ocean8,023,388","11,236,298","13,351,216","8,700,916","10,364,782","18,682,775","7,126,933","11,225,390","5,784,944","9,351,086","14,001,640","1,843,246","4,241,744"
