"SPECIES","CA_JETTY_TOTAL_MORTALITY_NUM","CA_JETTY_TOTAL_MORTALITY_MT","CA_BEACH_TOTAL_MORTALITY_NUM","CA_BEACH_TOTAL_MORTALITY_MT","CA_CHARTER_TOTAL_MORTALITY_NUM","CA_CHARTER_TOTAL_MORTALITY_MT","CA_PRIVATE_TOTAL_MORTALITY_NUM","CA_PRIVATE_TOTAL_MORTALITY_MT","OR_CHARTER_TOTAL_MORTALITY_NUM","OR_CHARTER_TOTAL_MORTALITY_MT","OR_PRIVATE_TOTAL_MORTALITY_NUM","OR_PRIVATE_TOTAL_MORTALITY_MT","WA_CHARTER_TOTAL_MORTALITY_NUM","WA_CHARTER_TOTAL_MORTALITY_MT","WA_PRIVATE_TOTAL_MORTALITY_NUM","WA_PRIVATE_TOTAL_MORTALITY_MT"
"Albacore",,,,,,,,,86,.497781881578947368421052631578947368421,5271,29.72237510866411053655222521936015287435,9682.7,81.03548457,17730.15,148.385398365
"American Shad",93.63024939,0,,,,,,,,,3,.0001818
"Rainbow Seaperch",519.850572463,.082675952491,576.057231,.09982073112,0,0,0,0
"Red Irish Lord",,,,,,,,,72,.0545601069444444444444444444444444444447,154,.1110074027777777777777777777777777777782
"Redbanded Rockfish",,,,,156.9285714,0
"Redstripe Rockfish",,,,,,,,,8,.00306241619433198380566801619433198380567,22,.00917525506072874493927125506072874493928
"Redtail Surfperch",128.65098901,.051962857076,0,0,,,48.697887089,.029558010336,2,.00136315789473684210526315789473684210526,10,.006815789473684210526315789473684210526306
"Righteye Flounder Family",,,,,,,4.748240978,0
"Rock Greenling",59.11313122,0,,,,,5.240857045,0,,,34,.0302198181818181818181818181818181818182
"Rock Sole",3.43293518,.002847870073,,,292.262992414,.288318917853,377.785720834,.349189393819,8,.007215342465753424657534246575342465753418,13,.0117249315068493150684931506849315068493
"Rock Wrasse",366.40142996,.08258071165,,,10.17954618,0,65.651464711,.015685178197
"Rockfish Genus",1505.549194378,0,0,0,812273.981396821,0,240172.113688721,0,8,,382,,89.34,.1216371854712,179.9424,.244993139500032
"Rosethorn Rockfish",,,,,,,,,167,.0514558773755656108597285067873303167422,165,.0506585419306184012066365007541478129715
"Rosy Rockfish",,,,,12252.52942341,2.017704352708,3381.165199948,.63168878048,425,.1135443969981238273921200750469043151972,64,.0193406998123827392120075046904315196999
"Round Stingray",117.57562001,0,559.6058577,0,,,10.06784654,0
"Rubberlip Seaperch",236.73203323,.14408238001,434.1785808,.2573231943,,,405.596289058,.290057368792
"Sablefish",,,,,0,0,25.998146226,0,278,.6465051859728506787330316742081447963803,1225,3.33724187164404223227752639517345399699
"Salema",203.57685303,0,,,,,0,0
"Salmon Shark",,,,,,,,,,,6,.06
"Sand Sole",37.45093904,.015045738224,,,14.181955454,.006820130204,108.146196777,.053382625877,9,.004578771428571428571428571428571428571429,370,.1975151428571428571428571428571428571428
"Sandbass Genus",73.49256244,0,0,0,3679.47800527,0,376.372944234,0
"Sanddab Genus",34.87508068,0,,,44555.453972274,0,19224.55386491,0
"Sarcastic Fringehead",0,0,,,,,5.513049007,0
"Sargo",1596.46175061,.77089301158,,,34.8357423,.02204808054,350.369322825,.232404417849
"Sculpin Family",0,0,,,0,0,79.077332206,0,3,,43
"Sea Chub Family",,,,,,,103.24965996,0
"Senorita",145.31037377,0,,,17.86236967,0,0,0
"Seven Gill Shark",29.8464856,0,,,320.44509336,0,257.565715327,0
"Sharpnose Seaperch",141.51158438,.026179008197,0,0,93.88187543,.017668596724
"Shiner Perch",13011.979531388,.367520106215,455.546664,.01489015644,,,3694.797273336,.114258127178
"Shortfin Corvina",0,0,648.2635061,0,,,129.65559605,0
"Shortspine Thornyhead",,,,,,,,,,,4,.006912
"Shovelnose Guitarfish",73.10386723,0,0,0,0,0,139.379372603,0
"Silver Surfperch",1402.311611744,.071801066229,0,0,,,410.52594038,.02136129548,,,11,.0033
"Silvergray Rockfish",,,,,,,,,179,.2301282645664901031502648452746027320878,96,.1274541176470588235294117647058823529411
"Silverside Family",68623.66390976,0,29655.790499,0,0,0,8314.479005266,0
"Skate And Ray Order",42.59878899,0,0,0,0,0,53.569830801,0
"Skate Family",,,,,,,0,0,0,,11
"Smelt Family",,,,,0,0,599.08855353,0
"Smoothhound Genus",0,0,0,0,0,0,29.59982631,0
"Soupfin Shark",126.2626776,0,,,1032.92107609,0,259.058284193,0,,,2,.00565
"Speckled Rockfish",,,,,4118.604577681,1.34946587003,411.48797186,.154790155655
"Speckled Sanddab",,,,,35.16666667,0,40.39195854,0
"Specklefin Midshipman",0,0,,,,,0,0
"Spiny Dogfish Shark",8.422788012,.037656322087,8.5795987,.03835738613,267.035647084,1.1703368948,245.57888276,.77948492805,0,0,2,.005694398
"Spotfin Croaker",909.24388782,.7585769148,3043.0021,2.6215527999,,,111.87104409,.064633239607
"Spotfin Surfperch",,,,,,,10.28096341,0
"Spotted Ratfish",,,,,,,,,3,.0024,15,.012
"Spotted Sandbass",0,0,961.8951924,.7379408088,421.31726309,.33382446001,990.027193314,.740249931568
"Squarespot Rockfish",,,,,8398.323558062,1.06496048714,590.836845607,.087851414364
"Starry Flounder",10.617966818,.011270051266,,,53.3439215,.04740023118,162.57126573,.22703339898,13,.0197236,0,0
"Starry Rockfish",,,,,25245.835790233,9.919382535811,15779.349069857,6.940210888067
"Stingray Family",0,0,,,,,0,0
"Stingray Genus",,,,,,,0,0
"Striped Bass",1296.53968719,1.84060586607,1402.5587955,2.9871331658,4407.10796194,6.1977842039,2292.561721958,3.52466083174
"Striped Kelpfish",55.67847614,0,,,,,0,0
"Striped Mullet",181.2870574,0
"Striped Seaperch",856.16971645,.378570820295,2318.7011723,.83930598402,,,56.90599077,.031825877513,2,.0011488,37,.0212528
"Surfperch Family",5265.242655325,0,4815.4077471,0,1479.04578399,0,1140.588919992,0,,,,,,,21.57,.0081189876888
"Swell Shark",,,,,,,0,0
"Swordspine Rockfish",,,,,82.32737208,.009888600609
"Thornback",221.70702208,0,,,,,0,0
"Threadfin Bass",,,,,0,0
"Thresher Shark",,,,,,,,,,,0,0
"Tiger Rockfish",,,,,126.29886282,.15852617452,271.670586387,.35919063125,331,.4341564079288091785638078905107629834448,682,.9040027303211118528791760487108259142547,22.5935,.0267045915,173.5973,.2048331339
"Topsmelt",1235.92129424,0,,,,,90.970978433,0,1,.0000909,8,.0007272
"Treefish",,,,,5395.315925673,2.383553558243,2473.355077289,1.255955466395
"Unidentified (Sharks)",,,,,,,,,,,1,,55.8002,.070613242501152,116.3148,.147192396781248
"Unidentified Fish",2851.72412073,0,,,10925.478786252,0,722.236029623,0,,,50,,4075.12,8.8478931272816,1251.05,2.716277483089
"Unidentified Inshore Sharks",0,0,,,19.10031658,0,118.989427903,0
"Unidentified Offshore Sharks",,,,,0,0,6.795504339,0
"Vermilion Rockfish",2.024499796,.000986322085,,,114047.577038601,95.336658176161,82581.128826193,102.008421795352,1163,2.58957285933584933260757171810262215971,2585,6.29970439850361170605619668941117548633,41.2822,.08343958264,176.4628,.35669838812
"Walleye Surfperch",6309.534748888,.673158183939,440.0391638,.05489836277,,,662.23328961,.072830808812
"White Croaker",10641.328021673,1.334147339935,1119.211715,.1698198044,133.25441169,.017058292466,6277.421106378,.942042487254
"White Seabass",0,0,,,2502.441228981,21.75894210992,740.85954776,7.52351818766
