"comm_name_orig","comm_name","sci_name","level","category","type","class","order","family","genus","species"
"Deepwater Serrano","Deepwater serrano","Serranus aequidens","species",NA,"fish","Actinopteri","Perciformes/Serranoidei","Serranidae","Serranus","aequidens"
"Pacific Barracuda","Pacific barracuda","Sphyraena argentea","species",NA,"fish","Actinopteri","Carangaria/misc","Sphyraenidae","Sphyraena","argentea"
"Smooth Hammerhead Shark","Smooth hammerhead shark","Sphyrna zygaena","species","Sharks and rays","fish","Elasmobranchii","Carcharhiniformes","Sphyrnidae","Sphyrna","zygaena"
"Night Smelt","Night smelt","Spirinchus starksi","species","Coastal pelagics","fish","Actinopteri","Osmeriformes","Osmeridae","Spirinchus","starksi"
"Spiny Dogfish Shark","Spiny dogfish shark","Squalus acanthias","species","Sharks and rays","fish","Elasmobranchii","Squaliformes","Squalidae","Squalus","acanthias"
"Pacific Angel Shark","Pacific angel shark","Squatina californica","species","Sharks and rays","fish","Elasmobranchii","Squatiniformes","Squatinidae","Squatina","californica"
"Giant Seabass","Giant sea bass","Stereolepis gigas","species",NA,"fish","Actinopteri","Acropomatiformes","Polyprionidae","Stereolepis","gigas"
"California Needlefish","California needlefish","Strongylura exilis","species",NA,"fish","Actinopteri","Beloniformes","Belonidae","Strongylura","exilis"
"Bay Pipefish","Bay pipefish","Syngnathus leptorhynchus","species",NA,"fish","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","leptorhynchus"
"California Lizardfish","California lizardfish","Synodus lucioceps","species",NA,"fish","Actinopteri","Aulopiformes","Synodontidae","Synodus","lucioceps"
"Pacific Electric Ray","Pacific electric ray","Tetronarce californica","species","Sharks and rays","fish","Elasmobranchii","Torpediniformes","Torpedinidae","Tetronarce","californica"
"Eulachon","Eulachon","Thaleichthys pacificus","species",NA,"fish","Actinopteri","Osmeriformes","Osmeridae","Thaleichthys","pacificus"
"Albacore","Albacore tuna","Thunnus alalunga","species","Tunas + large pelagics","fish","Actinopteri","Scombriformes","Scombridae","Thunnus","alalunga"
"Bluefin Tuna","Bluefin tuna","Thunnus thynnus","species","Tunas + large pelagics","fish","Actinopteri","Scombriformes","Scombridae","Thunnus","thynnus"
"Jack Mackerel","Jack mackerel","Trachurus symmetricus","species","Coastal pelagics","fish","Actinopteri","Carangiformes","Carangidae","Trachurus","symmetricus"
"Leopard Shark","Leopard shark","Triakis semifasciata","species","Sharks and rays","fish","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis","semifasciata"
"Chameleon Goby","Chameleon goby","Tridentiger trigonocephalus","species",NA,"fish","Actinopteri","Gobiiformes","Gobiidae","Tridentiger","trigonocephalus"
"Scissortail Sculpin","Scissortail sculpin","Triglops forficatus","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Cottidae","Triglops","forficatus"
"Yellowfin Croaker","Yellowfin croaker","Umbrina roncador","species",NA,"fish","Actinopteri","Eupercaria/misc","Sciaenidae","Umbrina","roncador"
"Round Stingray","Round stingray","Urobatis halleri","species","Sharks and rays","fish","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis","halleri"
"Black Prickleback","Black prickleback","Xiphister atropurpureus","species",NA,"fish","Actinopteri","Perciformes/Zoarcoidei","Stichaeidae","Xiphister","atropurpureus"
"Rock Prickleback","Rock prickleback","Xiphister mucosus","species",NA,"fish","Actinopteri","Perciformes/Zoarcoidei","Stichaeidae","Xiphister","mucosus"
"Fantail Sole","Fantail sole","Xystreurys liolepis","species","Flatfish","fish","Actinopteri","Pleuronectiformes","Paralichthyidae","Xystreurys","liolepis"
"Pink Seaperch","Pink seaperch","Zalembius rosaceus","species",NA,"fish","Actinopteri","Ovalentaria/misc","Embiotocidae","Zalembius","rosaceus"
"Shortspine Combfish","Shortspine combfish","Zaniolepis frenata","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Zaniolepididae","Zaniolepis","frenata"
"Longspine Combfish","Longspine combfish","Zaniolepis latipinnis","species",NA,"fish","Actinopteri","Perciformes/Cottoidei","Zaniolepididae","Zaniolepis","latipinnis"
"Prowfish","Prowfish","Zaprora silenus","species",NA,"fish","Actinopteri","Perciformes/Zoarcoidei","Zaproridae","Zaprora","silenus"
"Banded Guitarfish","Banded guitarfish","Zapteryx exasperata","species",NA,"fish","Elasmobranchii","Rhinopristiformes","Trygonorrhinidae","Zapteryx","exasperata"
