calcom_code,description,port_complex, INPFC,,,
703,LANCASTER,OLA,CON,,,
704,FOUNTAIN VALLEY,OLA,CON,,,
705,GRANADA HILLS,OLA,CON,,,
706,RANCHO PALOS VERDES,OLA,CON,,,
707,WESTMINISTER,OLA,CON,,,
708,COVINA,OLA,CON,,,
709,EL SEGUNDO,OLA,CON,,,
710,HAWAIIAN GARDENS,OLA,CON,,,
711,CARSON,OLA,CON,,,
712,MISSION VIEJO,OLA,CON,,,
721,ANAHEIM,OLA,CON,,,
724,BELL GARDENS,OLA,CON,,,
726,ORANGE,OLA,CON,,,
727,WHITTIER,OLA,CON,,,
728,NORWALK,OLA,CON,,,
729,MALIBU,OLA,CON,,,
730,TORRANCE,OLA,CON,,,
733,CATALINA ISLAND,OLA,CON,,,
734,SAN CLEMENTE ISLAND,OLA,CON,,,
736,LOS ALAMITOS,OLA,CON,,,
738,PACIFIC PALISADES,OLA,CON,,,
739,SUNSET BEACH,OLA,CON,,,
741,AVALON,OLA,CON,,,
742,REDONDO BEACH,OLA,CON,,,
744,LOS ANGELES,OLA,CON,,,
747,SANTA MONICA,OLA,CON,,,
749,LAGUNA,OLA,CON,,,
750,WEST LOS ANGELES,OLA,CON,,,
751,TOPANGA CANYON,OLA,CON,,,
752,OCEAN PARK,OLA,CON,,,
753,VENICE,OLA,CON,,,
754,ELSINORE,OLA,CON,,,
755,NORCO,OLA,CON,,,
756,HERMOSA BEACH,OLA,CON,,,
757,POINT DUME,OLA,CON,,,
759,COSTA MESA,OLA,CON,,,
760,SEAL BEACH,OLA,CON,,,
762,MANHATTAN BEACH,OLA,CON,,,
763,ALHAMBRA,OLA,CON,,,
764,BALBOA,OLA,CON,,,
765,CORONA DEL MAR,OLA,CON,,,
766,SAN CLENENTE,OLA,CON,,,
768,HUNTINGTON BEACH,OLA,CON,,,
769,RIVERSIDE,OLA,CON,,,
771,SANTA ANA,OLA,CON,,,
772,CAPISTRANO,OLA,CON,,,
773,GARDENA,OLA,CON,,,
774,INGLEWOOD,OLA,CON,,,
775,BEAUMONT,OLA,CON,,,
776,MARINA DEL REY,OLA,CON,,,
777,LYNWOOD,OLA,CON,,,
778,PARAMOUNT,OLA,CON,,,
779,HARBOR CITY,OLA,CON,,,
780,FULLERTON,OLA,CON,,,
781,WALNUT,OLA,CON,,,
782,VICTORVILLE,OCA,UNK,,,
783,BISHOP,OCA,UNK,,,
784,SAN BERNARDINO,OLA,CON,,,
785,VERNON,OLA,CON,,,
787,CAMARILLO,OSB,CON,,,
788,NEWBERRY SPRINGS,OCA,UNK,,,
789,UPLAND,OLA,CON,,,
790,IRVINE,OLA,CON,,,
791,YUCCA VALLEY,OLA,CON,,,
792,BLOOMINGTON,OLA,CON,,,
794,LA CANADA,OLA,CON,,,
796,PASADENA,OLA,CON,,,
799,LAKE CROWLEY,OCA,UNK,,,
801,THOUSAND OAKS,OSB,CON,,,
802,NEWHALL,OLA,CON,,,
803,RESEDA,OLA,CON,,,
804,ONTARIO,OLA,CON,,,
805,CHATSWORTH,OLA,CON,,,
852,POWAY,OSD,CON,,,
853,EARP,OCA,UNK,,,
854,HEMET,OCA,UNK,,,
855,THERMAL,OCA,UNK,,,
856,PALM SPRINGS,OCA,UNK,,,
857,TECOPA,OCA,UNK,,,
858,PALO VERDE,OCA,UNK,,,
859,VALLEY CENTER,OSD,CON,,,
860,SANTEE,OSD,CON,,,
861,FALLBROOK,OSD,CON,,,
862,SAN MARCOS,OSD,CON,,,
863,NORTH SHORE,OSD,CON,,,
864,BONITA,OSD,CON,,,
865,SPRING VALLEY,OSD,CON,,,
866,IMPERIAL,OCA,UNK,,,
867,LEUCADIA,OSD,CON,,,
868,IMPERIAL BEACH,OSD,CON,,,
869,MISSION BAY,OSD,CON,,,
870,SAN YSIDRO,OSD,CON,,,
872,WINTERHAVEN,OCA,UNK,,,
873,SALTON SEA,OCA,UNK,,,
874,PALM CITY,OCA,UNK,,,
875,NILAND,OCA,UNK,,,
877,LEMON GROVE,OSD,CON,,,
878,EL CENTRO,OCA,UNK,,,
879,EL CAJON,OSD,CON,,,
881,POINT LOMA,OSD,CON,,,
882,NATIONAL CITY,OSD,CON,,,
884,CORONADO,OSD,CON,,,
885,OCEAN BEACH,OSD,CON,,,
886,MISSION BEACH,OSD,CON,,,
888,LA JOLLA,OSD,CON,,,
889,CHULA VISTA,OSD,CON,,,
890,DEL MAR,OSD,CON,,,
891,CARLSBAD,OSD,CON,,,
893,CARDIFF,OSD,CON,,,
894,ENCINITAS,OSD,CON,,,
895,SOLANA BEACH,OSD,CON,,,
896,OTHER CALIFORNIA PORTS,OCA,UNK,,,
897,VISTA,OSD,CON,,,
898,LA MESA,OSD,CON,,,
899,ESCONDIDO,OSD,CON,,,
