"source","table","season","year","region_type","region","length_class_system","length_class_group","length_class","length_class_floor","nvessels"
"FB 59","Table 19","1942-43",1942,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 59","Table 19","1942-43",1942,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 59","Table 19","1942-43",1942,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,5
"FB 59","Table 19","1942-43",1942,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,25
"FB 59","Table 19","1942-43",1942,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,54
"FB 59","Table 19","1942-43",1942,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,3
"FB 59","Table 19","1942-43",1942,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,80
"FB 59","Table 19","1942-43",1942,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,135
"FB 59","Table 19","1942-43",1942,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,5
"FB 59","Table 19","1942-43",1942,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 59","Table 19","1942-43",1942,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 59","Table 19","1942-43",1942,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,50
"FB 59","Table 19","1942-43",1942,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,127
"FB 59","Table 19","1942-43",1942,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,72
"FB 59","Table 19","1942-43",1942,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,27
"FB 59","Table 19","1942-43",1942,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,32
"FB 59","Table 19","1942-43",1942,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,26
"FB 59","Table 19","1942-43",1942,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,325
"FB 59","Table 19","1942-43",1942,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,52
"FB 59","Table 19","1942-43",1942,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,17
"FB 59","Table 19","1942-43",1942,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,1
"FB 59","Table 19","1942-43",1942,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,23
"FB 59","Table 19","1942-43",1942,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,85
"FB 59","Table 19","1942-43",1942,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,25
"FB 59","Table 19","1942-43",1942,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,1
"FB 59","Table 19","1942-43",1942,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 63","Table 25","1943-44",1943,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,23
"FB 63","Table 25","1943-44",1943,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,210
"FB 63","Table 25","1943-44",1943,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,53
"FB 63","Table 25","1943-44",1943,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 63","Table 25","1943-44",1943,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 63","Table 25","1943-44",1943,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,382
"FB 63","Table 25","1943-44",1943,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,950
"FB 63","Table 25","1943-44",1943,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,238
"FB 63","Table 25","1943-44",1943,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,94
"FB 63","Table 25","1943-44",1943,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,14
"FB 63","Table 25","1943-44",1943,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,119
"FB 63","Table 25","1943-44",1943,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,187
"FB 63","Table 25","1943-44",1943,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,23
"FB 63","Table 25","1943-44",1943,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,30
"FB 63","Table 25","1943-44",1943,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 63","Table 25","1943-44",1943,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 63","Table 25","1943-44",1943,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,5
"FB 63","Table 25","1943-44",1943,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,15
"FB 63","Table 25","1943-44",1943,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,51
"FB 63","Table 25","1943-44",1943,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,4
"FB 63","Table 25","1943-44",1943,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,108
"FB 63","Table 25","1943-44",1943,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,140
"FB 63","Table 25","1943-44",1943,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,4
"FB 63","Table 25","1943-44",1943,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 63","Table 25","1943-44",1943,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 63","Table 25","1943-44",1943,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,81
"FB 63","Table 25","1943-44",1943,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,178
"FB 63","Table 25","1943-44",1943,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,78
"FB 63","Table 25","1943-44",1943,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,40
"FB 63","Table 25","1943-44",1943,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,27
"FB 63","Table 25","1943-44",1943,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,43
"FB 63","Table 25","1943-44",1943,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,399
"FB 63","Table 25","1943-44",1943,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,77
"FB 63","Table 25","1943-44",1943,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,22
"FB 63","Table 25","1943-44",1943,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,2
"FB 63","Table 25","1943-44",1943,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,31
"FB 63","Table 25","1943-44",1943,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,73
"FB 63","Table 25","1943-44",1943,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,25
"FB 63","Table 25","1943-44",1943,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 63","Table 25","1943-44",1943,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 63","Table 26","1944-45",1944,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,30
"FB 63","Table 26","1944-45",1944,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,225
"FB 63","Table 26","1944-45",1944,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,55
"FB 63","Table 26","1944-45",1944,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 63","Table 26","1944-45",1944,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 63","Table 26","1944-45",1944,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,264
"FB 63","Table 26","1944-45",1944,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,815
"FB 63","Table 26","1944-45",1944,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,266
"FB 63","Table 26","1944-45",1944,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,107
"FB 63","Table 26","1944-45",1944,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,15
"FB 63","Table 26","1944-45",1944,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,98
"FB 63","Table 26","1944-45",1944,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,203
"FB 63","Table 26","1944-45",1944,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,21
"FB 63","Table 26","1944-45",1944,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,56
"FB 63","Table 26","1944-45",1944,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,1
"FB 63","Table 26","1944-45",1944,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 63","Table 26","1944-45",1944,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,6
"FB 63","Table 26","1944-45",1944,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,40
"FB 63","Table 26","1944-45",1944,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,55
"FB 63","Table 26","1944-45",1944,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,5
"FB 63","Table 26","1944-45",1944,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,129
"FB 63","Table 26","1944-45",1944,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,150
"FB 63","Table 26","1944-45",1944,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,4
"FB 63","Table 26","1944-45",1944,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 63","Table 26","1944-45",1944,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 63","Table 26","1944-45",1944,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,80
"FB 63","Table 26","1944-45",1944,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,212
"FB 63","Table 26","1944-45",1944,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,89
"FB 63","Table 26","1944-45",1944,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,37
"FB 63","Table 26","1944-45",1944,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,37
"FB 63","Table 26","1944-45",1944,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,68
"FB 63","Table 26","1944-45",1944,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,471
"FB 63","Table 26","1944-45",1944,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,92
"FB 63","Table 26","1944-45",1944,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,22
"FB 63","Table 26","1944-45",1944,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,2
"FB 63","Table 26","1944-45",1944,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,38
"FB 63","Table 26","1944-45",1944,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,63
"FB 63","Table 26","1944-45",1944,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,26
"FB 63","Table 26","1944-45",1944,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 63","Table 26","1944-45",1944,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 67","Table 25","1945-46",1945,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,43
"FB 67","Table 25","1945-46",1945,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,244
"FB 67","Table 25","1945-46",1945,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,71
"FB 67","Table 25","1945-46",1945,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,7
"FB 67","Table 25","1945-46",1945,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 67","Table 25","1945-46",1945,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,298
"FB 67","Table 25","1945-46",1945,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,879
"FB 67","Table 25","1945-46",1945,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,287
"FB 67","Table 25","1945-46",1945,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,107
"FB 67","Table 25","1945-46",1945,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,32
"FB 67","Table 25","1945-46",1945,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,89
"FB 67","Table 25","1945-46",1945,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,199
"FB 67","Table 25","1945-46",1945,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,25
"FB 67","Table 25","1945-46",1945,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,61
"FB 67","Table 25","1945-46",1945,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,4
"FB 67","Table 25","1945-46",1945,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 67","Table 25","1945-46",1945,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,19
"FB 67","Table 25","1945-46",1945,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,44
"FB 67","Table 25","1945-46",1945,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,44
"FB 67","Table 25","1945-46",1945,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,6
"FB 67","Table 25","1945-46",1945,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,122
"FB 67","Table 25","1945-46",1945,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,192
"FB 67","Table 25","1945-46",1945,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,5
"FB 67","Table 25","1945-46",1945,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 67","Table 25","1945-46",1945,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 67","Table 25","1945-46",1945,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,69
"FB 67","Table 25","1945-46",1945,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,229
"FB 67","Table 25","1945-46",1945,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,103
"FB 67","Table 25","1945-46",1945,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,42
"FB 67","Table 25","1945-46",1945,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,54
"FB 67","Table 25","1945-46",1945,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,91
"FB 67","Table 25","1945-46",1945,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,505
"FB 67","Table 25","1945-46",1945,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,92
"FB 67","Table 25","1945-46",1945,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,24
"FB 67","Table 25","1945-46",1945,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,3
"FB 67","Table 25","1945-46",1945,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,37
"FB 67","Table 25","1945-46",1945,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,87
"FB 67","Table 25","1945-46",1945,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,30
"FB 67","Table 25","1945-46",1945,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,1
"FB 67","Table 25","1945-46",1945,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 67","Table 26","1946-47",1946,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,34
"FB 67","Table 26","1946-47",1946,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,272
"FB 67","Table 26","1946-47",1946,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,95
"FB 67","Table 26","1946-47",1946,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,15
"FB 67","Table 26","1946-47",1946,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,2
"FB 67","Table 26","1946-47",1946,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,361
"FB 67","Table 26","1946-47",1946,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,1059
"FB 67","Table 26","1946-47",1946,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,345
"FB 67","Table 26","1946-47",1946,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,124
"FB 67","Table 26","1946-47",1946,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,39
"FB 67","Table 26","1946-47",1946,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,74
"FB 67","Table 26","1946-47",1946,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,207
"FB 67","Table 26","1946-47",1946,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,34
"FB 67","Table 26","1946-47",1946,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,63
"FB 67","Table 26","1946-47",1946,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,6
"FB 67","Table 26","1946-47",1946,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 67","Table 26","1946-47",1946,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,36
"FB 67","Table 26","1946-47",1946,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,77
"FB 67","Table 26","1946-47",1946,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,44
"FB 67","Table 26","1946-47",1946,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,13
"FB 67","Table 26","1946-47",1946,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,137
"FB 67","Table 26","1946-47",1946,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,228
"FB 67","Table 26","1946-47",1946,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,10
"FB 67","Table 26","1946-47",1946,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 67","Table 26","1946-47",1946,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,1
"FB 67","Table 26","1946-47",1946,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,100
"FB 67","Table 26","1946-47",1946,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,288
"FB 67","Table 26","1946-47",1946,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,123
"FB 67","Table 26","1946-47",1946,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,49
"FB 67","Table 26","1946-47",1946,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,87
"FB 67","Table 26","1946-47",1946,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,83
"FB 67","Table 26","1946-47",1946,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,528
"FB 67","Table 26","1946-47",1946,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,108
"FB 67","Table 26","1946-47",1946,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,24
"FB 67","Table 26","1946-47",1946,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","85+","85+",85,6
"FB 67","Table 26","1946-47",1946,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,43
"FB 67","Table 26","1946-47",1946,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,108
"FB 67","Table 26","1946-47",1946,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,33
"FB 67","Table 26","1946-47",1946,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 67","Table 26","1946-47",1946,"port complex","Santa Barbara","1934-1947: 15-ft bins (85+ max)","85+","85+",85,1
"FB 74","Table 31","1947-48",1947,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,57
"FB 74","Table 31","1947-48",1947,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,294
"FB 74","Table 31","1947-48",1947,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,89
"FB 74","Table 31","1947-48",1947,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,6
"FB 74","Table 31","1947-48",1947,"port complex","Eureka","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 74","Table 31","1947-48",1947,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,345
"FB 74","Table 31","1947-48",1947,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,1083
"FB 74","Table 31","1947-48",1947,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,385
"FB 74","Table 31","1947-48",1947,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,101
"FB 74","Table 31","1947-48",1947,"port complex","Los Angeles","1934-1947: 15-ft bins (85+ max)","85+","85+",85,55
"FB 74","Table 31","1947-48",1947,"port complex","Mexico","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,0
"FB 74","Table 31","1947-48",1947,"port complex","Mexico","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,0
"FB 74","Table 31","1947-48",1947,"port complex","Mexico","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,2
"FB 74","Table 31","1947-48",1947,"port complex","Mexico","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 74","Table 31","1947-48",1947,"port complex","Mexico","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 74","Table 31","1947-48",1947,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,66
"FB 74","Table 31","1947-48",1947,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,227
"FB 74","Table 31","1947-48",1947,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,47
"FB 74","Table 31","1947-48",1947,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,42
"FB 74","Table 31","1947-48",1947,"port complex","Monterey","1934-1947: 15-ft bins (85+ max)","85+","85+",85,13
"FB 74","Table 31","1947-48",1947,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,4
"FB 74","Table 31","1947-48",1947,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,47
"FB 74","Table 31","1947-48",1947,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,122
"FB 74","Table 31","1947-48",1947,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,55
"FB 74","Table 31","1947-48",1947,"port complex","OR, WA, AK","1934-1947: 15-ft bins (85+ max)","85+","85+",85,20
"FB 74","Table 31","1947-48",1947,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,114
"FB 74","Table 31","1947-48",1947,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,253
"FB 74","Table 31","1947-48",1947,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,7
"FB 74","Table 31","1947-48",1947,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,0
"FB 74","Table 31","1947-48",1947,"port complex","Sacramento","1934-1947: 15-ft bins (85+ max)","85+","85+",85,0
"FB 74","Table 31","1947-48",1947,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,100
"FB 74","Table 31","1947-48",1947,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,327
"FB 74","Table 31","1947-48",1947,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,137
"FB 74","Table 31","1947-48",1947,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,47
"FB 74","Table 31","1947-48",1947,"port complex","San Diego","1934-1947: 15-ft bins (85+ max)","85+","85+",85,113
"FB 74","Table 31","1947-48",1947,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","0-24","0-24",0,56
"FB 74","Table 31","1947-48",1947,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","25-39","25-39",25,510
"FB 74","Table 31","1947-48",1947,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","40-64","40-64",40,100
"FB 74","Table 31","1947-48",1947,"port complex","San Francisco","1934-1947: 15-ft bins (85+ max)","65-84","65-84",65,23
