"source","table","season","year","region_type","region","nfishers","nfishers_nr","nfishers_r","region_group"
"FB 138","Table 4","1966-67",1966,"area of residence","Monterey",686,NA,NA,"Monterey"
"FB 138","Table 4","1966-67",1966,"area of residence","Sacramento",437,NA,NA,"Sacramento Delta"
"FB 138","Table 4","1966-67",1966,"area of residence","San Diego",1611,NA,NA,"San Diego"
"FB 138","Table 4","1966-67",1966,"area of residence","San Francisco",1417,NA,NA,"San Francisco"
"FB 138","Table 4","1966-67",1966,"area of residence","Santa Barbara",944,NA,NA,"Santa Barbara"
"FB 144","Table 4","1967-68",1967,"area of residence","AK/WA/OR",450,NA,NA,"AK/WA/OR/Other"
"FB 144","Table 4","1967-68",1967,"area of residence","Other",27,NA,NA,"AK/WA/OR/Other"
"FB 144","Table 4","1967-68",1967,"area of residence","Eureka",2016,NA,NA,"Eureka"
"FB 144","Table 4","1967-68",1967,"area of residence","Los Angeles",1912,NA,NA,"Los Angeles"
"FB 144","Table 4","1967-68",1967,"area of residence","Mexico",12,NA,NA,"Mexico"
"FB 144","Table 4","1967-68",1967,"area of residence","Monterey",757,NA,NA,"Monterey"
"FB 144","Table 4","1967-68",1967,"area of residence","Sacramento",454,NA,NA,"Sacramento Delta"
"FB 144","Table 4","1967-68",1967,"area of residence","San Diego",1600,NA,NA,"San Diego"
"FB 144","Table 4","1967-68",1967,"area of residence","San Francisco",1648,NA,NA,"San Francisco"
"FB 144","Table 4","1967-68",1967,"area of residence","Santa Barbara",947,NA,NA,"Santa Barbara"
"FB 149","Table 4","1968-69",1968,"area of residence","AK/WA/OR",505,NA,NA,"AK/WA/OR/Other"
"FB 149","Table 4","1968-69",1968,"area of residence","Other",42,NA,NA,"AK/WA/OR/Other"
"FB 149","Table 4","1968-69",1968,"area of residence","Eureka",2101,NA,NA,"Eureka"
"FB 149","Table 4","1968-69",1968,"area of residence","Los Angeles",1969,NA,NA,"Los Angeles"
"FB 149","Table 4","1968-69",1968,"area of residence","Mexico",6,NA,NA,"Mexico"
"FB 149","Table 4","1968-69",1968,"area of residence","Monterey",743,NA,NA,"Monterey"
"FB 149","Table 4","1968-69",1968,"area of residence","Sacramento",477,NA,NA,"Sacramento Delta"
"FB 149","Table 4","1968-69",1968,"area of residence","San Diego",1613,NA,NA,"San Diego"
"FB 149","Table 4","1968-69",1968,"area of residence","San Francisco",1633,NA,NA,"San Francisco"
"FB 149","Table 4","1968-69",1968,"area of residence","Santa Barbara",915,NA,NA,"Santa Barbara"
"FB 153","Table 4","1969-70",1969,"area of residence","AK/WA/OR",414,NA,NA,"AK/WA/OR/Other"
"FB 153","Table 4","1969-70",1969,"area of residence","Other",41,NA,NA,"AK/WA/OR/Other"
"FB 153","Table 4","1969-70",1969,"area of residence","Eureka",1977,NA,NA,"Eureka"
"FB 153","Table 4","1969-70",1969,"area of residence","Los Angeles",1912,NA,NA,"Los Angeles"
"FB 153","Table 4","1969-70",1969,"area of residence","Mexico",12,NA,NA,"Mexico"
"FB 153","Table 4","1969-70",1969,"area of residence","Monterey",910,NA,NA,"Monterey"
"FB 153","Table 4","1969-70",1969,"area of residence","Sacramento",508,NA,NA,"Sacramento Delta"
"FB 153","Table 4","1969-70",1969,"area of residence","San Diego",1452,NA,NA,"San Diego"
"FB 153","Table 4","1969-70",1969,"area of residence","San Francisco",1852,NA,NA,"San Francisco"
"FB 153","Table 4","1969-70",1969,"area of residence","Santa Barbara",911,NA,NA,"Santa Barbara"
"FB 154","Table 4","1970-71",1970,"area of residence","AK/WA/OR",627,NA,NA,"AK/WA/OR/Other"
"FB 154","Table 4","1970-71",1970,"area of residence","Other",40,NA,NA,"AK/WA/OR/Other"
"FB 154","Table 4","1970-71",1970,"area of residence","Eureka",1735,NA,NA,"Eureka"
"FB 154","Table 4","1970-71",1970,"area of residence","Los Angeles",1744,NA,NA,"Los Angeles"
"FB 154","Table 4","1970-71",1970,"area of residence","Mexico",19,NA,NA,"Mexico"
"FB 154","Table 4","1970-71",1970,"area of residence","Monterey",712,NA,NA,"Monterey"
"FB 154","Table 4","1970-71",1970,"area of residence","Sacramento",409,NA,NA,"Sacramento Delta"
"FB 154","Table 4","1970-71",1970,"area of residence","San Diego",1386,NA,NA,"San Diego"
"FB 154","Table 4","1970-71",1970,"area of residence","San Francisco",1546,NA,NA,"San Francisco"
"FB 154","Table 4","1970-71",1970,"area of residence","Santa Barbara",751,NA,NA,"Santa Barbara"
"FB 159","Table 4","1971-72",1971,"area of residence","AK/WA/OR",848,NA,NA,"AK/WA/OR/Other"
"FB 159","Table 4","1971-72",1971,"area of residence","Other",58,NA,NA,"AK/WA/OR/Other"
"FB 159","Table 4","1971-72",1971,"area of residence","Eureka",1846,NA,NA,"Eureka"
"FB 159","Table 4","1971-72",1971,"area of residence","Los Angeles",2028,NA,NA,"Los Angeles"
"FB 159","Table 4","1971-72",1971,"area of residence","Mexico",26,NA,NA,"Mexico"
"FB 159","Table 4","1971-72",1971,"area of residence","Monterey",686,NA,NA,"Monterey"
"FB 159","Table 4","1971-72",1971,"area of residence","Sacramento",455,NA,NA,"Sacramento Delta"
"FB 159","Table 4","1971-72",1971,"area of residence","San Diego",1652,NA,NA,"San Diego"
"FB 159","Table 4","1971-72",1971,"area of residence","San Francisco",1711,NA,NA,"San Francisco"
"FB 159","Table 4","1971-72",1971,"area of residence","Santa Barbara",871,NA,NA,"Santa Barbara"
"FB 161","Table 4","1972-73",1972,"area of residence","AK/WA/OR",524,NA,NA,"AK/WA/OR/Other"
"FB 161","Table 4","1972-73",1972,"area of residence","Other",58,NA,NA,"AK/WA/OR/Other"
"FB 161","Table 4","1972-73",1972,"area of residence","Eureka",1870,NA,NA,"Eureka"
"FB 161","Table 4","1972-73",1972,"area of residence","Los Angeles",2070,NA,NA,"Los Angeles"
"FB 161","Table 4","1972-73",1972,"area of residence","Mexico",39,NA,NA,"Mexico"
"FB 161","Table 4","1972-73",1972,"area of residence","Monterey",800,NA,NA,"Monterey"
"FB 161","Table 4","1972-73",1972,"area of residence","Sacramento",488,NA,NA,"Sacramento Delta"
"FB 161","Table 4","1972-73",1972,"area of residence","San Diego",1688,NA,NA,"San Diego"
"FB 161","Table 4","1972-73",1972,"area of residence","San Francisco",2035,NA,NA,"San Francisco"
"FB 161","Table 4","1972-73",1972,"area of residence","Santa Barbara",941,NA,NA,"Santa Barbara"
"FB 163","Table 4","1973-74",1973,"area of residence","AK/WA/OR",550,NA,NA,"AK/WA/OR/Other"
"FB 163","Table 4","1973-74",1973,"area of residence","Other",57,NA,NA,"AK/WA/OR/Other"
"FB 163","Table 4","1973-74",1973,"area of residence","Eureka",1993,NA,NA,"Eureka"
"FB 163","Table 4","1973-74",1973,"area of residence","Los Angeles",2499,NA,NA,"Los Angeles"
"FB 163","Table 4","1973-74",1973,"area of residence","Mexico",22,NA,NA,"Mexico"
"FB 163","Table 4","1973-74",1973,"area of residence","Monterey",1097,NA,NA,"Monterey"
"FB 163","Table 4","1973-74",1973,"area of residence","Sacramento",513,NA,NA,"Sacramento Delta"
"FB 163","Table 4","1973-74",1973,"area of residence","San Diego",1717,NA,NA,"San Diego"
"FB 163","Table 4","1973-74",1973,"area of residence","San Francisco",2318,NA,NA,"San Francisco"
"FB 163","Table 4","1973-74",1973,"area of residence","Santa Barbara",1387,NA,NA,"Santa Barbara"
"FB 166","Table 4","1974-75",1974,"area of residence","AK/WA/OR",733,NA,NA,"AK/WA/OR/Other"
"FB 166","Table 4","1974-75",1974,"area of residence","Other",59,NA,NA,"AK/WA/OR/Other"
"FB 166","Table 4","1974-75",1974,"area of residence","Eureka",2200,NA,NA,"Eureka"
"FB 166","Table 4","1974-75",1974,"area of residence","Los Angeles",2782,NA,NA,"Los Angeles"
"FB 166","Table 4","1974-75",1974,"area of residence","Mexico",48,NA,NA,"Mexico"
"FB 166","Table 4","1974-75",1974,"area of residence","Monterey",1351,NA,NA,"Monterey"
"FB 166","Table 4","1974-75",1974,"area of residence","Sacramento",711,NA,NA,"Sacramento Delta"
"FB 166","Table 4","1974-75",1974,"area of residence","San Diego",1920,NA,NA,"San Diego"
"FB 166","Table 4","1974-75",1974,"area of residence","San Francisco",3069,NA,NA,"San Francisco"
"FB 166","Table 4","1974-75",1974,"area of residence","Santa Barbara",1682,NA,NA,"Santa Barbara"
"FB 168","Table 4","1975-76",1975,"area of residence","AK/WA/OR",784,NA,NA,"AK/WA/OR/Other"
"FB 168","Table 4","1975-76",1975,"area of residence","Other",69,NA,NA,"AK/WA/OR/Other"
"FB 168","Table 4","1975-76",1975,"area of residence","Eureka",2261,NA,NA,"Eureka"
"FB 168","Table 4","1975-76",1975,"area of residence","Los Angeles",2477,NA,NA,"Los Angeles"
"FB 168","Table 4","1975-76",1975,"area of residence","Mexico",15,NA,NA,"Mexico"
"FB 168","Table 4","1975-76",1975,"area of residence","Monterey",1319,NA,NA,"Monterey"
"FB 168","Table 4","1975-76",1975,"area of residence","Sacramento",788,NA,NA,"Sacramento Delta"
"FB 168","Table 4","1975-76",1975,"area of residence","San Diego",1813,NA,NA,"San Diego"
"FB 168","Table 4","1975-76",1975,"area of residence","San Francisco",2821,NA,NA,"San Francisco"
"FB 168","Table 4","1975-76",1975,"area of residence","Santa Barbara",1612,NA,NA,"Santa Barbara"
"FB 170","Table 4","1976-77",1976,"area of residence","AK/WA/OR",965,NA,NA,"AK/WA/OR/Other"
"FB 170","Table 4","1976-77",1976,"area of residence","Other",88,NA,NA,"AK/WA/OR/Other"
"FB 170","Table 4","1976-77",1976,"area of residence","Eureka",2689,NA,NA,"Eureka"
"FB 170","Table 4","1976-77",1976,"area of residence","Los Angeles",2414,NA,NA,"Los Angeles"
"FB 170","Table 4","1976-77",1976,"area of residence","Mexico",56,NA,NA,"Mexico"
"FB 170","Table 4","1976-77",1976,"area of residence","Monterey",1450,NA,NA,"Monterey"
"FB 170","Table 4","1976-77",1976,"area of residence","Sacramento",940,NA,NA,"Sacramento Delta"
"FB 170","Table 4","1976-77",1976,"area of residence","San Diego",1728,NA,NA,"San Diego"
"FB 170","Table 4","1976-77",1976,"area of residence","San Francisco",2936,NA,NA,"San Francisco"
"FB 170","Table 4","1976-77",1976,"area of residence","Santa Barbara",1700,NA,NA,"Santa Barbara"
"FB 181","Table 3","1977-78",1977,"state","Statewide",17407,NA,NA,"Statewide"
"FB 181","Table 3","1978-79",1978,"state","Statewide",20298,NA,NA,"Statewide"
"FB 181","Table 3","1979-80",1979,"state","Statewide",19997,NA,NA,"Statewide"
"FB 181","Table 3","1980-81",1980,"state","Statewide",20363,NA,NA,"Statewide"
"FB 181","Table 3","1981-82",1981,"state","Statewide",18862,NA,NA,"Statewide"
"FB 181","Table 3","1982-83",1982,"state","Statewide",19176,NA,NA,"Statewide"
"FB 181","Table 3","1983-84",1983,"state","Statewide",15509,NA,NA,"Statewide"
"FB 181","Table 3","1984-85",1984,"state","Statewide",14457,NA,NA,"Statewide"
"FB 181","Table 3","1985-86",1985,"state","Statewide",14633,NA,NA,"Statewide"
"FB 181","Table 3","1986-87",1986,"state","Statewide",13013,NA,NA,"Statewide"
"FB 181","Table 3","1987-88",1987,"state","Statewide",14458,NA,NA,"Statewide"
"FB 181","Table 3","1988-89",1988,"state","Statewide",15277,NA,NA,"Statewide"
"FB 181","Table 3","1989-90",1989,"state","Statewide",15150,NA,NA,"Statewide"
"FB 181","Table 3","1990-91",1990,"state","Statewide",14565,NA,NA,"Statewide"
"FB 181","Table 3","1991-92",1991,"state","Statewide",14448,NA,NA,"Statewide"
"FB 181","Table 3","1992-93",1992,"state","Statewide",12249,NA,NA,"Statewide"
"FB 181","Table 3","1993-94",1993,"state","Statewide",11393,NA,NA,"Statewide"
"FB 181","Table 3","1994-95",1994,"state","Statewide",11309,NA,NA,"Statewide"
"FB 181","Table 3","1995-96",1995,"state","Statewide",11204,NA,NA,"Statewide"
"FB 181","Table 3","1996-97",1996,"state","Statewide",10796,NA,NA,"Statewide"
"FB 181","Table 3","1997-98",1997,"state","Statewide",9851,NA,NA,"Statewide"
"FB 181","Table 3","1998-99",1998,"state","Statewide",9480,NA,NA,"Statewide"
"FB 181","Table 3","1999-00",1999,"state","Statewide",9108,NA,NA,"Statewide"
"CDFW 2021","N/A","2000-1",2000,"state","Statewide",NA,1145,NA,"Statewide"
"CDFW 2021","N/A","2001-2",2001,"state","Statewide",NA,1055,NA,"Statewide"
"CDFW 2021","N/A","2002-3",2002,"state","Statewide",NA,961,NA,"Statewide"
"CDFW 2021","N/A","2003-4",2003,"state","Statewide",NA,931,NA,"Statewide"
"CDFW 2021","N/A","2004-5",2004,"state","Statewide",7184,859,6325,"Statewide"
"CDFW 2021","N/A","2005-6",2005,"state","Statewide",6730,771,5959,"Statewide"
"CDFW 2021","N/A","2006-7",2006,"state","Statewide",6360,677,5683,"Statewide"
"CDFW 2021","N/A","2007-8",2007,"state","Statewide",6465,684,5781,"Statewide"
"CDFW 2021","N/A","2008-9",2008,"state","Statewide",6012,664,5348,"Statewide"
"CDFW 2021","N/A","2009-10",2009,"state","Statewide",6149,682,5467,"Statewide"
"CDFW 2021","N/A","2010-11",2010,"state","Statewide",6298,728,5570,"Statewide"
"CDFW 2021","N/A","2011-12",2011,"state","Statewide",6691,918,5773,"Statewide"
"CDFW 2021","N/A","2012-13",2012,"state","Statewide",6830,889,5941,"Statewide"
"CDFW 2021","N/A","2013-14",2013,"state","Statewide",6769,868,5901,"Statewide"
"CDFW 2021","N/A","2014-15",2014,"state","Statewide",6767,933,5834,"Statewide"
"CDFW 2021","N/A","2015-16",2015,"state","Statewide",6450,907,5543,"Statewide"
"CDFW 2021","N/A","2016-17",2016,"state","Statewide",6832,1144,5688,"Statewide"
"CDFW 2021","N/A","2017-18",2017,"state","Statewide",6557,1145,5412,"Statewide"
"CDFW 2021","N/A","2018-19",2018,"state","Statewide",6330,831,5499,"Statewide"
"CDFW 2021","N/A","2019-20",2019,"state","Statewide",6399,841,5558,"Statewide"
"CDFW 2021","N/A","2020-21",2020,"state","Statewide",6541,644,5897,"Statewide"
