"tsn","level","sci_name","class","family","genus","infrakingdom","infraorder","infraphylum","kingdom","order","phylum","species","subfamily","subkingdom","suborder","subphylum","superclass","division","variety","subclass","subdivision","superphylum","subgenus","superorder","tribe","superfamily","infraclass","superdivision","subspecies"
"161260","Species","Uropterygius macrocephalus","Teleostei","Muraenidae","Uropterygius","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Uropterygius macrocephalus","Uropterygiinae","Bilateria","Muraenoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha",NA,NA,NA,NA,NA
"161324","Family","Congridae","Teleostei","Congridae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata",NA,NA,"Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha",NA,NA,NA,NA,NA
"161326","Species","Conger oceanicus","Teleostei","Congridae","Conger","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Conger oceanicus","Congrinae","Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha",NA,NA,NA,NA,NA
"161328","Species","Conger cinereus","Teleostei","Congridae","Conger","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Conger cinereus","Congrinae","Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha",NA,NA,NA,NA,NA
"161419","Family","Ophichthidae","Teleostei","Ophichthidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata",NA,NA,"Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha",NA,NA,NA,NA,NA
"161423","Species","Bascanichthys scuticaris","Teleostei","Ophichthidae","Bascanichthys","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Bascanichthys scuticaris","Ophichthinae","Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha","Bascanichthyini",NA,NA,NA,NA
"161449","Species","Myrichthys breviceps","Teleostei","Ophichthidae","Myrichthys","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Myrichthys breviceps","Ophichthinae","Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha","Ophichthini",NA,NA,NA,NA
"161450","Species","Myrichthys ocellatus","Teleostei","Ophichthidae","Myrichthys","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Myrichthys ocellatus","Ophichthinae","Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha","Ophichthini",NA,NA,NA,NA
"161453","Species","Myrophis punctatus","Teleostei","Ophichthidae","Myrophis","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Myrophis punctatus","Myrophinae","Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha","Myrophini",NA,NA,NA,NA
"161481","Species","Ophichthus puncticeps","Teleostei","Ophichthidae","Ophichthus","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Ophichthus puncticeps","Ophichthinae","Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha","Ophichthini",NA,NA,NA,NA
"161534","Species","Apterichtus ansp","Teleostei","Ophichthidae","Apterichtus","Deuterostomia",NA,"Gnathostomata","Animalia","Anguilliformes","Chordata","Apterichtus ansp","Ophichthinae","Bilateria","Congroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha","Sphagebranchini",NA,NA,NA,NA
"161690","Species","Notacanthus chemnitzii","Teleostei","Notacanthidae","Notacanthus","Deuterostomia",NA,"Gnathostomata","Animalia","Albuliformes","Chordata","Notacanthus chemnitzii",NA,"Bilateria","Notacanthoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Elopomorpha",NA,NA,NA,NA,NA
"161700","Family","Clupeidae","Teleostei","Clupeidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata",NA,NA,"Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161701","Genus","Alosa","Teleostei","Clupeidae","Alosa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata",NA,"Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161702","Species","Alosa sapidissima","Teleostei","Clupeidae","Alosa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Alosa sapidissima","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161703","Species","Alosa aestivalis","Teleostei","Clupeidae","Alosa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Alosa aestivalis","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161704","Species","Alosa mediocris","Teleostei","Clupeidae","Alosa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Alosa mediocris","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161705","Species","Alosa alabamae","Teleostei","Clupeidae","Alosa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Alosa alabamae","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161706","Species","Alosa pseudoharengus","Teleostei","Clupeidae","Alosa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Alosa pseudoharengus","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161707","Species","Alosa chrysochloris","Teleostei","Clupeidae","Alosa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Alosa chrysochloris","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161722","Species","Clupea harengus","Teleostei","Clupeidae","Clupea","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Clupea harengus","Clupeinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161729","Species","Sardinops sagax","Teleostei","Clupeidae","Sardinops","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Sardinops sagax","Clupeinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161731","Genus","Brevoortia","Teleostei","Clupeidae","Brevoortia","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata",NA,"Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161732","Species","Brevoortia tyrannus","Teleostei","Clupeidae","Brevoortia","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Brevoortia tyrannus","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161733","Species","Brevoortia gunteri","Teleostei","Clupeidae","Brevoortia","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Brevoortia gunteri","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161734","Species","Brevoortia patronus","Teleostei","Clupeidae","Brevoortia","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Brevoortia patronus","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161735","Species","Brevoortia smithi","Teleostei","Clupeidae","Brevoortia","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Brevoortia smithi","Alosinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161737","Species","Dorosoma cepedianum","Teleostei","Clupeidae","Dorosoma","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Dorosoma cepedianum","Dorosomatinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161738","Species","Dorosoma petenense","Teleostei","Clupeidae","Dorosoma","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Dorosoma petenense","Dorosomatinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161743","Species","Etrumeus teres","Teleostei","Clupeidae","Etrumeus","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Etrumeus teres","Dussumieriinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha","Dussumieriini",NA,NA,NA,NA
"161748","Species","Opisthonema oglinum","Teleostei","Clupeidae","Opisthonema","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Opisthonema oglinum","Clupeinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161753","Species","Harengula clupeola","Teleostei","Clupeidae","Harengula","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Harengula clupeola","Clupeinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161754","Species","Harengula humeralis","Teleostei","Clupeidae","Harengula","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Harengula humeralis","Clupeinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161755","Species","Harengula jaguana","Teleostei","Clupeidae","Harengula","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Harengula jaguana","Clupeinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161763","Species","Sardinella aurita","Teleostei","Clupeidae","Sardinella","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Sardinella aurita","Clupeinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161785","Species","Spratelloides delicatulus","Teleostei","Clupeidae","Spratelloides","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Spratelloides delicatulus","Dussumieriinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha","Spratelloidini",NA,NA,NA,NA
"161825","Species","Herklotsichthys quadrimaculatus","Teleostei","Clupeidae","Herklotsichthys","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Herklotsichthys quadrimaculatus","Clupeinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161828","Species","Engraulis mordax","Teleostei","Engraulidae","Engraulis","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Engraulis mordax","Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161830","Species","Engraulis eurystole","Teleostei","Engraulidae","Engraulis","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Engraulis eurystole","Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161837","Genus","Anchoa","Teleostei","Engraulidae","Anchoa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata",NA,"Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161838","Species","Anchoa hepsetus","Teleostei","Engraulidae","Anchoa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Anchoa hepsetus","Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161839","Species","Anchoa mitchilli","Teleostei","Engraulidae","Anchoa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Anchoa mitchilli","Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161841","Species","Anchoa lamprotaenia","Teleostei","Engraulidae","Anchoa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Anchoa lamprotaenia","Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161842","Species","Anchoa lyolepis","Teleostei","Engraulidae","Anchoa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Anchoa lyolepis","Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161846","Species","Anchoa cayorum","Teleostei","Engraulidae","Anchoa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Anchoa cayorum","Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161847","Species","Anchoa compressa","Teleostei","Engraulidae","Anchoa","Deuterostomia",NA,"Gnathostomata","Animalia","Clupeiformes","Chordata","Anchoa compressa","Engraulinae","Bilateria","Clupeoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Clupeomorpha",NA,NA,NA,NA,NA
"161903","Family","Hiodontidae","Teleostei","Hiodontidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Osteoglossiformes","Chordata",NA,NA,"Bilateria","Notopteroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Osteoglossomorpha",NA,"Hiodontoidea",NA,NA,NA
"161931","Family","Salmonidae","Teleostei","Salmonidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161932","Genus","Coregonus","Teleostei","Salmonidae","Coregonus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata",NA,"Coregoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161941","Species","Coregonus clupeaformis","Teleostei","Salmonidae","Coregonus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Coregonus clupeaformis","Coregoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161974","Genus","Oncorhynchus","Teleostei","Salmonidae","Oncorhynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata",NA,"Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161975","Species","Oncorhynchus gorbuscha","Teleostei","Salmonidae","Oncorhynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Oncorhynchus gorbuscha","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161976","Species","Oncorhynchus keta","Teleostei","Salmonidae","Oncorhynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Oncorhynchus keta","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161977","Species","Oncorhynchus kisutch","Teleostei","Salmonidae","Oncorhynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Oncorhynchus kisutch","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161979","Species","Oncorhynchus nerka","Teleostei","Salmonidae","Oncorhynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Oncorhynchus nerka","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161980","Species","Oncorhynchus tshawytscha","Teleostei","Salmonidae","Oncorhynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Oncorhynchus tshawytscha","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161983","Species","Oncorhynchus clarkii","Teleostei","Salmonidae","Oncorhynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Oncorhynchus clarkii","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161989","Species","Oncorhynchus mykiss","Teleostei","Salmonidae","Oncorhynchus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Oncorhynchus mykiss","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161994","Genus","Salmo","Teleostei","Salmonidae","Salmo","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata",NA,"Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161996","Species","Salmo salar","Teleostei","Salmonidae","Salmo","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Salmo salar","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"161997","Species","Salmo trutta","Teleostei","Salmonidae","Salmo","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Salmo trutta","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162000","Species","Salvelinus malma","Teleostei","Salmonidae","Salvelinus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Salvelinus malma","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162001","Species","Salvelinus alpinus","Teleostei","Salmonidae","Salvelinus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Salvelinus alpinus","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162002","Species","Salvelinus namaycush","Teleostei","Salmonidae","Salvelinus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Salvelinus namaycush","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162003","Species","Salvelinus fontinalis","Teleostei","Salmonidae","Salvelinus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Salvelinus fontinalis","Salmoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162006","Species","Stenodus leucichthys","Teleostei","Salmonidae","Stenodus","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Stenodus leucichthys","Coregoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162008","Species","Prosopium cylindraceum","Teleostei","Salmonidae","Prosopium","Deuterostomia",NA,"Gnathostomata","Animalia","Salmoniformes","Chordata","Prosopium cylindraceum","Coregoninae","Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162028","Family","Osmeridae","Teleostei","Osmeridae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata",NA,NA,"Bilateria","Osmeroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Osmeroidea",NA,NA,NA
"162030","Species","Hypomesus pretiosus","Teleostei","Osmeridae","Hypomesus","Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata","Hypomesus pretiosus",NA,"Bilateria","Osmeroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Osmeroidea",NA,NA,NA
"162035","Species","Mallotus villosus","Teleostei","Osmeridae","Mallotus","Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata","Mallotus villosus",NA,"Bilateria","Osmeroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Osmeroidea",NA,NA,NA
"162041","Species","Osmerus mordax","Teleostei","Osmeridae","Osmerus","Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata","Osmerus mordax",NA,"Bilateria","Osmeroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Osmeroidea",NA,NA,NA
"162048","Species","Spirinchus starksi","Teleostei","Osmeridae","Spirinchus","Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata","Spirinchus starksi",NA,"Bilateria","Osmeroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Osmeroidea",NA,NA,NA
"162049","Species","Spirinchus thaleichthys","Teleostei","Osmeridae","Spirinchus","Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata","Spirinchus thaleichthys",NA,"Bilateria","Osmeroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Osmeroidea",NA,NA,NA
"162051","Species","Thaleichthys pacificus","Teleostei","Osmeridae","Thaleichthys","Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata","Thaleichthys pacificus",NA,"Bilateria","Osmeroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Osmeroidea",NA,NA,NA
"162053","Species","Allosmerus elongatus","Teleostei","Osmeridae","Allosmerus","Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata","Allosmerus elongatus",NA,"Bilateria","Osmeroidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Osmeroidea",NA,NA,NA
"162057","Family","Argentinidae","Teleostei","Argentinidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata",NA,NA,"Bilateria","Argentinoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Argentinoidea",NA,NA,NA
"162068","Species","Argentina sialis","Teleostei","Argentinidae","Argentina","Deuterostomia",NA,"Gnathostomata","Animalia","Osmeriformes","Chordata","Argentina sialis",NA,"Bilateria","Argentinoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,"Argentinoidea",NA,NA,NA
"162137","Family","Esocidae","Teleostei","Esocidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Esociformes","Chordata",NA,NA,"Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162143","Species","Esox niger","Teleostei","Esocidae","Esox","Deuterostomia",NA,"Gnathostomata","Animalia","Esociformes","Chordata","Esox niger",NA,"Bilateria",NA,"Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Protacanthopterygii",NA,NA,NA,NA,NA
"162374","Family","Synodontidae","Teleostei","Synodontidae",NA,"Deuterostomia",NA,"Gnathostomata","Animalia","Aulopiformes","Chordata",NA,NA,"Bilateria","Synodontoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Cyclosquamata",NA,NA,NA,NA,NA
"162375","Genus","Synodus","Teleostei","Synodontidae","Synodus","Deuterostomia",NA,"Gnathostomata","Animalia","Aulopiformes","Chordata",NA,NA,"Bilateria","Synodontoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Cyclosquamata",NA,NA,NA,NA,NA
"162376","Species","Synodus foetens","Teleostei","Synodontidae","Synodus","Deuterostomia",NA,"Gnathostomata","Animalia","Aulopiformes","Chordata","Synodus foetens",NA,"Bilateria","Synodontoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Cyclosquamata",NA,NA,NA,NA,NA
"162377","Species","Synodus intermedius","Teleostei","Synodontidae","Synodus","Deuterostomia",NA,"Gnathostomata","Animalia","Aulopiformes","Chordata","Synodus intermedius",NA,"Bilateria","Synodontoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Cyclosquamata",NA,NA,NA,NA,NA
"162378","Species","Synodus lucioceps","Teleostei","Synodontidae","Synodus","Deuterostomia",NA,"Gnathostomata","Animalia","Aulopiformes","Chordata","Synodus lucioceps",NA,"Bilateria","Synodontoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Cyclosquamata",NA,NA,NA,NA,NA
"162379","Species","Synodus poeyi","Teleostei","Synodontidae","Synodus","Deuterostomia",NA,"Gnathostomata","Animalia","Aulopiformes","Chordata","Synodus poeyi",NA,"Bilateria","Synodontoidei","Vertebrata","Actinopterygii",NA,NA,NA,NA,NA,NA,"Cyclosquamata",NA,NA,NA,NA,NA
